id;left;kwic;right
"67";"Řekl/říci/VpMS----R-AAP-- bych/být/Vc-S---1----I-- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- dobrý/dobrý/AAIS1----1A---- příklad/příklad/NNIS1-----A---- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- dnes/dnes/Db------------- mladí/mladý/AAMP1----1A---- lidé/člověk/NNMP1-----A---- netouží/toužit/VB-P---3P-NAI-- po/po/RR--6---------- image/image/NNFS6-----A---- ,/,/Z:------------- ale/ale/J^------------- umějí/umět/VB-P---3P-AAI-- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- spontánně/spontánně/Dg-------1A---- a/a/J^------------- podat/podat/Vf--------A-P-- o/o/RR--6---------- sobě/se/P6--6---------- nějaký/nějaký/PZIS4---------- obraz/obraz/NNIS4-----A----";",/,/Z:------------- aniž/aniž/J,------------- by/být/Vc----------I-- mně/já/PP-S3--1------- kazili/kazit/VpMP----R-AAI-- práci/práce/NNFS4-----A---- nebo/nebo/J^------------- nutně/nutně/Dg-------1A---- zapadali/zapadat/VpMP----R-AAI-- do/do/RR--2---------- nějakého/nějaký/PZNS2---------- schematu/schema/NNNS2-----A---- ././Z:-------------"
"68";"My/my/PP-P1--1------- můžeme/moci/VB-P---1P-AAI-- dětem/dítě/NNFP3-----A---- při/při/RR--6---------- hodinách/hodina/NNFP6-----A---- vyprávět/vyprávět/Vf--------A-I-- ,/,/Z:------------- jak/jak/J,------------- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- správně/správně/Dg-------1A---- a/a/J^------------- ohleduplně/ohleduplně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- problém/problém/NNIS1-----A---- je/být/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- jim/oni/PPFP3--3------- pak/pak/Db------------- společnost/společnost/NNFS1-----A---- předkládá/předkládat/VB-S---3P-AAI-- úplně/úplně/Dg-------1A---- jiný/jiný/AAIS4----1A---- obraz/obraz/NNIS4-----A----";",/,/Z:------------- “/""/Z:------------- řekla/říci/VpFS----R-AAP-- Stýblová/Stýblová/NNFS1-----A---- ././Z:-------------"
"69";"My/my/PP-P1--1------- se/se/P7--4---------- neumíme/umět/VB-P---1P-NAI--";"chovat/chovat/Vf--------A-I-- ,/,/Z:------------- neumíme/umět/VB-P---1P-NAI-- se/se/P7--4---------- pochválit/pochválit/Vf--------A-P-- ,/,/Z:------------- neumíme/umět/VB-P---1P-NAI-- si/se/P7--3---------- poděkovat/poděkovat/Vf--------A-P-- ,/,/Z:------------- neumíme/umět/VB-P---1P-NAI-- se/se/P7--4---------- ocenit/ocenit/Vf--------A-P-- ,/,/Z:------------- tak/tak/J^------------- máme/mít/VB-P---1P-AAI-- o/o/RR--6---------- sobě/se/P6--6---------- celkový/celkový/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"horší/špatný/AAIS4----2A---- ,/,/Z:------------- než/než/J,------------- odpovídá/odpovídat/VB-S---3P-AAI-- skutečnosti/skutečnost/NNFS3-----A---- ././Z:-------------"
"70";"Když/když/J,------------- se/se/P7--4---------- rodiče/rodič/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- opačně/opačně/Dg-------1A---- ,/,/Z:------------- dítě/dítě/NNNS1-----A---- si/se/P7--3---------- do/do/RR--2---------- života/život/NNIS2-----A---- odnáší/odnášet/VB-S---3P-AAI-- špatný/špatný/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- by/být/Vc----------I-- měla/mít/VpFS----R-AAI-- rodina/rodina/NNFS1-----A---- fungovat/fungovat/Vf--------A-I-- ././Z:-------------"
"71";"";"Choval/chovat/VpMS----R-AAI-- dosud/dosud/Db------------- v/v/RR--6---------- živé/živý/AAFS6----1A---- paměti/paměť/NNFS6-----A---- hrůzný/hrůzný/AAIS4----1A---- obraz/obraz/NNIS4-----A----";"své/svůj/P8FS2---------1 matky/matka/NNFS2-----A---- kvočny/kvočna/NNFS2-----A---- ,/,/Z:------------- která/který/P4FS1---------- skončila/skončit/VpFS----R-AAP-- v/v/RR--6---------- liščích/liščí/AAIP6----1A---- zubech/zub/NNIP6-----A---- hned/hned/Db------------- za/za/RR--7---------- plotem/plot/NNIS7-----A---- zahrady/zahrada/NNFS2-----A---- ././Z:-------------"
"72";"„/""/Z:------------- Mé/můj/PSNS4-S1------1 prohlášení/prohlášení/NNNS4-----A---- blíže/blízko/Dg-------2A---1 komentovat/komentovat/Vf--------A-B-- nebudu/být/VB-S---1F-NAI-- ,/,/Z:------------- protože/protože/J,------------- se/se/P7--4---------- nechci/chtít/VB-S---1P-NAI--";"chovat/chovat/Vf--------A-I-- jako/jako/J,------------- někteří/některý/PZMP1---------- novináři/novinář/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- mne/já/PP-S4--1------- bez/bez/RR--2---------- jakýchkoli/jakýkoli/PZIP2---------- důkazů/důkaz/NNIP2-----A---- obviňují/obviňovat/VB-P---3P-AAI-- z/z/RR--2---------- nepravosti/nepravost/NNFS2-----A---- a/a/J^------------- vytvářejí/vytvářet/VB-P---3P-AAI-- o/o/RR--6---------- mně/já/PP-S6--1------- nepravdivý/pravdivý/AAIS4----1N---- obraz/obraz/NNIS4-----A----";",/,/Z:------------- “/""/Z:------------- uvedl/uvést/VpMS----R-AAP-- pro/pro/RR--4---------- iDNES/idnes/NNNS4-----A---- ././Z0------------- cz/cz/BN------------- Zimola/Zimola/NNMS1-----A---- ././Z:-------------"
"73";"Vždy/vždy/Db------------- si/se/P7--3---------- proto/proto/Db------------- v/v/RR--6---------- případě/případ/NNIS6-----A---- elektronického/elektronický/AAIS2----1A---- hledáčku/hledáček/NNIS2-----A---- vyzkoušejte/vyzkoušet/Vi-P---2--A-P-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- za/za/RR--2---------- šera/šero/NNNS2-----A---- –/-/Z:------------- zda/zda/J,------------- nepřekresluje/překreslovat/VB-S---3P-NAI-- obraz/obraz/NNIS4-----A----";"s/s/RR--7---------- přílišným/přílišný/AANS7----1A---- zpožděním/zpoždění/NNNS7-----A---- ,/,/Z:------------- zda/zda/J,------------- se/se/P7--4---------- obraz/obraz/NNIS1-----A---- neseká/sekat/VB-S---3P-NAI-- ,/,/Z:------------- není/být/VB-S---3P-NAI-- příliš/příliš/Db------------- kontrastní/kontrastní/AAIS1----1A---- a/a/J^------------- také/také/Db------------- zda/zda/J,------------- v/v/RR--6---------- hledáčku/hledáček/NNIS6-----A---- vůbec/vůbec/TT------------- něco/něco/PZ--4---------- z/z/RR--2---------- detailů/detail/NNIP2-----A---- vidíte/vidět/VB-P---2P-AAI-- –/-/Z:------------- jejich/jejich/PSIP1-P3------- rozměry/rozměr/NNIP1-----A---- jsou/být/VB-P---3P-AAI-- totiž/totiž/TT------------- poměrně/poměrně/Dg-------1A---- malé/malý/AAIP1----1A---- ././Z:-------------"
"74";"Paní/paní/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- nám/my/PP-P3--1------- otevřela/otevřít/VpFS----R-AAP-- ,/,/Z:------------- měla/mít/VpFS----R-AAI-- na/na/RR--6---------- sobě/se/P6--6---------- tepláky/tepláky/NNIP4-----A---- a/a/J^-------------";"chovala/chovat/VpFS----R-AAI-- se/se/P7--4---------- jako/jako/J,------------- dobrosrdečná/dobrosrdečný/AAFS1----1A---- venkovanka/venkovanka/NNFS1-----A---- ,/,/Z:------------- ""/""/Z:------------- popisují/popisovat/VB-P---3P-AAI-- první/první/CrNS4---------- setkání/setkání/NNNS4-----A---- s/s/RR--7---------- Rosou/Rosa/NNFS7-----A---- Thulinovou/Thulinová/NNFS7-----A---- -/-/Z0------------- Krebsovou/Krebsová/NNFS7-----A---- Zita/Zita/NNFS1-----A---- a/a/J^------------- Jiří/Jiří/NNMS3-----A---2 Havránkovi/Havránek/NNMS3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- na/na/RR--4---------- malířčinu/malířčin/AUFS4F--------- venkovskou/venkovský/AAFS4----1A---- chalupu/chalupa/NNFS4-----A---- nepřijeli/přijet/VpMP----R-NAP-- obdivovat/obdivovat/Vf--------A-I-- obrazy/obraz/NNIP4-----A----";",/,/Z:------------- ale/ale/J^------------- kvůli/kvůli/RR--3---------- její/její/PSFS3FS3------- druhé/druhý/CrFS3---------- vášni/vášeň/NNFS3-----A---- ././Z:-------------"
"75";"„/""/Z:------------- Československý/československý/AAIS1----1A---- stát/stát/NNIS1-----A---- se/se/P7--4---------- k/k/RR--3---------- obrazu/obraz/NNIS3-----A---- nikdy/nikdy/Db-------------";"nechoval/chovat/VpIS----R-NAI-- jako/jako/J,------------- vlastník/vlastník/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- vždy/vždy/Db------------- se/se/P7--4---------- k/k/RR--3---------- tomu/ten/PDNS3---------- choval/chovat/VpMS----R-AAI-- jako/jako/J,------------- osoba/osoba/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- má/mít/VB-S---3P-AAI-- ten/ten/PDIS4---------- obraz/obraz/NNIS4-----A----";"v/v/RR--6---------- úschově/úschova/NNFS6-----A---- jako/jako/J,------------- depozitum/depozitum/NNNS1-----A---- ,/,/Z:------------- “/""/Z:------------- odůvodnil/odůvodnit/VpMS----R-AAP-- rozsudek/rozsudek/NNIS4-----A---- předseda/předseda/NNMS1-----A---- odvolacího/odvolací/AAIS2----1A---- senátu/senát/NNIS2-----A---- Milan/Milan/NNMS1-----A---- Chmelíček/Chmelíček/NNMS1-----A---- ,/,/Z:------------- podle/podle/RR--2---------- kterého/který/P4MS2---------- bylo/být/VpNS----R-AAI-- prokázáno/prokázat/VsNS------APP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- jedná/jednat/VB-S---3P-AAI-- o/o/RR--4---------- církevní/církevní/AAIS4----1A---- majetek/majetek/NNIS4-----A---- ././Z:-------------"
"76";"Sociální/sociální/AAFP1----1A---- sítě/síť/NNFP1-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- jako/jako/J,------------- zrcadlo/zrcadlo/NNNS1-----A---- –/-/Z:------------- poskytují/poskytovat/VB-P---3P-AAI-- zpětnou/zpětný/AAFS4----1A---- vazbu/vazba/NNFS4-----A---- na/na/RR--4---------- váš/váš/PSIS4-P2------- vlastní/vlastní/AAIS4----1A---- obraz/obraz/NNIS4-----A----";",/,/Z:------------- ale/ale/J^------------- i/i/J^------------- na/na/RR--4---------- obraz/obraz/NNIS4-----A---- vaší/váš/PSFS2-P2------- firmy/firma/NNFS2-----A---- nebo/nebo/J^------------- celé/celý/AAFS2----1A---- společnosti/společnost/NNFS2-----A---- ././Z:-------------"
