id;left;kwic;right
"15";"Sympatie/sympatie/NNFP4-----A---- ,/,/Z:-------------";"přátelství/přátelství/NNNS4-----A---- či/či/J^------------- obdiv/obdiv/NNIS4-----A---- nevyjadřují/vyjadřovat/VB-P---3P-NAI-- snadno/snadno/Dg-------1A---- ,/,/Z:------------- k/k/RR--3---------- cizincům/cizinec/NNMP3-----A---- jsou/být/VB-P---3P-AAI-- ale/ale/J^------------- zdvořilí/zdvořilý/AAMP1----1A---- a/a/J^------------- chovají/chovat/VB-P---3P-AAI--";"se/se/P7--4---------- mile/mile/Dg-------1A---- ././Z:-------------"
"16";"Otázka/otázka/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- spolehlivě/spolehlivě/Dg-------1A---- spojuje/spojovat/VB-S---3P-AAI-- fanoušky/fanoušek/NNMP4-----A---- sociálních/sociální/AAFP2----1A---- sítí/síť/NNFP2-----A---- i/i/J^------------- jejich/jejich/PSMP4-P3------- odpůrce/odpůrce/NNMP4-----A---- ,/,/Z:------------- zní/znít/VB-S---3P-AAI-- asi/asi/TT------------- takto/takto/Db------------- :/:/Z:------------- je/být/VB-S---3P-AAI-- možné/možný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- způsob/způsob/NNIS1-----A---- ,/,/Z:------------- jakým/jaký/P4IS7---------- navazujeme/navazovat/VB-P---1P-AAI-- a/a/J^------------- pečujeme/pečovat/VB-P---1P-AAI-- o/o/RR--4----------";"přátelství/přátelství/NNNS4-----A---- na/na/RR--6---------- webu/web/NNIS6-----A---- ,/,/Z:------------- ovlivňuje/ovlivňovat/VB-S---3P-AAI-- model/model/NNIS4-----A---- ,/,/Z:------------- podle/podle/RR--2---------- něhož/jenž/P9IS2---------- se/se/P7--4---------- chováme/chovat/VB-P---1P-AAI--";"ke/k/RV--3---------- kamarádům/kamarád/NNMP3-----A---- v/v/RR--6---------- reálném/reálný/AAIS6----1A---- životě/život/NNIS6-----A---- ?/?/Z:-------------"
"17";"Pokud/pokud/J,------------- nechci/chtít/VB-S---1P-NAI-- ztratit/ztratit/Vf--------A-P-- jeho/jeho/PSNS4-S3-------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- musím/muset/VB-S---1P-AAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"takhle/takhle/Db------------- ././Z:-------------"
"18";"Myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- ji/on/PPFS4--3------- navštěvovala/navštěvovat/VpFS----R-AAI-- tak/tak/Db------------- často/často/Dg-------1A---- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- chtěla/chtít/VpFS----R-AAI-- projevit/projevit/Vf--------A-P-- soucit/soucit/NNIS4-----A---- s/s/RR--7---------- jejím/její/PSIS7FS3------- málo/málo/Dg-------1A---- počestným/počestný/AAIS7----1A---- životem/život/NNIS7-----A---- v/v/RR--6---------- mládí/mládí/NNNS6-----A---- ,/,/Z:------------- kdy/kdy/Db------------- měla/mít/VpFS----R-AAI-- nemanželské/manželský/AANS4----1N---- dítě/dítě/NNNS4-----A---- ././Z:------------- “/""/Z:------------- „/""/Z:------------- Udržovala/udržovat/VpFS----R-AAI--";"přátelství/přátelství/NNNS4-----A---- s/s/RR--7---------- jednou/jeden/ClFS7---------- kamarádkou/kamarádka/NNFS7-----A---- ,/,/Z:------------- která/který/P4FS1---------- se/se/P7--4---------- nechovala/chovat/VpFS----R-NAI--";"dobře/dobře/Dg-------1A---- ,/,/Z:------------- protože/protože/J,------------- ji/on/PPFS4--3------- chtěla/chtít/VpFS----R-AAI-- zachránit/zachránit/Vf--------A-P-- ././Z:-------------"
"19";"„/""/Z:------------- Doufám/doufat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- díky/díky/RR--3---------- těmto/tento/PDIP3---------- filmům/film/NNIP3-----A---- pocítíte/pocítit/VB-P---2P-AAP-- naši/náš/PSFS4-P1------- lásku/láska/NNFS4-----A---- a/a/J^-------------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- v/v/RR--6---------- Číně/Čína/NNFS6-----A---- chováme/chovat/VB-P---1P-AAI--";"././Z:-------------"
"20";"bývají/bývat/VB-P---3P-AAI-- ty/ten/PDFP1---------- ,/,/Z:------------- které/který/P4FP1---------- mezi/mezi/RR--7---------- sebou/se/P6--7---------- mají/mít/VB-P---3P-AAI-- silné/silný/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- navzájem/navzájem/Db------------- se/se/P7--4---------- podporují/podporovat/VB-P---3P-AAI-- a/a/J^------------- celkově/celkově/Dg-------1A---- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- chovají/chovat/VB-P---3P-AAI--";"velmi/velmi/Db------------- pozitivně/pozitivně/Dg-------1A---- ././Z:-------------"
"21";"Ukázalo/ukázat/VpNS----R-AAP-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- děti/dítě/NNFP1-----A---- odkázané/odkázaný/AAFP1----1A---- na/na/RR--4---------- neosobní/osobní/AANS4----1N---- prostředí/prostředí/NNNS4-----A---- hůře/špatně/Dg-------2A---- navazují/navazovat/VB-P---3P-AAI--";"přátelství/přátelství/NNNS4-----A---- a/a/J^------------- chovají/chovat/VB-P---3P-AAI--";"se/se/P7--4---------- na/na/RR--4---------- svůj/svůj/P8IS4---------- věk/věk/NNIS4-----A---- nezrale/zrale/Dg-------1N---- ././Z:-------------"
"22";"Jeden/jeden/ClMS1---------- z/z/RR--2---------- pěti/pět/Cn-P2---------- lidí/člověk/NNMP2-----A---- ukončil/ukončit/VpMS----R-AAP--";"přátelství/přátelství/NNNS4-----A---- nebo/nebo/J^------------- vztah/vztah/NNIS4-----A---- ,/,/Z:------------- protože/protože/J,------------- nesnesl/snést/VpMS----R-NAP-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- rozzlobený/rozzlobený/AAMS1----1A---- partner/partner/NNMS1-----A---- choval/chovat/VpMS----R-AAI--";"././Z:-------------"
"23";"Václav/Václav/NNMS1-----A---- Havel/Havel/NNMS1-----A---- jejich/jejich/PSNS4-P3-------";"přátelství/přátelství/NNNS4-----A---- opětuje/opětovat/VB-S---3P-AAI-- ,/,/Z:------------- zúčastnil/zúčastnit/VpMS----R-AAP-- se/se/P7--4---------- všech/všechen/PLIP2---------- pražských/pražský/AAIP2----1A---- koncertů/koncert/NNIP2-----A---- a/a/J^------------- za/za/RR--2---------- svého/svůj/P8NS2---------- prezidentování/prezidentování/NNNS2-----A---- vždycky/vždy/Db------------- Stouny/Stoun/NNIP4-----A---- přijal/přijmout/VpMS----R-AAP-- na/na/RR--6---------- Hradě/hrad/NNIS6-----A---- ././Z:------------- ""/""/Z:------------- K/k/RR--3---------- Václavu/Václav/NNMS3-----A---1 Havlovi/Havel/NNMS3-----A---- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI--";"hrozně/hrozně/Dg-------1A---- uctivě/uctivě/Dg-------1A---- ././Z:-------------"
"24";"Václav/Václav/NNMS1-----A---- Havel/Havel/NNMS1-----A---- jejich/jejich/PSNS4-P3-------";"přátelství/přátelství/NNNS4-----A---- opětuje/opětovat/VB-S---3P-AAI-- ,/,/Z:------------- zúčastnil/zúčastnit/VpMS----R-AAP-- se/se/P7--4---------- všech/všechen/PLIP2---------- pražských/pražský/AAIP2----1A---- koncertů/koncert/NNIP2-----A---- a/a/J^------------- za/za/RR--2---------- svého/svůj/P8NS2---------- prezidentování/prezidentování/NNNS2-----A---- vždycky/vždy/Db------------- Stouny/Stoun/NNIP4-----A---- přijal/přijmout/VpMS----R-AAP-- na/na/RR--6---------- Hradě/hrad/NNIS6-----A---- ././Z:------------- ""/""/Z:------------- K/k/RR--3---------- Václavu/Václav/NNMS3-----A---1 Havlovi/Havel/NNMS3-----A---- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI--";"hrozně/hrozně/Dg-------1A---- uctivě/uctivě/Dg-------1A---- ././Z:-------------"
"25";"Jeho/jeho/PSIP1-S3------- společenské/společenský/AAIP1----1A---- styky/styk/NNIP1-----A---- nám/my/PP-P3--1------- dostatečně/dostatečně/Dg-------1A---- osvětlují/osvětlovat/VB-P---3P-AAI-- četná/četný/AANP4----1A---- věnování/věnování/NNNP4-----A---- na/na/RR--6---------- jeho/jeho/PSFP6-S3------- skladbách/skladba/NNFP6-----A---- ,/,/Z:------------- opravdu/opravdu/TT------------- upřímné/upřímný/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- choval/chovat/VpMS----R-AAI--";"však/však/J^------------- jen/jen/Db------------- ke/k/RV--3---------- třem/tři/ClFP3---------- osobám/osoba/NNFP3-----A---- ././Z:-------------"
"26";"Jestliže/jestliže/J,------------- už/už/Db------------- v/v/RR--4---------- pátek/pátek/NNIS4-----A---- daly/dát/VpIP----R-AAP-- oba/oba/ClIP1---------- celky/celek/NNIP1-----A---- najevo/najevo/Db------------- ,/,/Z:------------- jaké/jaký/P4IP4---------- „/""/Z:-------------";"přátelství/přátelství/NNNS4-----A---- “/""/Z:------------- chovají/chovat/VB-P---3P-AAI--";"k/k/RR--3---------- svému/svůj/P8MS3---------- soupeři/soupeř/NNMS3-----A---- ,/,/Z:------------- nedělní/nedělní/AAIS1----1A---- zápas/zápas/NNIS1-----A---- se/se/P7--4---------- před/před/RR--7---------- zaplněným/zaplněný/AAIS7----1A---- stadionem/stadion/NNIS7-----A---- proměnil/proměnit/VpIS----R-AAP-- v/v/RR--4---------- otevřenou/otevřený/AAFS4----1A---- hokejovou/hokejový/AAFS4----1A---- válku/válka/NNFS4-----A---- ././Z:-------------"
"27";"Jeden/jeden/ClMS1---------- senátor/senátor/NNMS1-----A---- mu/on/PHMS3--3------- o/o/RR--6---------- tomto/tento/PDNS6---------- pravidlu/pravidlo/NNNS6-----A---1 řekl/říci/VpMS----R-AAP-- :/:/Z:------------- „/""/Z:------------- Tady/tady/Db------------- nejde/jít/VB-S---3P-NAI-- o/o/RR--4----------";"přátelství/přátelství/NNNS4-----A---- –/-/Z:------------- je/být/VB-S---3P-AAI-- to/ten/PDNS1---------- jednoduše/jednoduše/Dg-------1A---- záležitost/záležitost/NNFS1-----A---- typu/typ/NNIS2-----A---- ‚/'/Z:------------- nebudu/být/VB-S---1F-NAI-- se/se/P7--4---------- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- dobytek/dobytek/NNMS1-----A---- ,/,/Z:------------- když/když/J,------------- se/se/P7--4---------- tak/tak/Db------------- nebudeš/být/VB-S---2F-NAI-- chovat/chovat/Vf--------A-I-- ani/ani/J^------------- ty/ty/PP-S1--2------- ././Z:------------- ‘/'/Z:------------- “/""/Z:------------- 427/427/C=-------------"
"28";"Mají/mít/VB-P---3P-AAI-- svoje/svůj/P8FP4---------- '/'/Z:------------- partičky/partička/NNFP4-----A---- '/'/Z:------------- ,/,/Z:------------- udržují/udržovat/VB-P---3P-AAI--";"přátelství/přátelství/NNNS4-----A---- i/i/J^------------- mimo/mimo/RR--4---------- hranice/hranice/NNFP4-----A---- kampusu/kampus/NNIS2-----A---- a/a/J^------------- chovají/chovat/VB-P---3P-AAI--";"se/se/P7--4---------- prostě/prostě/TT------------- velmi/velmi/Db------------- společensky/společensky/Dg-------1A---- ,/,/Z:------------- “/""/Z:------------- popisuje/popisovat/VB-S---3P-AAI-- Kasaničová/Kasaničová/NNFS1-----A---- ././Z:-------------"
"29";"Říkala/říkat/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- Češi/Čech/NNMP1-----A---- jsou/být/VB-P---3P-AAI-- tvrdí/tvrdý/AAMP1----1A---- ,/,/Z:------------- neumějí/umět/VB-P---3P-NAI-- navazovat/navazovat/Vf--------A-I--";"přátelství/přátelství/NNNS4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- slušně/slušně/Dg-------1A---- ././Z:-------------"
"30";"Rakousko/Rakousko/NNNS1-----A---- v/v/RR--6---------- těžkých/těžký/AAIP6----1A---- časech/čas/NNIP6-----A---- zapomíná/zapomínat/VB-S---3P-AAI-- na/na/RR--4----------";"přátelství/přátelství/NNNS4-----A---- s/s/RR--7---------- Maďarskem/Maďarsko/NNNS7-----A---- ,/,/Z:------------- ale/ale/J^------------- Maďaři/Maďar/NNMP1-----A---- mu/on/PHNS3--3------- odpustí/odpustit/VB-P---3P-AAP-- i/i/J^------------- jeho/jeho/PSNS4-S3------- nařčení/nařčení/NNNS4-----A---- z/z/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"jako/jako/J,------------- nacisté/nacista/NNMP1-----A---- ././Z:-------------"
"31";"Zvláštní/zvláštní/AANS4----1A---- letité/letitý/AANS4----1A---- »/""/Z:-------------";"přátelství/přátelství/NNNS4-----A---- «/""/Z:------------- chovají/chovat/VB-P---3P-AAI--";"k/k/RR--3---------- parníkům/parník/NNIP3-----A---- m/m/BN------------- Pražské/pražský/AAFP1----1A---- paroplavební/paroplavební/AAFP1----1A---- společnosti/společnost/NNFP1-----A---- rybáři/rybář/NNMP1-----A---- ././Z:-------------"
"32";"Účastí/účast/NNFS7-----A---- na/na/RR--6---------- akci/akce/NNFS6-----A---- jsme/být/VB-P---1P-AAI-- prohlubovali/prohlubovat/VpMP----R-AAI-- mezinárodní/mezinárodní/AANS4----1A----";"přátelství/přátelství/NNNS4-----A---- mezi/mezi/RR--7---------- sportovci/sportovec/NNMP7-----A---- s/s/RR--7---------- handicapem/handicap/NNIS7-----A---- a/a/J^------------- tím/ten/PDNS7---------- jsme/být/VB-P---1P-AAI-- dali/dát/VpMP----R-AAP-- příklad/příklad/NNIS4-----A---- všem/všechen/PLMP3---------- ostatním/ostatní/AAMP3----1A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI--";"stejně/stejně/Dg-------1A---- ././Z:-------------"
"33";"„/""/Z:------------- Doufám/doufat/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- pocítíte/pocítit/VB-P---2P-AAP-- naši/náš/PSFS4-P1------- lásku/láska/NNFS4-----A---- a/a/J^-------------";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- kterou/který/P4FS4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- v/v/RR--6---------- Číně/Čína/NNFS6-----A---- chováme/chovat/VB-P---1P-AAI--";",/,/Z:------------- “/""/Z:------------- říká/říkat/VB-S---3P-AAI-- ve/v/RV--6---------- zdravici/zdravice/NNFS6-----A---- ././Z:-------------"
"34";"Pokud/pokud/J,------------- však/však/J^------------- jde/jít/VB-S---3P-AAI-- o/o/RR--4---------- bezpečnostní/bezpečnostní/AAFS4----1A---- a/a/J^------------- zahraniční/zahraniční/AAFS4----1A---- politiku/politika/NNFS4-----A---- ,/,/Z:------------- Rusko/Rusko/NNNS1-----A---- vůbec/vůbec/TT------------- neopětuje/opětovat/VB-S---3P-NAI--";"přátelství/přátelství/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS1---------- k/k/RR--3---------- němu/on/P5MS3--3------- Západ/západ/NNIS1-----A---- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"35";"Každý/každý/PLMS1---------- považuje/považovat/VB-S---3P-AAI--";"přátelství/přátelství/NNNS4-----A---- za/za/RR--4---------- něco/něco/PZ--4---------- jiného/jiný/AANS2----1A---- a/a/J^------------- podle/podle/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4---------- také/také/Db------------- chová/chovat/VB-S---3P-AAI--";"././Z:-------------"
"36";"Ženy/žena/NNFP1-----A---- prý/prý/TT------------- potřebují/potřebovat/VB-P---3P-AAI--";"přátelství/přátelství/NNNS4-----A---- k/k/RR--3---------- vyjádření/vyjádření/NNNS3-----A---- sebe/se/P6--2---------- samých/samý/PLMP2---------- a/a/J^------------- k/k/RR--3---------- formování/formování/NNNS3-----A---- své/svůj/P8FS2---------1 identity/identita/NNFS2-----A---- ,/,/Z:------------- zatímco/zatímco/J,------------- muži/muž/NNMP1-----A---- se/se/P7--4---------- ve/v/RV--6---------- vztazích/vztah/NNIP6-----A---- k/k/RR--3---------- ostatním/ostatní/AAMP3----1A---- chovají/chovat/VB-P---3P-AAI--";"více/hodně/Dg-------2A---- prospěchářsky/prospěchářsky/Dg-------1A---- ././Z:-------------"
