;lemma;freq;freq [%];VNP?;kdo;příklad;poznámka
132;vzpomínka;45;0.01;2;KV;V srdci chová dodnes vzpomínky na vyprávění a písničky své babičky. Jsme uprostřed horkého jara, ale vy zřejmě chováte vzpomínky na zimu, kdy Studená patří k nejnáročnějším klimatickým oblastem okresu.sme uprostřed horkého jara, ale vy zřejmě chováte vzpomínky na zimu, kdy Studená patří k nejnáročnějším klimatickým oblastem okresu.;Je to napůl s významem 5?
133;živočich;45;0.01;0;KV;;
134;averze;45;0.01;0;KV;;
135;čas;45;0.01;0;KV;;
136;myš;44;0.01;0;KV;;
137;situace;44;0.01;0;KV;;
138;antipatie;43;0.01;1;KV;Abagnaleovy potíže po propuštění ještě ztěžovala skutečnost, že úředník, který na něj měl dohlížet, k němu choval značné antipatie, což také dával otevřeně najevo.;
139;zábava;43;0.01;0;KV;;
140;přesvědčení;43;0.01;1;KV;Pořád chovala mlhavé přesvědčení, že u každé další ženy najde jen zklamání a že se nakonec přece jen vrátí zpátky k ní.;
141;oko;42;0.01;0;KV;;
142;kus;42;0.01;0;KV;;
143;poník;42;0.01;0;KV;;
144;rybka;42;0.01;0;KV;;
145;cena;42;0.01;0;KV;;
146;klokan;42;0.01;0;KV;;
147;vejce;41;0.01;0;KV;;
148;hroznýš;41;0.01;0;KV;;
149;potkan;41;0.01;0;KV;;
150;jezevčík;41;0.01;0;KV;;
151;obava;40;0.01;1;KV;Dále chovám jisté obavy ohledně vývoje a budoucího osudu problematiky týkající se změny vlastníka nemocnic, jejichž zřizovatelem jsou stále ještě okresní úřady.;
152;užitek;40;0.01;0;KV;;
153;párek;40;0.01;0;KV;;
154;výkrm;38;0.01;0;KV;;
155;levhart;38;0.01;0;KV;;
156;krysa;38;0.01;0;KV;;
157;tvor;38;0.01;0;KV;;
158;úmysl;38;0.01;1;KV;Lidi ve frontě spolu rozmlouvali, někteří živě, ale zdálo se, že nikdo nechová nějaké nepřátelské úmysly. Dokonce jsem jedenkrát choval úmysl — ano, tak daleko jsem byl ochoten zajít — přizvat ho k jakési literární produkci.;
159;chvíle;38;0.01;0;KV;;
160;mládě;37;0.01;0;KV;;
161;jedinec;36;0.01;0;KV;;
162;kůže;36;0.01;0;KV;;
163;ambice;36;0.01;1;KV;Jednou z nich je, že v takovém věku jen blázen chová politické ambice.;
164;hmyz;36;0.01;0;KV;;
165;hřiště;36;0.01;0;KV;;
166;muflon;36;0.01;0;KV;;
167;myšlenka;35;0.01;1;KV;Varuji všechny členy našeho čím dál většího spolku, kteří by snad chovali myšlenky na zradu. Můžete využít psychologovy pracovny k tomu, abyste pochopili, proč chováte takové destruktivní myšlenky, a pak se jich za pomoci duchovního cvičení zbavit.;Je to přeneseně pěstovat nebo mít?
168;zelenina;34;0.01;0;KV;;
169;pohled;34;0.01;0;KV;;
170;vnouče;34;0.01;0;KV;;
171;okolí;33;0.01;0;KV;;
172;poddruh;33;0.01;0;KV;;
173;rys;33;0.01;0;KV;;
174;týden;33;0.01;0;KV;;
175;motýl;33;0.01;0;KV;;
176;krůta;33;0.01;0;KV;;
177;matka;33;0.01;0;KV;;
178;kohout;33;0.01;0;KV;;
179;puma;33;0.01;0;KV;;
180;panenka;32;0.01;0;KV;;
181;doga;32;0.01;0;KV;;
182;názor;32;0.01;1;KV;Podle nich hned pětina Němců chová k cizincům nepřátelské názory a 15 procent obyvatel je šovinisticky zaměřeno. Choval přísně ultramontánní názory a patřil k prvním odpůrcům jansenismu.;?
183;zubr;32;0.01;0;KV;;
184;slonice;32;0.01;0;KV;;
185;prospěch;32;0.01;0;KV;;
186;miláček;31;0.01;0;KV;;
187;zájem;31;0.01;0;KV;;
188;synek;31;0.01;0;KV;;
189;vajíčko;31;0.01;0;KV;;
190;zoo;31;0.01;0;KV;;
191;činčila;30;0.01;0;KV;;
192;med;30;0.01;0;KV;;
193;opice;30;0.01;0;KV;;
194;prasnice;30;0.01;0;KV;;
195;postoj;30;0.01;1;KV;Pokud ale chováme rasistické postoje vůči sobě samým my, proč by se k předsudkům nevrátil svět?;
196;většina;30;0.01;0;KV;;
197;památka;30;0.01;0;KV;;
198;leguán;30;0.01;0;KV;;
199;touha;29;0.0;1;KV;Naše duše v sobě chová touhu po jednotě a přenáší ji na předmět, který se jí naskýtá na dosah ve smyslovém světě.;
200;hejno;29;0.0;0;KV;;
201;chrt;29;0.0;0;KV;;
202;vášeň;29;0.0;1;KV;Pro co chováte v životě největší vášeň ? Pro co chováte v životě největší vášeň? Mohla chovat tajnou vášeň k doktoru Bradshawovi a po jeho smrti ji přemohl žal.;
203;fena;29;0.0;0;KV;;
204;slovo;29;0.0;0;KV;;
205;přátelství;29;0.0;1;VALLEX;;
206;rozdíl;29;0.0;0;KV;;
207;zebra;29;0.0;0;KV;;
208;kocour;28;0.0;0;KV;;
209;století;28;0.0;0;KV;;
210;služba;28;0.0;0;KV;;
211;zisk;28;0.0;0;KV;;
212;antilopa;28;0.0;0;KV;;
213;tvář;28;0.0;0;KV;;
214;hroch;28;0.0;0;KV;;
215;páv;27;0.0;0;KV;;
216;norek;27;0.0;0;KV;;
217;zápas;27;0.0;0;KV;;
218;opička;27;0.0;0;KV;;
219;kříženec;27;0.0;0;KV;;
220;plameňák;27;0.0;0;KV;;
221;hlodavec;27;0.0;0;KV;;
222;potěcha;26;0.0;0;KV;;
223;přání;26;0.0;1;KV;Chovám nejvroucnější přání, aby byl i dále úspěšný.;
224;policista;26;0.0;0;KV;;
225;tele;26;0.0;0;KV;;
226;kanár;26;0.0;0;KV;;
227;zahrada;26;0.0;0;KV;;
228;sýr;26;0.0;0;KV;;
229;sob;26;0.0;0;KV;;
230;chameleon;26;0.0;0;KV;;
231;tučňák;26;0.0;0;KV;;
232;mýval;26;0.0;0;KV;;
233;led;26;0.0;0;KV;;
234;liška;25;0.0;0;KV;;
235;skepse;25;0.0;1;KV;Lakotný Brahe například choval hlubokou skepsi vůči obchodům a obchodování.;
236;cesta;25;0.0;0;KV;;
237;hlava;25;0.0;0;KV;;
238;samička;25;0.0;0;KV;;
239;předsudek;25;0.0;1;KV;Takže i já chovám apriorní předsudky, ač jsem si myslel, že na lidi nepohlížím paušálně.;
240;lemur;25;0.0;0;KV;;
241;žena;24;0.0;0;KV;;
242;tajemství;24;0.0;2;KV;Sedmnáct let na sobě nedal nic znát a choval to tajemství v sobě.;
243;kačena;24;0.0;0;KV;;
244;pelikán;24;0.0;0;KV;;
245;muž;24;0.0;0;KV;;
246;možnost;24;0.0;0;KV;;
247;středa;24;0.0;0;KV;;
248;okrasa;24;0.0;0;KV;;
249;tisícovka;24;0.0;0;KV;;
250;sklípkan;24;0.0;0;KV;;
251;předpis;24;0.0;0;KV;;
252;ježek;24;0.0;0;KV;;
253;vraník;23;0.0;0;KV;;
254;beran;23;0.0;0;KV;;
255;nutrie;23;0.0;0;KV;;
256;čuník;23;0.0;0;KV;;
257;exot;23;0.0;0;KV;;
258;jeseter;22;0.0;0;KV;;
259;štěně;22;0.0;0;KV;;
260;zbytek;22;0.0;0;KV;;
261;generace;22;0.0;0;KV;;
262;sobota;22;0.0;0;KV;;
263;škola;22;0.0;0;KV;;
264;místo;22;0.0;0;KV;;
265;šimpanz;22;0.0;0;KV;;
266;brojler;22;0.0;0;KV;;
267;vlčák;22;0.0;0;KV;;
268;křepelka;22;0.0;0;KV;;
269;rámec;22;0.0;0;KV;;
270;děťátko;22;0.0;0;KV;;
271;relikvie;22;0.0;0;KV;;
272;země;21;0.0;0;KV;;
273;plodina;21;0.0;0;KV;;
274;ohled;21;0.0;1;KV;Mluvil se mnou zdvořile. Bylo zřejmé, že ke mně chová jisté ohledy.;
275;žába;21;0.0;0;KV;;
276;majetek;21;0.0;0;KV;;
277;krocan;21;0.0;0;KV;;
278;opovržení;21;0.0;1;KV;Nechovám opovržení k práci, ale k vám, když mluvíte o práci.;
279;jídlo;21;0.0;0;KV;;
280;pomoc;21;0.0;0;KV;;
281;bizon;21;0.0;0;KV;;
282;podzim;21;0.0;0;KV;;
283;jak;21;0.0;0;KV;;
284;ještěr;21;0.0;0;KV;;
285;lachtan;21;0.0;0;KV;;
286;klisna;20;0.0;0;KV;;
287;spotřeba;20;0.0;0;KV;;
288;část;20;0.0;0;KV;;
289;fenka;20;0.0;0;KV;;
290;vepřík;20;0.0;0;KV;;
291;emoce;20;0.0;0;KV;;
292;rodina;20;0.0;0;KV;;
293;poměry;20;0.0;0;KV;;
294;mravenečník;20;0.0;0;KV;;
295;pitbul;20;0.0;0;KV;;
296;měsíc;20;0.0;0;KV;;
297;despekt;20;0.0;1;KV;Dokázal byste říct, proč nás mají Poláci rádi, ale my k nim leckdy chováme takový despekt?;
298;obilí;20;0.0;0;KV;;
299;orel;20;0.0;0;KV;;
300;varan;20;0.0;0;KV;;
301;orangutan;20;0.0;0;KV;;
302;zima;19;0.0;0;KV;;
303;čmelák;19;0.0;0;KV;;
304;mšice;19;0.0;0;KV;;
305;sen;19;0.0;1;KV;Odjakživa chovala tajný sen, že se do nádražního městečka jednou odstěhuje,;
306;očekávání;19;0.0;0;KV;;
307;sokol;19;0.0;0;KV;;
308;lov;19;0.0;0;KV;;
309;vůl;19;0.0;0;KV;;
310;forma;19;0.0;0;KV;;
311;rotvajler;19;0.0;0;KV;;
312;stavák;18;0.0;0;KV;;
313;bourec;18;0.0;0;KV;;
314;slepička;18;0.0;0;KV;;
315;bělouš;18;0.0;0;KV;;
316;přízeň;18;0.0;1;KV;Jižanské a seveřanské klany k sobě nikdy nechovaly velkou přízeň - seveřané pokládají jižany za zaostalé barbary, nevzdělance a neumětely.;
317;sestřička;18;0.0;0;KV;;
318;prostor;18;0.0;0;KV;;
319;období;18;0.0;0;KV;;
320;holčička;18;0.0;0;KV;;
321;třída;18;0.0;0;KV;;
322;právo;18;0.0;0;KV;;
323;nosál;18;0.0;0;KV;;
324;potomek;17;0.0;0;KV;;
325;teriér;17;0.0;0;KV;;
326;veverka;17;0.0;0;KV;;
327;jalovice;17;0.0;0;KV;;
328;chování;17;0.0;0;KV;;
329;strana;17;0.0;0;KV;;
330;mimino;17;0.0;0;KV;;
331;výjimka;17;0.0;0;KV;;
332;hodina;17;0.0;0;KV;;
333;svět;17;0.0;0;KV;;
334;ještěrka;17;0.0;0;KV;;
335;pašík;17;0.0;0;KV;;
336;násada;17;0.0;0;KV;;
337;savec;17;0.0;0;KV;;
338;aligátor;17;0.0;0;KV;;
339;úterý;17;0.0;0;KV;;
340;hlídka;17;0.0;0;KV;;
341;takin;16;0.0;0;KV;;
342;potrava;16;0.0;0;KV;;
343;tendence;16;0.0;0;KV;;
344;zařízení;16;0.0;0;KV;;
345;jeřáb;16;0.0;0;KV;;
346;nechuť;16;0.0;1;KV;Ekonomové vědí již dlouho, že lidé prostě k riskování chovají nechuť.;
347;hřebec;16;0.0;0;KV;;
348;rasa;16;0.0;0;KV;;
349;sumec;16;0.0;0;KV;;
350;povinnost;16;0.0;0;KV;;
351;role;16;0.0;0;KV;;
352;náklad;16;0.0;0;KV;;
353;známka;16;0.0;0;KV;;
354;trocha;16;0.0;0;KV;;
355;pondělí;16;0.0;0;KV;;
356;kanárek;16;0.0;0;KV;;
357;teplokrevník;16;0.0;0;KV;;
358;příroda;16;0.0;0;KV;;
359;jednání;16;0.0;0;KV;;
360;krajta;16;0.0;0;KV;;
361;surikata;16;0.0;0;KV;;
362;strakáč;15;0.0;0;KV;;
363;osmák;15;0.0;0;KV;;
364;silnice;15;0.0;0;KV;;
365;exemplář;15;0.0;0;KV;;
366;slabost;15;0.0;1;KV;Ale v dětství chodil do skautu a vždycky choval slabost pro akustickou a country hudbu.;
367;produkt;15;0.0;0;KV;;
368;informace;15;0.0;0;KV;;
369;kousek;15;0.0;0;KV;;
370;hucul;15;0.0;0;KV;;
371;neděle;15;0.0;0;KV;;
372;ptáček;15;0.0;0;KV;;
373;kravka;15;0.0;0;KV;;
374;hodnota;15;0.0;0;KV;;
375;lipicán;15;0.0;0;KV;;
376;psík;15;0.0;0;KV;;
377;kočkodan;15;0.0;0;KV;;
378;králíček;15;0.0;0;KV;;
379;alpaka;15;0.0;0;KV;;
380;makak;15;0.0;0;KV;;
381;krok;15;0.0;0;KV;;
382;město;15;0.0;0;KV;;
383;výzva;15;0.0;0;KV;;
384;host;15;0.0;0;KV;;
385;zdroj;15;0.0;0;KV;;
386;retrívr;15;0.0;0;KV;;
387;dům;15;0.0;0;KV;;
388;výsledek;15;0.0;0;KV;;
389;buvol;14;0.0;0;KV;;
390;sport;14;0.0;0;KV;;
391;ochrana;14;0.0;0;KV;;
392;opatření;14;0.0;0;KV;;
393;voda;14;0.0;0;KV;;
394;výroba;14;0.0;0;KV;;
395;vydra;14;0.0;0;KV;;
396;porážka;14;0.0;0;KV;;
397;ruka;14;0.0;0;KV;;
398;ohař;14;0.0;0;KV;;
399;večer;14;0.0;0;KV;;
400;film;14;0.0;0;KV;;
401;zástupce;14;0.0;0;KV;;
402;typ;14;0.0;0;KV;;
403;výstava;14;0.0;0;KV;;
404;riziko;14;0.0;0;KV;;
405;hrošík;14;0.0;0;KV;;
406;pudl;14;0.0;0;KV;;
407;strážník;14;0.0;0;KV;;
408;míra;14;0.0;0;KV;;
409;opeřenec;13;0.0;0;KV;;
410;nemluvně;13;0.0;0;KV;;
411;firma;13;0.0;0;KV;;
412;skupinka;13;0.0;0;KV;;
413;program;13;0.0;0;KV;;
414;krása;13;0.0;0;KV;;
415;klub;13;0.0;0;KV;;
416;primát;13;0.0;0;KV;;
417;zásada;13;0.0;0;KV;;
418;dohoda;13;0.0;0;KV;;
419;síla;13;0.0;0;KV;;
420;potíž;13;0.0;0;KV;;
421;agama;13;0.0;0;KV;;
422;hráč;13;0.0;0;KV;;
423;pán;13;0.0;0;KV;;
424;srst;13;0.0;0;KV;;
425;prostředí;13;0.0;0;KV;;
426;záměr;13;0.0;1;KV;V Plzni skončil druhý ředitel Svoboda choval jasný záměr – toužil uzdravit vztah mezi Plzní a zbytkem soutěže.;mít (skrytě?)
427;žížala;13;0.0;0;KV;;
428;sele;13;0.0;0;KV;;
429;pozor;13;0.0;0;KV;;
430;škoda;13;0.0;0;KV;;
431;divočák;13;0.0;0;KV;;
432;zloba;13;0.0;1;KV;Vím, že máte důvod, abyste ke mně choval zlobu!;cítil zlobu / měl na někoho zlobu
433;Terezka;13;0.0;0;KV;;
434;tapír;13;0.0;0;KV;;
435;chyba;13;0.0;0;KV;;
436;užovka;13;0.0;0;KV;;
437;otázka;13;0.0;0;KV;;
438;čivava;13;0.0;0;KV;;
439;slípka;13;0.0;0;KV;;
440;chov;13;0.0;0;KV;;
441;fretka;13;0.0;0;KV;;
442;pochyba;13;0.0;0;KV;;
443;kolekce;13;0.0;0;KV;;
444;nepořádek;12;0.0;0;KV;;
445;Převalský;12;0.0;0;KV;;
