"id";"lemma";"Freq";"MI";"T-score";"logDice"
"1";"slušně";"11 499";"10,801";"107,173";"9,524"
"2";"agresivně";"5 116";"11,454";"71,501";"8,55"
"3";"zodpovědně";"3 837";"10,209";"61,891";"8,073"
"4";"jinak";"11 411";"6,853";"105,898";"7,699"
"5";"zvíře";"7 132";"7,086";"83,83";"7,661"
"6";"zoo";"4 107";"7,699";"63,777";"7,592"
"7";"přátelsky";"2 333";"10,492";"48,268";"7,427"
"8";"ohleduplně";"2 224";"12,374";"47,15";"7,413"
"9";"normálně";"2 824";"8,31";"52,974";"7,405"
"10";"jako";"67 431";"6,116";"255,931";"7,303"
"11";"arogantně";"1 985";"12,252";"44,544";"7,25"
"12";"hezky";"2 395";"8,426";"48,796";"7,241"
"13";"vůči";"3 905";"6,82";"61,937";"7,145"
"14";"jak";"42 012";"5,956";"201,666";"7,124"
"15";"ovce";"2 094";"8,543";"45,638";"7,1"
"16";"korektně";"1 804";"11,131";"42,455";"7,093"
"17";"úcta";"2 124";"8,285";"45,939";"7,073"
"18";"odpovědně";"1 663";"10,938";"40,759";"6,974"
"19";"prase";"2 006";"7,964";"44,609";"6,944"
"20";"podobně";"4 197";"6,3";"63,962";"6,883"
"21";"kráva";"1 908";"7,922";"43,501";"6,878"
"22";"takhle";"3 032";"6,643";"54,513";"6,877"
"23";"divně";"1 556";"10,295";"39,415";"6,86"
"24";"takto";"2 924";"6,53";"53,489";"6,794"
"25";"vstřícně";"1 460";"11,025";"38,192";"6,793"
"26";"vhodně";"1 564";"8,852";"39,462";"6,772"
"27";"přirozeně";"1 715";"7,842";"41,232";"6,739"
"28";"ekologicky";"1 479";"9,269";"38,395";"6,734"
"29";"správně";"2 251";"6,802";"47,02";"6,713"
"30";"slepice";"1 493";"8,768";"38,551";"6,703"
"31";"stejně";"8 092";"5,72";"88,249";"6,692"
"32";"k";"70 455";"5,483";"259,497";"6,686"
"33";"racionálně";"1 371";"10,317";"36,998";"6,685"
"34";"rozumně";"1 336";"9,54";"36,502";"6,615"
"35";"macešsky";"1 248";"12,835";"35,322";"6,591"
"36";"pes";"3 625";"5,929";"59,22";"6,568"
"37";"skot";"1 322";"8,465";"36,256";"6,514"
"38";"podivně";"1 228";"9,76";"35,002";"6,51"
"39";"kůň";"2 672";"6,112";"50,944";"6,509"
"40";"umět";"3 847";"5,781";"60,897";"6,494"
"41";"tržně";"1 169";"11,858";"34,181";"6,49"
"42";"dobytek";"1 256";"8,671";"35,353";"6,468"
"43";"profesionálně";"1 223";"8,935";"34,9";"6,456"
"44";"hrubě";"1 178";"9,021";"34,256";"6,412"
"45";"šetrně";"1 108";"10,05";"33,255";"6,379"
"46";"koza";"1 203";"8,122";"34,56";"6,354"
"47";"králík";"1 199";"8,118";"34,502";"6,349"
"48";"vzorně";"1 065";"9,853";"32,599";"6,317"
"49";"plemeno";"1 194";"7,899";"34,409";"6,315"
"50";"respekt";"1 415";"6,917";"37,305";"6,308"
"51";"naprosto";"2 079";"5,926";"44,846";"6,243"
"52";"se";"286 384";"5,013";"518,579";"6,239"
"53";"farma";"1 282";"6,711";"35,463";"6,148"
"54";"špatně";"2 334";"5,573";"47,297";"6,111"
"55";"hospodář";"977";"8,283";"31,157";"6,104"
"56";"včela";"1 027";"7,592";"31,881";"6,084"
"57";"začít";"10 501";"4,94";"99,137";"6,049"
"58";"klidně";"1 415";"6,147";"37,086";"6,049"
"59";"mile";"943";"8,085";"30,595";"6,038"
"60";"ukázněně";"823";"11,642";"28,679";"5,987"
"61";"příroda";"2 172";"5,381";"45,486";"5,952"
"62";"ekonomicky";"916";"7,223";"30,063";"5,887"
"63";"bezpečně";"998";"6,64";"31,274";"5,864"
"64";"velmi";"6 480";"4,798";"77,605";"5,853"
"65";"drůbež";"820";"7,84";"28,511";"5,832"
"66";"úplně";"2 785";"5,027";"51,154";"5,821"
"67";"zdvořile";"745";"9,883";"27,266";"5,818"
"68";"doma";"3 317";"4,927";"55,7";"5,805"
"69";"standardně";"783";"8,119";"27,881";"5,798"
"70";"kočka";"1 016";"6,299";"31,47";"5,79"
"71";"zoologický";"882";"6,932";"29,455";"5,789"
"72";"zahrada";"2 024";"5,135";"43,709";"5,758"
"73";"tak";"23 945";"4,562";"148,191";"5,751"
"74";"velice";"1 822";"5,117";"41,455";"5,692"
"75";"obezřetně";"665";"9,871";"25,76";"5,658"
"76";"podezřele";"669";"9,469";"25,829";"5,656"
"77";"způsob";"2 928";"4,781";"52,143";"5,652"
"78";"vždy";"4 037";"4,665";"61,032";"5,645"
"79";"uctivě";"650";"10,578";"25,478";"5,638"
"80";"ryba";"1 159";"5,553";"33,319";"5,631"
"81";"tiše";"735";"7,186";"26,925";"5,613"
"82";"druh";"1 891";"4,945";"42,074";"5,598"
"83";"bezohledně";"610";"10,218";"24,677";"5,542"
"84";"dojnice";"626";"8,804";"24,964";"5,539"
"85";"člověk";"15 745";"4,362";"119,375";"5,537"
"86";"zdrženlivě";"602";"10,407";"24,518";"5,527"
"87";"někdy";"2 031";"4,716";"43,352";"5,471"
"88";"holub";"636";"7,439";"25,074";"5,462"
"89";"řádný";"700";"6,575";"26,18";"5,451"
"90";"pěstovat";"729";"6,348";"26,669";"5,45"
"91";"hlučně";"569";"10,541";"23,838";"5,448"
"92";"přestat";"1 157";"5,175";"33,073";"5,447"
"93";"kdyby|být";"2 806";"4,537";"50,691";"5,446"
"94";"férově";"568";"10,168";"23,812";"5,44"
"95";"stádo";"628";"7,248";"24,895";"5,424"
"96";"dobře";"5 111";"4,357";"68,002";"5,423"
"97";"sympatie";"612";"7,514";"24,603";"5,42"
"98";"kus";"1 246";"4,966";"34,17";"5,383"
"99";"povýšeně";"539";"11,813";"23,21";"5,381"
"100";"opatrně";"674";"6,41";"25,656";"5,375"
"101";"občas";"1 292";"4,905";"34,745";"5,37"
"102";"hospodárně";"533";"10,708";"23,073";"5,357"
"103";"náručí";"565";"8,025";"23,678";"5,356"
"104";"pěkně";"751";"5,788";"26,908";"5,331"
"105";"snažit";"2 965";"4,377";"51,83";"5,331"
"106";"ostatní";"2 287";"4,459";"45,648";"5,322"
"107";"cit";"653";"6,314";"25,233";"5,318"
"108";"politik";"1 465";"4,706";"36,809";"5,315"
"109";"podle";"11 395";"4,117";"100,597";"5,283"
"110";"nápadně";"569";"6,993";"23,666";"5,267"
"111";"profesionál";"642";"6,154";"24,982";"5,264"
"112";"zvláštně";"502";"9,15";"22,366";"5,244"
"113";"blázen";"554";"6,822";"23,329";"5,211"
"114";"důstojně";"506";"8,013";"22,407";"5,206"
"115";"zajetí";"510";"7,542";"22,462";"5,183"
"116";"eticky";"469";"10,628";"21,643";"5,173"
"117";"neurvale";"466";"11,842";"21,581";"5,172"
"118";"často";"2 850";"4,185";"50,45";"5,161"
"119";"hrozně";"669";"5,594";"25,33";"5,155"
"120";"vlídně";"466";"9,669";"21,561";"5,151"
"121";"odlišně";"471";"8,969";"21,659";"5,149"
"122";"aby|být";"9 624";"3,975";"91,863";"5,136"
"123";"chovat";"893";"4,886";"28,872";"5,117"
"124";"slon";"498";"6,926";"22,132";"5,091"
"125";"skvěle";"691";"5,277";"25,609";"5,078"
"126";"předvídatelně";"436";"11,46";"20,873";"5,075"
"127";"lidsky";"455";"8,161";"21,256";"5,07"
"128";"prý";"1 895";"4,204";"41,17";"5,063"
"129";"vulgárně";"439";"9,17";"20,916";"5,056"
"130";"silnice";"1 915";"4,172";"41,333";"5,042"
"131";"zvěř";"552";"5,896";"23,1";"5,037"
"132";"naučit";"890";"4,733";"28,711";"5,036"
"133";"situace";"2 956";"4,016";"51,009";"5,026"
"134";"zcela";"1 635";"4,187";"38,216";"5"
"135";"navzájem";"528";"5,949";"22,606";"4,999"
"136";"ke";"514";"6,033";"22,325";"4,986"
"137";"neutrálně";"409";"10,535";"20,21";"4,977"
"138";"čestně";"412";"9,609";"20,272";"4,976"
"139";"trochu";"1 728";"4,128";"39,193";"4,975"
"140";"normální";"729";"4,903";"26,098";"4,971"
"141";"soulad";"559";"5,586";"23,151";"4,971"
"142";"oni";"13 594";"3,779";"108,099";"4,967"
"143";"opačně";"429";"7,733";"20,615";"4,966"
"144";"prostě";"1 254";"4,288";"33,6";"4,963"
"145";"laskavě";"411";"8,844";"20,229";"4,955"
"146";"had";"463";"6,578";"21,292";"4,954"
"147";"hloupě";"398";"8,97";"19,91";"4,913"
"148";"skromně";"412";"7,585";"20,192";"4,902"
"149";"přesně";"1 204";"4,215";"32,83";"4,894"
"150";"statečně";"403";"7,668";"19,976";"4,877"
"151";"dospělý";"923";"4,402";"28,944";"4,874"
"152";"řidič";"1 859";"3,963";"40,351";"4,868"
"153";"zmateně";"385";"8,914";"19,581";"4,865"
"154";"zrovna";"819";"4,491";"27,345";"4,85"
"155";"fér";"401";"7,322";"19,9";"4,847"
"156";"nějak";"756";"4,585";"26,35";"4,846"
"157";"proč";"1 887";"3,928";"40,585";"4,844"
"158";"zákazník";"1 052";"4,232";"30,709";"4,841"
"159";"personál";"505";"5,441";"21,955";"4,825"
"160";"zemědělec";"575";"5,021";"23,241";"4,816"
"161";"chlap";"528";"5,252";"22,375";"4,814"
"162";"než";"6 246";"3,657";"72,768";"4,803"
"163";"někdo";"1 896";"3,875";"40,575";"4,803"
"164";"obdobně";"406";"6,687";"19,954";"4,803"
"165";"lidé";"671";"4,677";"24,891";"4,802"
"166";"smět";"953";"4,25";"29,248";"4,8"
"167";"přiměřeně";"382";"7,533";"19,439";"4,796"
"168";"krizový";"467";"5,642";"21,177";"4,792"
"169";"příjemně";"464";"5,667";"21,117";"4,791"
"170";"obvykle";"719";"4,544";"25,665";"4,789"
"171";"pták";"532";"5,143";"22,412";"4,786"
"172";"dítě";"5 546";"3,647";"68,528";"4,783"
"173";"pravidlo";"898";"4,27";"28,413";"4,779"
"174";"muset";"7 911";"3,6";"81,611";"4,766"
"175";"se|být";"414";"6,19";"20,068";"4,759"
"176";"mazlíček";"376";"7,029";"19,242";"4,737"
"177";"přezíravě";"344";"11,606";"18,541";"4,735"
"178";"gentleman";"359";"7,885";"18,867";"4,731"
"179";"mravně";"344";"10,145";"18,531";"4,726"
"180";"pragmaticky";"346";"9,244";"18,57";"4,722"
"181";"násilně";"356";"7,812";"18,784";"4,716"
"182";"sobecky";"341";"10,409";"18,453";"4,716"
"183";"poněkud";"560";"4,802";"22,816";"4,708"
"184";"silniční";"538";"4,854";"22,393";"4,693"
"185";"žena";"2 864";"3,632";"49,198";"4,685"
"186";"pořád";"1 035";"4,01";"30,175";"4,685"
"187";"hulvát";"333";"10,009";"18,231";"4,678"
"188";"spíš";"1 546";"3,765";"36,427";"4,656"
"189";"mnohdy";"505";"4,907";"21,723";"4,655"
"190";"nevyzpytatelně";"325";"12,249";"18,024";"4,655"
"191";"já";"9 486";"3,471";"88,616";"4,652"
"192";"pokud";"3 369";"3,567";"53,146";"4,652"
"193";"matka";"919";"4,033";"28,463";"4,643"
"194";"dost";"1 240";"3,844";"32,761";"4,642"
"195";"opravdu";"1 347";"3,803";"34,072";"4,641"
"196";"skutečně";"971";"3,986";"29,195";"4,639"
"197";"sebevědomě";"336";"7,815";"18,249";"4,637"
"198";"určitý";"967";"3,984";"29,132";"4,636"
"199";"partner";"840";"4,092";"27,283";"4,633"
"200";"vy";"3 524";"3,527";"54,213";"4,622"
"201";"šelma";"354";"6,581";"18,618";"4,615"
"202";"při";"6 105";"3,46";"71,035";"4,615"
"203";"některý";"2 988";"3,531";"49,935";"4,603"
"204";"papoušek";"331";"7,391";"18,085";"4,594"
"205";"citlivě";"335";"7,115";"18,171";"4,591"
"206";"přívětivě";"312";"10,026";"17,647";"4,585"
"207";"maso";"648";"4,279";"24,144";"4,58"
"208";"seriózně";"316";"8,578";"17,73";"4,579"
"209";"my";"7 177";"3,41";"76,747";"4,578"
"210";"řádně";"389";"5,559";"19,305";"4,569"
"211";"kapr";"380";"5,676";"19,112";"4,566"
"212";"ty";"946";"3,89";"28,683";"4,562"
"213";"muž";"2 938";"3,487";"49,368";"4,56"
"214";"mnohem";"891";"3,923";"27,882";"4,555"
"215";"vzácný";"467";"4,806";"20,837";"4,546"
"216";"nikdy";"1 332";"3,678";"33,646";"4,542"
"217";"husa";"337";"6,436";"18,146";"4,536"
"218";"medvěd";"396";"5,315";"19,4";"4,533"
"219";"Čech";"935";"3,855";"28,465";"4,533"
"220";"většinou";"937";"3,853";"28,492";"4,532"
"221";"dospěle";"297";"11,143";"17,226";"4,522"
"222";"tu";"1 751";"3,555";"38,284";"4,519"
"223";"zkrátka";"488";"4,608";"21,185";"4,512"
"224";"chladně";"299";"8,75";"17,251";"4,505"
"225";"okolí";"1 002";"3,759";"29,316";"4,496"
"226";"volant";"426";"4,916";"19,956";"4,496"
"227";"zbavený";"301";"8,072";"17,285";"4,495"
"228";"iracionálně";"291";"11,571";"17,053";"4,494"
"229";"když";"7 010";"3,32";"75,344";"4,491"
"230";"obdiv";"328";"6,34";"17,887";"4,49"
"231";"kdo";"2 262";"3,453";"43,217";"4,487"
"232";"tygr";"361";"5,564";"18,598";"4,485"
"233";"občan";"1 067";"3,707";"30,164";"4,484"
"234";"otec";"855";"3,834";"27,189";"4,476"
"235";"on";"17 705";"3,265";"119,215";"4,472"
"236";"nadále";"639";"4,093";"23,798";"4,471"
"237";"naděje";"652";"4,06";"24,004";"4,465"
"238";"morálně";"295";"8,009";"17,109";"4,465"
"239";"farmář";"337";"5,906";"18,051";"4,464"
"240";"rodič";"1 186";"3,614";"31,626";"4,453"
"241";"navenek";"302";"6,915";"17,234";"4,438"
"242";"příliš";"1 190";"3,591";"31,633";"4,437"
"243";"idiot";"293";"7,436";"17,018";"4,43"
"244";"manžel";"726";"3,893";"25,131";"4,43"
"245";"utržený";"290";"7,643";"16,944";"4,426"
"246";"jaký";"2 000";"3,408";"40,509";"4,425"
"247";"kultivovaně";"278";"10,192";"16,659";"4,422"
"248";"sám";"2 311";"3,373";"43,433";"4,421"
"249";"statek";"365";"5,217";"18,591";"4,42"
"250";"exotický";"338";"5,587";"18,002";"4,413"
"251";"?";"9 253";"3,223";"85,89";"4,411"
"252";"dáma";"409";"4,775";"19,485";"4,41"
"253";"suverénně";"315";"6,108";"17,491";"4,41"
"254";"pacient";"884";"3,699";"27,443";"4,4"
"255";"příkladně";"277";"8,722";"16,604";"4,397"
"256";"oblékat";"321";"5,836";"17,603";"4,394"
"257";"masný";"294";"6,773";"16,99";"4,391"
"258";"zde";"1 438";"3,45";"34,45";"4,383"
"259";"logicky";"323";"5,571";"17,594";"4,357"
"260";"rozhodně";"791";"3,703";"25,966";"4,352"
"261";"zášť";"270";"8,309";"16,38";"4,351"
"262";"včelstvo";"277";"7,29";"16,537";"4,346"
"263";"disciplinovaně";"266";"9,016";"16,278";"4,345"
"264";"pštros";"266";"8,585";"16,267";"4,337"
"265";"nadřazeně";"260";"12,508";"16,122";"4,334"
"266";"protože";"2 661";"3,239";"46,122";"4,323"
"267";"lev";"363";"4,866";"18,399";"4,32"
"268";"rozpor";"350";"4,983";"18,117";"4,315"
"269";"vůbec";"1 495";"3,353";"34,882";"4,314"
"270";"úředník";"520";"4,06";"21,436";"4,314"
"271";"akvárium";"271";"7,171";"16,348";"4,309"
"272";"cizí";"504";"4,081";"21,124";"4,302"
"273";"hospodářský";"551";"3,961";"21,966";"4,301"
"274";"li";"803";"3,608";"26,013";"4,294"
"275";"klec";"300";"5,693";"16,986";"4,29"
"276";"samec";"285";"6,134";"16,642";"4,287"
"277";"odtažitě";"252";"11,241";"15,868";"4,286"
"278";"majitel";"1 054";"3,434";"29,46";"4,275"
"279";"holštýnský";"252";"9,54";"15,853";"4,275"
"280";"přístojně";"249";"12,871";"15,778";"4,272"
"281";"většina";"1 314";"3,342";"32,674";"4,27"
"282";"adekvátně";"256";"8,086";"15,941";"4,27"
"283";"stále";"1 753";"3,258";"37,492";"4,269"
"284";"značně";"359";"4,703";"18,22";"4,259"
"285";"společensky";"262";"7,09";"16,068";"4,258"
"286";"tam";"2 713";"3,163";"46,272";"4,257"
"287";"dcera";"639";"3,722";"23,363";"4,254"
"288";"běžný";"692";"3,655";"24,217";"4,254"
"289";"pán";"1 145";"3,37";"30,565";"4,253"
"290";"les";"727";"3,613";"24,759";"4,251"
"291";"a";"74 442";"3,015";"239,081";"4,241"
"292";"uvolněně";"251";"7,922";"15,778";"4,237"
"293";"úsporně";"246";"9,151";"15,657";"4,236"
"294";"správný";"637";"3,691";"23,285";"4,233"
"295";"najednou";"495";"3,961";"20,82";"4,228"
"296";"slušný";"404";"4,297";"19,077";"4,223"
"297";"svobodně";"258";"6,824";"15,921";"4,22"
"298";"přece";"758";"3,536";"25,159";"4,219"
"299";"různě";"284";"5,608";"16,507";"4,209"
"300";"vlastník";"449";"4,067";"19,925";"4,209"
"301";"kde";"3 422";"3,081";"51,583";"4,208"
"302";"krutě";"247";"7,652";"15,638";"4,205"
"303";"jedinec";"324";"4,874";"17,386";"4,204"
"304";"jestli";"956";"3,385";"27,959";"4,204"
"305";"vláda";"1 479";"3,219";"34,328";"4,199"
"306";"svůj";"10 112";"3";"87,987";"4,197"
"307";"chovatel";"321";"4,879";"17,308";"4,196"
"308";"zaměstnanec";"876";"3,417";"26,826";"4,195"
"309";"mít";"20 283";"2,979";"124,356";"4,193"
"310";"obora";"254";"6,564";"15,769";"4,18"
"311";"želva";"251";"6,639";"15,684";"4,17"
"312";"zatáčka";"306";"4,962";"16,931";"4,165"
"313";"cizinec";"408";"4,135";"19,049";"4,164"
"314";"zvířátko";"260";"6,021";"15,876";"4,157"
"315";"brutálně";"243";"7,032";"15,469";"4,153"
"316";"demokraticky";"235";"8,14";"15,275";"4,151"
"317";"začínat";"1 045";"3,272";"28,98";"4,148"
"318";"malý";"2 348";"3,06";"42,648";"4,144"
"319";"chodec";"349";"4,435";"17,818";"4,144"
"320";"hektar";"331";"4,59";"17,438";"4,144"
"321";"skutečný";"507";"3,762";"20,857";"4,138"
"322";"dokázat";"1 464";"3,146";"33,94";"4,135"
"323";"kluk";"685";"3,474";"23,816";"4,129"
"324";"dál";"739";"3,416";"24,638";"4,125"
"325";"přitom";"1 143";"3,206";"30,144";"4,122"
"326";"každý";"2 798";"3,011";"46,336";"4,122"
"327";"soused";"390";"4,122";"18,615";"4,121"
"328";"jelen";"246";"6,343";"15,491";"4,119"
"329";"patřičně";"241";"6,667";"15,371";"4,118"
"330";"prostředí";"919";"3,287";"27,209";"4,116"
"331";"opilý";"317";"4,642";"17,091";"4,116"
"332";"zpočátku";"312";"4,672";"16,971";"4,109"
"333";"pokorně";"227";"8,366";"15,021";"4,108"
"334";"tělo";"717";"3,41";"24,257";"4,107"
"335";"tady";"1 166";"3,178";"30,373";"4,105"
"336";"hluboký";"374";"4,133";"18,237";"4,091"
"337";"krokodýl";"232";"6,95";"15,108";"4,085"
"338";"proto";"2 195";"2,995";"40,974";"4,076"
"339";"ohled";"454";"3,776";"19,751";"4,072"
"340";"spořádaně";"218";"9,362";"14,742";"4,066"
"341";"ať";"674";"3,391";"23,487";"4,066"
"342";"půda";"521";"3,602";"20,946";"4,064"
"343";"celkem";"806";"3,282";"25,47";"4,064"
"344";"rizikově";"216";"11,061";"14,69";"4,064"
"345";"nutit";"341";"4,265";"17,506";"4,061"
"346";"láska";"520";"3,582";"20,899";"4,051"
"347";"tendence";"267";"5,131";"15,874";"4,05"
"348";"všechen";"5 855";"2,872";"66,068";"4,05"
"349";"velkoryse";"220";"7,725";"14,762";"4,047"
"350";"nijak";"428";"3,806";"19,209";"4,046"
"351";"pozorně";"239";"5,973";"15,214";"4,044"
"352";"transparentně";"215";"8,927";"14,633";"4,041"
"353";"totiž";"2 077";"2,965";"39,736";"4,04"
"354";"poctivě";"245";"5,671";"15,345";"4,038"
"355";"opravdový";"289";"4,702";"16,347";"4,037"
"356";"zásada";"325";"4,306";"17,117";"4,032"
"357";"nenuceně";"212";"9,727";"14,543";"4,03"
"358";"samice";"238";"5,891";"15,167";"4,029"
"359";"daněk";"215";"8,222";"14,614";"4,028"
"360";"klient";"608";"3,408";"22,334";"4,028"
"361";"doba";"2 941";"2,903";"46,98";"4,027"
"362";"opozice";"339";"4,184";"17,399";"4,026"
"363";"spravedlivě";"222";"6,941";"14,778";"4,025"
"364";"pejsek";"247";"5,48";"15,364";"4,02"
"365";"rodina";"1 138";"3,078";"29,738";"4,017"
"366";",";"168 887";"2,786";"351,376";"4,015"
"367";"vlastně";"733";"3,265";"24,258";"4,015"
"368";"docela";"443";"3,693";"19,42";"4,012"
"369";"nenávist";"241";"5,602";"15,205";"4,008"
"370";"moc";"1 319";"3,017";"31,832";"4,003"
"371";"žirafa";"216";"7,184";"14,596";"4"
"372";"kachna";"227";"6,191";"14,86";"3,999"
"373";"dodržovat";"294";"4,504";"16,391";"3,999"
"374";"dosud";"693";"3,272";"23,6";"3,996"
"375";"otevřeně";"243";"5,433";"15,228";"3,993"
"376";"galantně";"205";"10,838";"14,31";"3,988"
"377";"podřízený";"233";"5,774";"14,985";"3,988"
"378";"kuře";"237";"5,6";"15,077";"3,986"
"379";"klín";"226";"6,103";"14,815";"3,985"
"380";"býk";"228";"5,969";"14,859";"3,983"
"381";"také";"5 210";"2,805";"61,851";"3,979"
"382";"vztah";"751";"3,199";"24,421";"3,977"
"383";"zoopark";"212";"7,134";"14,457";"3,972"
"384";"současnost";"430";"3,647";"19,081";"3,967"
"385";"šílenec";"211";"7,163";"14,425";"3,967"
"386";"Němec";"454";"3,567";"19,51";"3,959"
"387";"ostravský";"401";"3,719";"18,504";"3,956"
"388";"veřejnost";"659";"3,236";"22,947";"3,949"
"389";"běžně";"288";"4,408";"16,171";"3,949"
"390";"drze";"202";"8,566";"14,175";"3,947"
"391";"zda";"917";"3,064";"26,662";"3,944"
"392";"byt";"924";"3,057";"26,745";"3,941"
"393";"smysl";"498";"3,431";"20,247";"3,936"
"394";"hvězda";"575";"3,31";"21,561";"3,936"
"395";"že";"18 418";"2,719";"115,101";"3,934"
"396";"diktátor";"216";"6,188";"14,495";"3,934"
"397";"mnohý";"551";"3,324";"21,129";"3,924"
"398";"minulost";"549";"3,326";"21,094";"3,923"
"399";"hnusně";"196";"10,402";"13,99";"3,922"
"400";"ale";"11 984";"2,711";"92,752";"3,918"
"401";"efektivně";"222";"5,694";"14,612";"3,917"
"402";"odměřeně";"195";"10,818";"13,957";"3,916"
"403";"loajálně";"194";"11,087";"13,922";"3,91"
"404";"syn";"593";"3,248";"21,788";"3,909"
"405";"mluvit";"771";"3,084";"24,493";"3,901"
"406";"váš";"937";"3";"26,784";"3,9"
"407";"fanoušek";"620";"3,202";"22,193";"3,898"
"408";"mládě";"252";"4,732";"15,277";"3,898"
"409";"který";"18 828";"2,68";"115,8";"3,896"
"410";"puberťák";"196";"8,081";"13,948";"3,895"
"411";"policista";"1 052";"2,951";"28,241";"3,893"
"412";"životní";"685";"3,129";"23,18";"3,889"
"413";"Rom";"282";"4,279";"15,928";"3,887"
"414";"nervózně";"199";"7,175";"14,009";"3,886"
"415";"můj";"1 458";"2,856";"32,912";"3,886"
"416";"...";"1 744";"2,818";"35,841";"3,883"
"417";"jestliže";"310";"3,991";"16,499";"3,872"
"418";"zodpovědný";"250";"4,639";"15,177";"3,866"
"419";"i";"14 923";"2,65";"102,697";"3,863"
"420";"navíc";"1 360";"2,843";"31,737";"3,86"
"421";"násilnicky";"187";"12,651";"13,673";"3,86"
"422";"takový";"1 897";"2,778";"37,203";"3,859"
"423";"asi";"1 713";"2,794";"35,42";"3,858"
"424";"náš";"2 812";"2,726";"45,014";"3,858"
"425";"dle";"330";"3,827";"16,886";"3,857"
"426";"sportovně";"209";"5,816";"14,2";"3,854"
"427";"hřiště";"757";"3,03";"24,146";"3,854"
"428";"kdysi";"354";"3,698";"17,365";"3,854"
"429";"stabilně";"195";"7,022";"13,857";"3,851"
"430";"prasnice";"190";"8,06";"13,732";"3,85"
"431";"strašně";"305";"3,948";"16,332";"3,84"
"432";"holka";"301";"3,976";"16,247";"3,84"
"433";"možně";"186";"8,833";"13,608";"3,834"
"434";"provoz";"744";"3,005";"23,878";"3,829"
"435";"daný";"394";"3,494";"18,088";"3,827"
"436";"maximálně";"307";"3,894";"16,343";"3,825"
"437";"podnik";"713";"3,011";"23,39";"3,818"
"438";"sprostě";"187";"7,682";"13,608";"3,818"
"439";"venku";"317";"3,812";"16,536";"3,817"
"440";"hystericky";"183";"9,026";"13,502";"3,813"
"441";"nedůvěra";"206";"5,608";"14,058";"3,812"
"442";"primadona";"182";"9,717";"13,475";"3,812"
"443";"prezident";"864";"2,918";"25,504";"3,81"
"444";"závisle";"195";"6,329";"13,791";"3,81"
"445";"nyní";"1 393";"2,778";"31,88";"3,809"
"446";"moci";"7 871";"2,607";"74,161";"3,805"
"447";"hovězí";"216";"5,124";"14,275";"3,8"
"448";"dotyčný";"226";"4,834";"14,506";"3,798"
"449";"vlk";"219";"5,021";"14,343";"3,798"
"450";"lhostejně";"180";"9,214";"13,394";"3,791"
"451";"poměrně";"422";"3,351";"18,53";"3,791"
"452";"pohovor";"197";"5,932";"13,806";"3,79"
"453";"nebo";"4 132";"2,619";"53,816";"3,786"
"454";"divoký";"284";"3,971";"15,777";"3,786"
"455";"naopak";"813";"2,908";"24,715";"3,784"
"456";"nevybíravě";"179";"9,129";"13,355";"3,783"
"457";"voják";"416";"3,35";"18,396";"3,781"
"458";"manželka";"417";"3,338";"18,401";"3,776"
"459";"mléko";"306";"3,777";"16,217";"3,773"
"460";"tvrdě";"235";"4,536";"14,669";"3,773"
"461";"třeba";"1 711";"2,699";"34,994";"3,773"
"462";"učit";"396";"3,386";"17,996";"3,771"
"463";"komunista";"311";"3,737";"16,313";"3,77"
"464";"dnes";"2 038";"2,668";"38,039";"3,769"
"465";"teď";"1 347";"2,737";"31,197";"3,767"
"466";"nějaký";"1 252";"2,753";"30,135";"3,767"
"467";"pasivně";"180";"7,711";"13,352";"3,765"
"468";"nikdo";"948";"2,829";"26,455";"3,765"
"469";"ošklivě";"179";"7,963";"13,325";"3,764"
"470";"brzy";"1 203";"2,758";"29,559";"3,763"
"471";"rybník";"315";"3,699";"16,382";"3,763"
"472";"kamarádsky";"175";"10,719";"13,221";"3,76"
"473";"daleko";"610";"3,013";"21,638";"3,759"
"474";"organismus";"244";"4,329";"14,843";"3,757"
"475";"jiný";"2 268";"2,641";"39,991";"3,757"
"476";"případ";"1 800";"2,671";"35,767";"3,756"
"477";"chtít";"3 772";"2,593";"51,236";"3,756"
"478";"tento";"5 908";"2,564";"63,864";"3,752"
"479";"učitel";"402";"3,333";"18,061";"3,751"
"480";"uvěřitelně";"201";"5,37";"13,835";"3,75"
"481";"tedy";"1 544";"2,69";"33,206";"3,75"
"482";"nezvykle";"188";"6,17";"13,521";"3,749"
"483";"podmínka";"777";"2,879";"24,085";"3,747"
"484";"vlastní";"1 091";"2,764";"28,169";"3,747"
"485";"společnost";"1 709";"2,665";"34,823";"3,743"
"486";"nosnice";"174";"8,933";"13,164";"3,74"
"487";"náklonnost";"179";"7,153";"13,285";"3,739"
"488";"důvěra";"285";"3,836";"15,699";"3,737"
"489";"respektovat";"253";"4,14";"15,004";"3,736"
"490";"živý";"339";"3,517";"16,803";"3,733"
"491";"podnikatel";"434";"3,205";"18,574";"3,721"
"492";"morče";"174";"7,824";"13,133";"3,721"
"493";"firma";"1 791";"2,632";"35,493";"3,719"
"494";"kolega";"483";"3,106";"19,424";"3,715"
"495";"vyzývavě";"170";"9,633";"13,022";"3,713"
"496";"subjekt";"252";"4,079";"14,935";"3,713"
"497";"jakoby";"203";"5,045";"13,816";"3,712"
"498";"táta";"264";"3,95";"15,197";"3,712"
"499";"politický";"651";"2,911";"22,122";"3,71"
