"id";"lemma";"Freq";"MI";"T-score";"logDice"
"2804";"slepička";"34";"6,44";"5,764";"1,383"
"2805";"Anička";"37";"3,58";"5,574";"1,383"
"2806";"Jan";"239";"0,369";"3,49";"1,382"
"2807";"řvát";"37";"3,569";"5,57";"1,382"
"2808";"absurdně";"34";"6,3";"5,757";"1,381"
"2809";"vnuk";"39";"2,976";"5,451";"1,38"
"2810";"písek";"43";"2,318";"5,242";"1,378"
"2811";"korporace";"36";"3,959";"5,614";"1,377"
"2812";"vycházet";"80";"0,927";"4,241";"1,377"
"2813";"nezvyklý";"38";"3,202";"5,494";"1,377"
"2814";"toužit";"48";"1,864";"5,026";"1,377"
"2815";"Ústí";"95";"0,771";"4,033";"1,376"
"2816";"bazén";"62";"1,262";"4,591";"1,376"
"2817";"klisna";"35";"4,59";"5,67";"1,376"
"2818";"návrat";"81";"0,911";"4,214";"1,375"
"2819";"ODA";"39";"2,937";"5,429";"1,375"
"2820";"utrácet";"38";"3,181";"5,485";"1,375"
"2821";"950";"35";"4,562";"5,666";"1,374"
"2822";"bezpečnostní";"71";"1,058";"4,378";"1,374"
"2823";"zrcadlo";"41";"2,563";"5,32";"1,373"
"2824";"předvolební";"43";"2,294";"5,22";"1,373"
"2825";"Morava";"93";"0,781";"4,03";"1,372"
"2826";"mafie";"37";"3,465";"5,532";"1,372"
"2827";"businessman";"35";"4,498";"5,654";"1,371"
"2828";"ovoce";"54";"1,522";"4,79";"1,371"
"2829";"hlavní";"254";"0,342";"3,366";"1,371"
"2830";"nitro";"36";"3,843";"5,582";"1,369"
"2831";"2001";"55";"1,471";"4,74";"1,367"
"2832";"primátor";"75";"0,978";"4,264";"1,366"
"2833";"vychovávat";"39";"2,878";"5,396";"1,366"
"2834";"Pavel";"171";"0,446";"3,478";"1,366"
"2835";"vlastenec";"35";"4,392";"5,634";"1,366"
"2836";"brácha";"37";"3,405";"5,509";"1,366"
"2837";"komisař";"42";"2,378";"5,234";"1,365"
"2838";"příkaz";"42";"2,372";"5,229";"1,363"
"2839";"vesele";"36";"3,766";"5,559";"1,363"
"2840";"pěkný";"64";"1,18";"4,469";"1,362"
"2841";"náročný";"89";"0,801";"4,019";"1,362"
"2842";"jednotně";"34";"5,324";"5,685";"1,362"
"2843";"pořádně";"58";"1,349";"4,625";"1,361"
"2844";"počet";"189";"0,407";"3,383";"1,361"
