id;left;kwic;right
"31";"K/k/RR--3---------- zákazníkům/zákazník/NNMP3-----A---- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- nejistě/jistě/Dg-------1N---- ,/,/Z:------------- nedokázal/dokázat/VpMS----R-NAP-- se/se/P7--4---------- soustředit/soustředit/Vf--------A-B-- na/na/RR--4---------- jejich/jejich/PSNS4-P3------- přání/přání/NNNS4-----A----";"a/a/J^------------- dotazy/dotaz/NNIP4-----A---- ././Z:-------------"
"32";"Dá/dát/VB-S---3P-AAI-- se/se/P7--4---------- totiž/totiž/TT------------- očekávat/očekávat/Vf--------A-I-- ,/,/Z:------------- že/že/J,------------- obě/oba/ClFP1---------- země/země/NNFP1-----A----";"chovají/chovat/VB-P---3P-AAI-- tajné/tajný/AANS4----1A---- přání/přání/NNNS4-----A----";"vyjednávat/vyjednávat/Vf--------A-I-- z/z/RR--2---------- pozice/pozice/NNFS2-----A---- silnějšího/silný/AANS2----2A---- ././Z:-------------"
"33";"Civilně/civilně/Dg-------1A---- se/se/P7--4---------- Veličenstvo/veličenstvo/NNNS1-----A----";"chová/chovat/VB-S---3P-AAI-- i/i/J^------------- jinak/jinak/Db------------- :/:/Z:------------- zatímco/zatímco/J,------------- portrét/portrét/NNIS4-----A---- Alžběty/Alžběta/NNFS2-----A---- II/II/C}------------- ././Z0------------- si/se/P7--3---------- lze/lze/Db------------- koupit/koupit/Vf--------A-P-- pouze/pouze/Db------------- na/na/RR--6---------- známkách/známka/NNFP6-----A---- ,/,/Z:------------- ze/z/RV--2---------- Švédska/Švédsko/NNNS2-----A---- lze/lze/Db------------- poslat/poslat/Vf--------A-P-- pohlednici/pohlednice/NNFS4-----A---- s/s/RR--7---------- Carlem/Carlo/NNMS7-----A---- Gustavem/Gustav/NNMS7-----A---- i/i/J^------------- s/s/RR--7---------- rodinou/rodina/NNFS7-----A---- a/a/J^------------- čestná/čestný/AAFS1----1A---- stráž/stráž/NNFS1-----A---- na/na/RR--6---------- nádvoří/nádvoří/NNNS6-----A---- stockholmského/stockholmský/AAIS2----1A---- zámku/zámek/NNIS2-----A---- ,/,/Z:------------- který/který/P4MS1---------- Karel/Karel/NNMS1-----A---- Čapek/Čapek/NNMS1-----A---- přirovnal/přirovnat/VpMS----R-AAP-- k/k/RR--3---------- obrovskému/obrovský/AANS3----1A---- těžítku/těžítko/NNNS3-----A---- nad/nad/RR--7---------- mořem/moře/NNNS7-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- v/v/RR--6---------- zájmu/zájem/NNIS6-----A---- podpory/podpora/NNFS2-----A---- cestovního/cestovní/AAIS2----1A---- ruchu/ruch/NNIS2-----A---- ochotna/ochotný/ACFS------A---- zahrát/zahrát/Vf--------A-P-- i/i/J^------------- nějakou/nějaký/PZFS4---------- tu/ten/PDFS4---------- písničku/písnička/NNFS4-----A---- na/na/RR--4---------- přání/přání/NNNS4-----A----";"././Z:-------------"
"34";"Š/Š/BN------------- ././Z0------------- H/H/BN------------- ././Z0------------- M/M/BN------------- ././Z0------------- :/:/Z:------------- O/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- lidé/člověk/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- na/na/RR--6---------- konci/konec/NNIS6-----A---- života/život/NNIS2-----A---- ,/,/Z:------------- jich/oni/PPMP2--3------- panuje/panovat/VB-S---3P-AAI-- spousta/spousta/NNFS1-----A---- –/-/Z:------------- co/co/PQ--4---------- chtějí/chtít/VB-P---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- filozoficky/filozoficky/Dg-------1A---- rekapitulují/rekapitulovat/VB-P---3P-AAB-- svůj/svůj/P8IS4---------- život/život/NNIS4-----A---- ,/,/Z:------------- jaká/jaký/P4NP1---------- mají/mít/VB-P---3P-AAI-- poslední/poslední/AANP4----1A---- přání/přání/NNNP4-----A----";",/,/Z:------------- jak/jak/Db------------- jim/oni/PPMP3--3------- pomáhá/pomáhat/VB-S---3P-AAI-- víra/víra/NNFS1-----A---- ././Z:-------------"
"35";"Budějovický/budějovický/AAMS1----1A---- kormidelník/kormidelník/NNMS1-----A---- Pavel/Pavel/NNMS1-----A---- Tobiáš/Tobiáš/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- velké/velký/AANS4----1A---- přání/přání/NNNS4-----A----";"././Z:-------------"
"36";"Podle/podle/RR--2---------- stockholmského/stockholmský/AAIS2----1A---- dopravního/dopravní/AAIS2----1A---- podniku/podnik/NNIS2-----A---- SL/SL/BN------------- trpělivost/trpělivost/NNFS1-----A---- s/s/RR--7---------- hlukem/hluk/NNIS7-----A---- mobilů/mobil/NNIP2-----A---- dochází/docházet/VB-S---3P-AAI-- stále/stále/Dg-------1A---- většímu/velký/AAIS3----2A---- počtu/počet/NNIS3-----A---- cestujících/cestující/NNMP2-----A---- ,/,/Z:------------- a/a/J^------------- tak/tak/J^------------- je/být/VB-S---3P-AAI-- načase/načase/Db-------------";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- tržně/tržně/Dg-------1A---- a/a/J^------------- vyslyšet/vyslyšet/Vf--------A-P-- i/i/J^------------- jejich/jejich/PSNP4-P3------- přání/přání/NNNP4-----A----";"././Z:-------------"
"37";"Dobré/dobrý/AANS1----1A---- je/být/VB-S---3P-AAI--";"chovat/chovat/Vf--------A-I-- se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- jako/jako/J,------------- bychom/být/Vc-P---1----I-- přání/přání/NNNS4-----A----";"již/již/Db------------- měli/mít/VpMP----R-AAI-- splněno/splnit/VsNS------APP-- ././Z:-------------"
"38";"Dvojkolka/dvojkolka/NNFS1-----A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- zázračný/zázračný/AAIS1----1A---- rudlík/rudlík/NNIS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- okamžitě/okamžitě/Dg-------1A---- reaguje/reagovat/VB-S---3P-AAI-- na/na/RR--4---------- každé/každý/PLNS4---------- přání/přání/NNNS4-----A----";"jezdce/jezdec/NNMS2-----A---- ././Z:-------------"
"39";"A/a/J^------------- myslím/myslet/VB-S---1P-AAI-- si/se/P7--3---------- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- v/v/RR--6---------- manželství/manželství/NNNS6-----A---- taková/takový/PDFS1---------- rovnováha/rovnováha/NNFS1-----A---- ,/,/Z:------------- začne/začít/VB-S---3P-AAP-- se/se/P7--4---------- dařit/dařit/Vf--------A-I-- i/i/J^------------- lásce/láska/NNFS3-----A---- ,/,/Z:------------- protože/protože/J,------------- ,/,/Z:------------- jak/jak/Db------------- jsem/být/VB-S---1P-AAI-- již/již/Db------------- dříve/brzy/Dg-------2A---- uvedl/uvést/VpMS----R-AAP-- ,/,/Z:------------- jde/jít/VB-S---3P-AAI-- o/o/RR--4---------- cit/cit/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4----------";"chováme/chovat/VB-P---1P-AAI-- k/k/RR--3---------- někomu/někdo/PZM-3---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- uspokojuje/uspokojovat/VB-S---3P-AAI-- naše/náš/PSFP4-P1------- potřeby/potřeba/NNFP4-----A---- a/a/J^------------- nejskrytější/skrytý/AANS1----3A---- přání/přání/NNNP4-----A----";"././Z:-------------"
"40";"Pětice/pětice/NNFS1-----A---- čarodějek/čarodějka/NNFP2-----A---- přináší/přinášet/VB-S---3P-AAI-- další/další/AAFS4----1A---- příručku/příručka/NNFS4-----A---- ,/,/Z:------------- ve/v/RV--6---------- které/který/P4FS6---------- se/se/P7--4---------- tentokrát/tentokrát/Db------------- dozvíte/dozvědět/VB-P---2P-AAP-- ,/,/Z:------------- jakse/jakse/X@-------------";"chovat/chovat/Vf--------A-I-- ve/v/RV--6---------- společnosti/společnost/NNFS6-----A---- kluků/kluk/NNMP2-----A---- ,/,/Z:------------- jak/jak/Db------------- pochopit/pochopit/Vf--------A-P-- jejich/jejich/PSNS4-P3------- myšlení/myšlení/NNNS4-----A---- a/a/J^------------- chování/chování/NNNS4-----A---- i/i/J^------------- jak/jak/Db------------- poznat/poznat/Vf--------A-P-- jejich/jejich/PSNP4-P3------- tajná/tajný/AANP4----1A---- přání/přání/NNNP4-----A----";"././Z:-------------"
"41";"Stodola/Stodola/NNMS1-----A---- se/se/P7--4---------- hájil/hájit/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- násilně/násilně/Dg-------1A----";"choval/chovat/VpMS----R-AAI-- k/k/RR--3---------- obětem/oběť/NNFP3-----A---- na/na/RR--4---------- přání/přání/NNNS4-----A----";"manželky/manželka/NNFS2-----A---- ././Z:-------------"
"42";"Je/být/VB-S---3P-AAI-- o/o/RR--4---------- deset/deset/Cn-S4---------- let/rok/NNNP2-----A---- starší/starý/AAMS1----2A---- ,/,/Z:------------- zkušený/zkušený/AAMS1----1A---- ,/,/Z:------------- na/na/RR--4---------- toho/ten/PDMS4---------- zatím/zatím/Db------------- nemám/mít/VB-S---1P-NAI-- ,/,/Z:------------- “/""/Z:------------- konstatuje/konstatovat/VB-S---3P-AAB-- Luděk/Luděk/NNMS1-----A---- Kieswetter/Kieswetter/NNMS1-----A---- ,/,/Z:------------- ale/ale/J^------------- v/v/RR--6---------- koutku/koutek/NNIS6-----A---- duše/duše/NNFS2-----A----";"chová/chovat/VB-S---3P-AAI-- přání/přání/NNNP4-----A----";"přidat/přidat/Vf--------A-P-- ke/k/RV--3---------- zlatým/zlatý/AAFP3----1A---- medailím/medaile/NNFP3-----A---- mezi/mezi/RR--7---------- juniory/junior/NNMP7-----A---- i/i/J^------------- titul/titul/NNIS4-----A---- v/v/RR--6---------- kategorii/kategorie/NNFS6-----A---- dospělých/dospělý/NNMP2-----A---- ././Z:-------------"
"43";"K/k/RR--3---------- zákazníkům/zákazník/NNMP3-----A---- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- nejistě/jistě/Dg-------1N---- ,/,/Z:------------- nedokázal/dokázat/VpMS----R-NAP-- se/se/P7--4---------- soustředit/soustředit/Vf--------A-B-- na/na/RR--4---------- jejich/jejich/PSNS4-P3------- přání/přání/NNNS4-----A----";"a/a/J^------------- dotazy/dotaz/NNIP4-----A---- ././Z:-------------"
"44";"Vytvořil/vytvořit/VpMS----R-AAP-- si/se/P7--3---------- podmínku/podmínka/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- musí/muset/VB-S---3P-AAI--";"chovat/chovat/Vf--------A-I-- po/po/RR--4---------- slušně/slušně/Dg-------1A---- ,/,/Z:------------- plnit/plnit/Vf--------A-I-- cizí/cizí/AANP4----1A---- přání/přání/NNNP4-----A----";",/,/Z:------------- přestože/přestože/J,------------- se/se/P7--4---------- mu/on/PHMS3--3------- příčila/příčit/VpFS----R-AAI-- ././Z:-------------"
"45";"Přesto/přesto/Db------------- se/se/P7--4---------- prý/prý/TT------------- zatím/zatím/Db------------- jako/jako/J,------------- hvězda/hvězda/NNFS1-----A----";"nechová/chovat/VB-S---3P-NAI-- ,/,/Z:------------- neměl/mít/VpMS----R-NAI-- žádná/žádný/PWNP4---------- speciální/speciální/AANP4----1A---- přání/přání/NNNP4-----A----";"././Z:-------------"
"46";"Tak/tak/Db------------- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- populisté/populista/NNMP1-----A---- ,/,/Z:------------- tvrdí/tvrdit/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- jen/jen/Db------------- plní/plnit/VB-P---3P-AAI-- přání/přání/NNNP4-----A----";"občanů/občan/NNMP2-----A---- ././Z:-------------"
"47";"Jsou/být/VB-P---3P-AAI-- už/už/Db------------- restaurace/restaurace/NNFP1-----A---- a/a/J^------------- bary/bar/NNIP1-----A---- ,/,/Z:------------- kde/kde/Db------------- je/být/VB-S---3P-AAI-- přirozené/přirozený/AANS1----1A---- se/se/P7--4----------";"chovat/chovat/Vf--------A-I-- slušně/slušně/Dg-------1A---- ,/,/Z:------------- nenucené/nenucený/AANS1----1A---- a/a/J^------------- přitom/přitom/Db------------- plnit/plnit/Vf--------A-I-- přání/přání/NNNP4-----A----";"hosta/host/NNMS2-----A---- ././Z:-------------"
"48";"Přikazuji/přikazovat/VB-S---1P-AAI-1 vám/vy/PP-P3--2------- ,/,/Z:------------- abyste/aby|být/J,-------------|Vc-P---2----I-- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3-------";"choval/chovat/VpMS----R-AAI-- uctivě/uctivě/Dg-------1A---- a/a/J^------------- taktně/taktně/Dg-------1A---- a/a/J^------------- vyplňoval/vyplňovat/VpMS----R-AAI-- všechna/všechen/PLNP4---------- její/její/PSNP4FS3------- přání/přání/NNNP4-----A----";",/,/Z:------------- která/který/P4NP1---------- vám/vy/PP-P3--2------- musí/muset/VB-P---3P-AAI-1 být/být/Vf--------A-I-- rozkazem/rozkaz/NNIS7-----A---- ././Z:-------------"
"49";"A/a/J^------------- já/já/PP-S1--1------- si/se/P7--3---------- myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- státní/státní/AANS1----1A---- zastupitelství/zastupitelství/NNNS1-----A---- se/se/P7--4---------- tak/tak/Db-------------";"chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- a/a/J^------------- to/to/TT------------- bez/bez/RR--2---------- ohledu/ohled/NNIS2-----A---- na/na/RR--4---------- přání/přání/NNNS4-----A----";"kohokoli/kdokoli/PZM-2---------- a/a/J^------------- jakýchkoli/jakýkoli/PZFP2---------- zájmových/zájmový/AAFP2----1A---- skupin/skupina/NNFP2-----A---- či/či/J^------------- jednotlivců/jednotlivec/NNMP2-----A---- ././Z:-------------"
"50";"Geniální/geniální/AAMP1----1A---- čínští/čínský/AAMP1----1A---- vládcové/vládce/NNMP1-----A---6 se/se/P7--4----------";"nechovají/chovat/VB-P---3P-NAI-- jako/jako/J,------------- slon/slon/NNMS1-----A---- v/v/RR--6---------- porcelánu/porcelán/NNIS6-----A---- ,/,/Z:------------- ale/ale/J^------------- elegantně/elegantně/Dg-------1A---- do/do/RR--2---------- vedení/vedení/NNNS2-----A---- Hongkongu/Hongkong/NNIS2-----A---- opětovně/opětovně/Dg-------1A---- dosadili/dosadit/VpMP----R-AAP-- svého/svůj/P8MS4---------- muže/muž/NNMS4-----A---- ,/,/Z:------------- magnáta/magnát/NNMS4-----A---- Tunga/Tung/NNMS4-----A---- ,/,/Z:------------- který/který/P4MS1---------- plní/plnit/VB-S---3P-AAI-- i/i/J^------------- jejich/jejich/PSNP4-P3------- skrytá/skrytý/AANP4----1A---- přání/přání/NNNP4-----A----";"././Z:-------------"
"51";"Seděti/sedět/Vf--------A-I-2 na/na/RR--6---------- dvou/dva/ClFP6---------- židlích/židle/NNFP6-----A---- je/být/VB-S---3P-AAI-- takovou/takový/PDFS7---------- nestydatostí/nestydatost/NNFS7-----A---- jako/jako/J,-------------";"chovati/chovat/Vf--------A-I-2 tajné/tajný/AANS4----1A---- přání/přání/NNNS4-----A----";"ležeti/ležet/Vf--------A-I-2 ve/v/RV--6---------- dvou/dva/ClIP6---------- hrobech/hrob/NNIP6-----A---- ././Z:------------- ""/""/Z:-------------"
"52";"""/""/Z:------------- Když/když/J,------------- Griffin/Griffin/NNMS1-----A---- viděl/vidět/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,-------------";"chováme/chovat/VB-P---1P-AAI-- králíky/králík/NNMP4-----A---- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- přání/přání/NNNS4-----A----";",/,/Z:------------- jestli/jestli/J,------------- by/být/Vc----------I-- ho/on/PHNS4--3------- mohl/moci/VpMS----R-AAI-- ochutnat/ochutnat/Vf--------A-P-- ././Z:-------------"
"53";"Když/když/J,------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- po/po/RR--6---------- výstupu/výstup/NNIS6-----A---- za/za/RR--4---------- několik/několik/Ca--4---------- dní/den/NNIP2-----A---1 rozkoukal/rozkoukat/VpMS----R-AAP-- po/po/RR--6---------- politickospolečenské/politickospolečenský/AAFS6----1A---- realitě/realita/NNFS6-----A---- ,/,/Z:------------- začal/začít/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI--";"chovat/chovat/Vf--------A-I-- jen/jen/Db------------- jedno/jeden/ClNS4---------- přání/přání/NNNS4-----A----";"–/-/Z:------------- získat/získat/Vf--------A-P-- v/v/RR--6---------- komůrce/komůrka/NNFS6-----A---- několikaletou/několikaletý/AAFS4----1A---- permanentku/permanentka/NNFS4-----A---- ././Z:-------------"
"54";"A/a/J^------------- tak/tak/J^------------- se/se/P7--4---------- začaly/začít/VpFP----R-AAP--";"chovat/chovat/Vf--------A-I-- v/v/RR--6---------- císařských/císařský/AAFP6----1A---- zahradách/zahrada/NNFP6-----A---- a/a/J^------------- cestovatelé/cestovatel/NNMP1-----A---- je/oni/PPFP4--3------- povýšili/povýšit/VpMP----R-AAP-- na/na/RR--4---------- zázračné/zázračný/AAMP4----1A---- tvory/tvor/NNMP4-----A---- se/s/RV--7---------- schopností/schopnost/NNFS7-----A---- plnit/plnit/Vf--------A-I-- přání/přání/NNNP4-----A----";"././Z:-------------"
