id;left;kwic;right
"17";"";"Chovají/chovat/VB-P---3P-AAI-- proto/proto/Db------------- pro/pro/RR--4---------- zbabělce/zbabělec/NNMP4-----A---- tajnou/tajný/AAFS4----1A---- lásku/láska/NNFS4-----A----";";/;/Z:------------- bez/bez/RR--2---------- nich/oni/P5MP2--3------- by/být/Vc----------I-- se/se/P7--4---------- jejich/jejich/PSFS1-P3------- statečnost/statečnost/NNFS1-----A---- stala/stát/VpFS----R-AAP-- jen/jen/Db------------- jakousi/jakýsi/PZFS7---------- všední/všední/AAFS7----1A---- a/a/J^------------- zbytečnou/zbytečný/AAFS7----1A---- námahou/námaha/NNFS7-----A---- ,/,/Z:------------- které/který/P4FS3---------- by/být/Vc----------I-- se/se/P7--4---------- nikdo/nikdo/PWM-1---------- neobdivoval/obdivovat/VpMS----R-NAI-- ././Z:-------------"
"18";"Skromný/skromný/AAMS1----1A---- a/a/J^------------- tichý/tichý/AAMS1----1A---- mydlář/mydlář/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- lásku/láska/NNFS4-----A----";"k/k/RR--3---------- divadlu/divadlo/NNNS3-----A---- a/a/J^------------- zpěvu/zpěv/NNIS3-----A---- a/a/J^------------- přes/přes/RR--4---------- všecka/všechen/PLNP4---------- pozdější/pozdní/AANP4----2A---- protivenství/protivenství/NNNP4-----A---- zachoval/zachovat/VpMS----R-AAP-- si/se/P7--3---------- ji/on/PPFS4--3------- až/až/TT------------- do/do/RR--2---------- pozdních/pozdní/AANP2----1A---- let/rok/NNNP2-----A---- ././Z:-------------"
"19";"A/a/J^------------- když/když/J,------------- pak/pak/Db------------- přišli/přijít/VpMP----R-AAP-- opět/opět/Db------------- milí/milý/AAMP1----1A---- turisté/turista/NNMP1-----A---- a/a/J^------------- Michal/Michal/NNMS1-----A---- se/se/P7--4---------- zas/zase/Db-------------";"choval/chovat/VpMS----R-AAI-- inteligentně/inteligentně/Dg-------1A---- ,/,/Z:------------- já/já/PP-S1--1------- býval/bývat/VpMS----R-AAI-- samou/samý/PLFS7---------- radostí/radost/NNFS7-----A---- tak/tak/Db------------- popletený/popletený/AAMS1----1A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- jim/oni/PPMP3--3------- jednou/jednou/Db------------- například/například/TT------------- hromadně/hromadně/Dg-------1A---- vyznal/vyznat/VpMS----R-AAP-- lásku/láska/NNFS4-----A----";"././Z:-------------"
"20";"Já/já/PP-S1--1------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- ho/on/PHMS4--3-------";"chovala/chovat/VpFS----R-AAI-- a/a/J^------------- cítila/cítit/VpFS----R-AAI-- takovou/takový/PDFS4---------- lásku/láska/NNFS4-----A----";",/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- říkala/říkat/VpFS----R-AAI-- ,/,/Z:------------- že/že/J,------------- jestli/jestli/J,------------- tohle/tenhle/PDNS1---------- je/být/VB-S---3P-AAI-- jen/jen/Db------------- zlomek/zlomek/NNIS1-----A---- mateřské/mateřský/AAFS2----1A---- ,/,/Z:------------- čeká/čekat/VB-S---3P-AAI-- mě/já/PH-S4--1------- pěkná/pěkný/AAFS1----1A---- smršť/smršť/NNFS1-----A---- ././Z:-------------"
"21";"";"Chovejte/chovat/Vi-P---2--A-I-- neobyčejnou/obyčejný/AAFS4----1N---- lásku/láska/NNFS4-----A----";"pro/pro/RR--4---------- ty/ten/PDFP4---------- krajiny/krajina/NNFP4-----A---- ,/,/Z:------------- kde/kde/Db------------- budou/být/VB-P---3F-AAI-- vám/vy/PP-P3--2------- představovat/představovat/Vf--------A-I-- zákopy/zákop/NNIP4-----A---- ././Z:-------------"
"22";"Bylo/být/VpNS----R-AAI-- skvělé/skvělý/AANS1----1A---- uvědomit/uvědomit/Vf--------A-P-- si/se/P7--3---------- ,/,/Z:------------- že/že/J,------------- pracuji/pracovat/VB-S---1P-AAI-1 s/s/RR--7---------- gentlemanem/gentleman/NNMS7-----A---- a/a/J^------------- někým/někdo/PZM-7---------- ,/,/Z:------------- kdo/kdo/PKM-1----------";"chová/chovat/VB-S---3P-AAI-- hlubokou/hluboký/AAFS4----1A---- lásku/láska/NNFS4-----A----";"a/a/J^------------- úctu/úcta/NNFS4-----A---- k/k/RR--3---------- ženám/žena/NNFP3-----A---- ././Z:-------------"
"23";"Každý/každý/PLMS1---------- rodič/rodič/NNMS1-----A---- si/se/P7--3---------- představuje/představovat/VB-S---3P-AAI-- ,/,/Z:------------- jak/jak/Db------------- jeho/jeho/PSMP1-S3------- potomci/potomek/NNMP1-----A---- k/k/RR--3---------- sobě/se/P6--3---------- budou/být/VB-P---3F-AAI--";"chovat/chovat/Vf--------A-I-- bezbřehou/bezbřehý/AAFS4----1A---- lásku/láska/NNFS4-----A----";"././Z:-------------"
"24";"„/""/Z:------------- Městský/městský/AAMS1----1A---- člověk/člověk/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- živým/živý/AANP3----1A---- zvířatům/zvíře/NNNP3-----A---- sentimentální/sentimentální/AAFS4----1A---- ,/,/Z:------------- ba/ba/TT------------- přímo/přímo/Dg-------1A---- dětskou/dětský/AAFS4----1A---- lásku/láska/NNFS4-----A----";",/,/Z:------------- “/""/Z:------------- napsal/napsat/VpMS----R-AAP-- již/již/Db------------- zkraje/zkraje/RR--2---------- čtyřicátých/čtyřicátý/CrNP2---------- let/rok/NNNP2-----A---- pražský/pražský/AAMS1----1A---- profesor/profesor/NNMS1-----A---- zoologie/zoologie/NNFS2-----A---- Julius/Julius/NNMS1-----A---- Komárek/Komárek/NNMS1-----A---- ve/v/RV--6---------- své/svůj/P8FS6---------1 knize/kniha/NNFS6-----A---- Zvířata/zvíře/NNNP1-----A---- ve/v/RV--6---------- velkoměstě/velkoměsto/NNNS6-----A---- ,/,/Z:------------- první/první/CrFS6---------- a/a/J^------------- zatím/zatím/Db------------- poslední/poslední/AAFS6----1A---- rozsáhlejší/rozsáhlý/AAFS6----2A---- studii/studie/NNFS6-----A---- věnované/věnovaný/AAFS6----1A---- zvířeně/zvířena/NNFS6-----A---- v/v/RR--6---------- hlavním/hlavní/AANS6----1A---- městě/město/NNNS6-----A---- ,/,/Z:------------- která/který/P4FS1---------- u/u/RR--2---------- nás/my/PP-P2--1------- vyšla/vyjít/VpFS----R-AAP-- ././Z:-------------"
"25";"Pouze/pouze/Db------------- pro/pro/RR--4---------- paní/paní/NNFS4-----A---- Isabelu/Isabela/NNFS4-----A---- a/a/J^------------- pro/pro/RR--4---------- mne/já/PP-S4--1------- nebylo/být/VpNS----R-NAI-- snadné/snadný/AANS1----1A---- připojit/připojit/Vf--------A-P-- se/se/P7--4---------- k/k/RR--3---------- všeobecné/všeobecný/AAFS3----1A---- radosti/radost/NNFS3-----A---- ,/,/Z:------------- neboť/neboť/J^------------- měsíc/měsíc/NNIS4-----A---- poté/poté/Db------------- ,/,/Z:------------- co/co/Db------------- zkáza/zkáza/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- hrozila/hrozit/VpFS----R-AAI-- ,/,/Z:------------- byla/být/VpFS----R-AAI-- Federicovým/Federicův/AUNS7M--------- přičiněním/přičinění/NNNS7-----A---- zažehnaná/zažehnaný/AAFS1----1A---- ,/,/Z:------------- přerostly/přerůst/VpFP----R-AAP-- obavy/obava/NNFP4-----A---- paní/paní/NNFS2-----A---- Isabely/Isabela/NNFS2-----A---- v/v/RR--4---------- jistotu/jistota/NNFS4-----A---- ,/,/Z:------------- že/že/J,-------------";"chová/chovat/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- lásku/láska/NNFS4-----A----";"ke/k/RV--3---------- svému/svůj/P8MS3---------- nejoddanějšímu/oddaný/AAMS3----3A---- služebníkovi/služebník/NNMS3-----A---- ,/,/Z:------------- nosí/nosit/VB-S---3P-AAI-- pod/pod/RR--7---------- srdcem/srdce/NNNS7-----A---- plod/plod/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS1---------- z/z/RR--2---------- té/ten/PDFS2---------- lásky/láska/NNFS2-----A---- vzešel/vzejít/VpIS----R-AAP-- ././Z:-------------"
"26";"Vůbec/vůbec/TT------------- mě/já/PH-S4--1------- nenapadlo/napadnout/VpNS----R-NAP-1 ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- ke/k/RV--3---------- mně/já/PP-S3--1------- mohla/moci/VpFS----R-AAI--";"chovat/chovat/Vf--------A-I-- jiné/jiný/AAIP4----1A---- city/cit/NNIP4-----A---- než/než/J,------------- láskyplnou/láskyplný/AAFS4----1A---- ,/,/Z:------------- byť/byť/J,------------- roztěkanou/roztěkaný/AAFS4----1A---- náklonnost/náklonnost/NNFS4-----A---- ,/,/Z:------------- mateřskou/mateřský/AAFS4----1A---- lásku/láska/NNFS4-----A----";",/,/Z:------------- kdy/kdy/Db------------- však/však/J^------------- pro/pro/RR--4---------- jednou/jednou/Db------------- její/její/PSIP4FS3------- vlastní/vlastní/AAIP4----1A---- zájmy/zájem/NNIP4-----A---- mají/mít/VB-P---3P-AAI-- přednost/přednost/NNFS4-----A---- přede/před/RV--7---------- vším/všechen/PLNS7---------- ostatním/ostatní/AANS7----1A---- ././Z:-------------"
