id;left;kwic;right;VNP?;doc.txtype_group
11;Vězte/vědět/Vi-P---2--A-I-- ,/,/Z:------------- že/že/J,-------------;nechováme/chovat/VB-P---1P-NAI-- ani/ani/J^------------- do/do/RR--2---------- budoucna/budoucno/NNNS2-----A---- úmysl/úmysl/NNIS4-----A----;vyvíjet/vyvíjet/Vf--------A-I-- v/v/RR--6---------- tomto/tento/PDIS6---------- ohledu/ohled/NNIS6-----A---- politický/politický/AAIS4----1A---- tlak/tlak/NNIS4-----A---- ././Z:-------------;1;NMG: publicistika
12;Polonius/Polonius/NNMS1-----A---- vůči/vůči/RR--3---------- Hamletovi/Hamlet/NNMS3-----A----;nechová/chovat/VB-S---3P-NAI-- žádný/žádný/PWIS4---------- zlý/zlý/AAIS4----1A---- úmysl/úmysl/NNIS4-----A----;,/,/Z:------------- což/co/PE--1---------- je/být/VB-S---3P-AAI-- pro/pro/RR--4---------- mě/já/PH-S4--1------- zajímavé/zajímavý/AANS1----1A---- uchopení/uchopení/NNNS1-----A---- postavy/postava/NNFS2-----A---- ,/,/Z:------------- které/který/P4NS1---------- umožňuje/umožňovat/VB-S---3P-AAI-- vyjádřit/vyjádřit/Vf--------A-P-- její/její/PSFS4FS3------- větší/velký/AAFS4----2A---- lidskou/lidský/AAFS4----1A---- hloubku/hloubka/NNFS4-----A---- ././Z:-------------;1;NMG: publicistika
13;Přesto/přesto/Db------------- jsem/být/VB-S---1P-AAI-- věděl/vědět/VpMS----R-AAI-- ,/,/Z:------------- zatímco/zatímco/J,------------- jsem/být/VB-S---1P-AAI-- ta/ten/PDNP4---------- slova/slovo/NNNP4-----A---- pronášel/pronášet/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- v/v/RR--6---------- skrytu/skryt/NNIS6-----A---- duše/duše/NNFS2-----A----;chovám/chovat/VB-S---1P-AAI-- úmysl/úmysl/NNIS4-----A----;jít/jít/Vf--------A-I-- se/se/P7--4---------- toho/ten/PDIS2---------- večera/večer/NNIS2-----A---1 znovu/znovu/Db------------- podívat/podívat/Vf--------A-P-- na/na/RR--4---------- starý/starý/AAIS4----1A---- dům/dům/NNIS4-----A---- a/a/J^------------- jeho/jeho/PSNS4-S3------- okolí/okolí/NNNS4-----A---- -/-/Z:------------- sám/sám/PLMS1---------- a/a/J^------------- kvůli/kvůli/RR--3---------- ní/on/P5FS3--3------- ././Z:-------------;1;FIC: beletrie
14;Koaliční/koaliční/AAMP1----1A---- politici/politik/NNMP1-----A---- se/se/P7--4---------- však/však/J^------------- v/v/RR--6---------- této/tento/PDFS6---------- otázce/otázka/NNFS6-----A----;chovají/chovat/VB-P---3P-AAI-- naprosto/naprosto/Db------------- nevhodně/vhodně/Dg-------1N---- ,/,/Z:------------- protože/protože/J,------------- nejsou/být/VB-P---3P-NAI-- schopni/schopný/ACMP------A---- srozumitelně/srozumitelně/Dg-------1A---- vysvětlit/vysvětlit/Vf--------A-P-- občanům/občan/NNMP3-----A---- své/svůj/P8IP4---------1 úmysly/úmysl/NNIP4-----A----;././Z:-------------;0;NMG: publicistika
15;Tentýž/tentýž/PDIS1---------- měsíc/měsíc/NNIS1-----A---- teď/teď/Db------------- vychází/vycházet/VB-S---3P-AAI-- i/i/J^------------- nad/nad/RR--7---------- nesčetnými/nesčetný/AANP7----1A---- městečky/městečko/NNNP7-----A---- ,/,/Z:------------- nad/nad/RR--7---------- všemi/všechen/PLIP7---------- těmi/ten/PDIP7---------- posekanými/posekaný/AAIP7----1A---- svěžími/svěží/AAIP7----1A---- trávníky/trávník/NNIP7-----A---- a/a/J^------------- úpravnými/úpravný/AAIP7----1A---- stromy/strom/NNIP7-----A---- ,/,/Z:------------- kde/kde/Db------------- obyvatelé/obyvatel/NNMP1-----A---- obvykle/obvykle/Dg-------1A---- myšlenku/myšlenka/NNFS4-----A---- na/na/RR--4---------- vraždu/vražda/NNFS4-----A----;"chovají/chovat/VB-P---3P-AAI-- nanejvýš/nanejvýš/Db------------- v/v/RR--6---------- srdci/srdce/NNNS6-----A---- ;/;/Z:------------- kde/kde/Db------------- si/se/P7--3---------- policisté/policista/NNMP1-----A---- ospale/ospale/Dg-------1A---- řeší/řešit/VB-P---3P-AAI-- puberťácké/puberťácký/AAIP4----1A---- zločiny/zločin/NNIP4-----A---- a/a/J^------------- sem/sem/Db------------- tam/tam/Db------------- nějaké/nějaký/PZNS4---------- to/ten/PDNS4---------- domácí/domácí/AANS4----1A---- násilí/násilí/NNNS4-----A---- ,/,/Z:------------- kde/kde/Db------------- nepotřebují/potřebovat/VB-P---3P-NAI-- specialisty/specialista/NNMP4-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- by/být/Vc----------I-- předvídali/předvídat/VpMP----R-AAI-- skutečné/skutečný/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----";údajných/údajný/AAMP2----1A---- bombových/bombový/AAMP2----1A---- atentátníků/atentátník/NNMP2-----A---- ,/,/Z:------------- travičů/travič/NNMP2-----A---- ,/,/Z:------------- ochránců/ochránce/NNMP2-----A---- rasové/rasový/AAFS2----1A---- čistoty/čistota/NNFS2-----A---- se/s/RV--7---------- samopalem/samopal/NNIS7-----A---- v/v/RR--6---------- ruce/ruka/NNFS6-----A---- nebo/nebo/J^------------- dědečků/dědeček/NNMP2-----A---- ohánějících/ohánějící/AGMP2-----A---- se/se/P7--4---------- mačetou/mačeta/NNFS7-----A---- ././Z:-------------;0;FIC: beletrie
16;Ten/ten/PDMS1---------- člověk/člověk/NNMS1-----A---- působil/působit/VpMS----R-AAI-- tak/tak/Db------------- upřímně/upřímně/Dg-------1A---- a/a/J^------------- bezelstně/bezelstně/Dg-------1A---- ,/,/Z:------------- že/že/J,------------- jsem/být/VB-S---1P-AAI-- si/se/P7--3---------- nedokázala/dokázat/VpFS----R-NAP-- představit/představit/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- by/být/Vc----------I--;choval/chovat/VpMS----R-AAI-- nějaké/nějaký/PZIP4---------- postranní/postranní/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----;././Z:-------------;1;FIC: beletrie
17;Lidi/člověk/NNMP1-----A---1 ve/v/RV--6---------- frontě/fronta/NNFS6-----A---- spolu/spolu/Db------------- rozmlouvali/rozmlouvat/VpMP----R-AAI-- ,/,/Z:------------- někteří/některý/PZMP1---------- živě/živě/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- zdálo/zdát/VpNS----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- nikdo/nikdo/PWM-1----------;nechová/chovat/VB-S---3P-NAI-- nějaké/nějaký/PZIP4---------- nepřátelské/přátelský/AAIP4----1N---- úmysly/úmysl/NNIP4-----A----;././Z:-------------;1;FIC: beletrie
18;"""/""/Z:------------- Cizinci/cizinec/NNMP1-----A---- mě/já/PH-S4--1------- zajali/zajmout/VpMP----R-AAP-- a/a/J^-------------";nechovali/chovat/VpMP----R-NAI-- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1------- špatně/špatně/Dg-------1A---- ,/,/Z:------------- takže/takže/J,------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- v/v/RR--6---------- prvním/první/CrIS6---------- okamžiku/okamžik/NNIS6-----A---- mohl/moci/VpMS----R-AAI-- kojit/kojit/Vf--------A-I-- oprávněnou/oprávněný/AAFS7----1A---- nadějí/naděje/NNFS7-----A---- ,/,/Z:------------- že/že/J,------------- své/svůj/P8IP4---------1 úmysly/úmysl/NNIP4-----A----;převedu/převést/VB-S---1P-AAP-- v/v/RR--4---------- čin/čin/NNIS4-----A---- ././Z:-------------;0;FIC: beletrie
19;"""/""/Z:------------- Kdybychom/kdyby|být/J,-------------|Vc-P---1----I-- náhodou/náhodou/Db-------------";nechovali/chovat/VpMP----R-NAI-- přátelské/přátelský/AAIP4----1A---- úmysly/úmysl/NNIP4-----A----;",/,/Z:------------- ""/""/Z:------------- poznamenal/poznamenat/VpMS----R-AAP-- jsem/být/VB-S---1P-AAI-- mrzutě/mrzutě/Dg-------1A---- ././Z:-------------";1;FIC: beletrie
20;Navíc/navíc/Db------------- ,/,/Z:------------- Putin/Putin/NNMS1-----A---- k/k/RR--3---------- němu/on/P5MS3--3------- ,/,/Z:------------- jak/jak/Db------------- sám/sám/PLMS1---------- říká/říkat/VB-S---3P-AAI-- ,/,/Z:-------------;chová/chovat/VB-S---3P-AAI-- velký/velký/AAIS4----1A---- respekt/respekt/NNIS4-----A---- jako/jako/J,------------- k/k/RR--3---------- člověku/člověk/NNMS3-----A---- nedávajícímu/dávající/AGMS3-----N---- najevo/najevo/Db------------- své/svůj/P8IP4---------1 úmysly/úmysl/NNIP4-----A----;././Z:-------------;0;NMG: publicistika
