id;left;kwic;right
"684";"Teď/teď/Db------------- má/mít/VB-S---3P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- jí/on/PPFS3--3------- stát/stát/NNIS1-----A---- mstí/mstít/VB-S---3P-AAI-- ,/,/Z:------------- jen/jen/Db------------- za/za/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chce/chtít/VB-S---3P-AAI-- chovat/chovat/Vf--------A-I--";"jako/jako/J,------------- člověk/člověk/NNMS1-----A---- ././Z:-------------"
"685";"„/""/Z:------------- Stavěly/stavět/VpFP----R-AAI-- se/se/P7--4---------- k/k/RR--3---------- tomu/ten/PDNS3---------- ne/ne/TT------------- moc/moc/Db------------- vstřícně/vstřícně/Dg-------1A---- a/a/J^------------- měl/mít/VpMS----R-AAI-- jsem/být/VB-S---1P-AAI-- z/z/RR--2---------- toho/ten/PDNS2----------";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- tomu/ten/PDNS3---------- někteří/některý/PZMP1---------- chovali/chovat/VpMP----R-AAI--";",/,/Z:------------- jako/jako/J,------------- že/že/J,------------- se/se/P7--4---------- jich/oni/PPMP2--3------- to/ten/PDNS1---------- netýká/týkat/VB-S---3P-NAI-- ././Z:-------------"
"686";"Podobně/podobně/Dg-------1A---- jako/jako/J,------------- mnozí/mnohý/AAMP1----1A---- jiní/jiný/AAMP1----1A---- má/mít/VB-S---3P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- moderní/moderní/AANS1----1A---- Irsko/Irsko/NNNS1-----A---- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"ke/k/RV--3---------- své/svůj/P8FS3---------1 minulosti/minulost/NNFS3-----A---- nešetrně/šetrně/Dg-------1N---- ././Z:-------------"
"687";"Bohužel/bohužel/TT------------- nemám/mít/VB-S---1P-NAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- naši/náš/PSMP1-P1------- koaliční/koaliční/AAMP1----1A---- partneři/partner/NNMP1-----A---- vždy/vždy/Db------------- chovají/chovat/VB-P---3P-AAI--";"solidně/solidně/Dg-------1A---- k/k/RR--3---------- nám/my/PP-P3--1------- ././Z:-------------"
"688";"Paradox/paradox/NNIS1-----A---- psychologie/psychologie/NNFS2-----A---- oběti/oběť/NNFS2-----A---- totiž/totiž/TT------------- spočívá/spočívat/VB-S---3P-AAI-- v/v/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- má/mít/VB-S---3P-AAI-- často/často/Dg-------1A----";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- ona/on/PPFS1--3------- je/být/VB-S---3P-AAI-- nositelem/nositel/NNMS7-----A---- viny/vina/NNFS2-----A---- ,/,/Z:------------- a/a/J^------------- proto/proto/J^------------- si/se/P7--3---------- zaslouží/zasloužit/VB-S---3P-AAP-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- ní/on/P5FS3--3------- okolí/okolí/NNNS1-----A---- chová/chovat/VB-S---3P-AAI--";"tak/tak/Db------------- nehorázně/nehorázně/Dg-------1A---- ././Z:-------------"
"689";"""/""/Z:------------- Mám/mít/VB-S---1P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- lidé/člověk/NNMP1-----A---- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"jako/jako/J,------------- řezníci/řezník/NNMP1-----A---- ,/,/Z:------------- nepřestávají/přestávat/VB-P---3P-NAI-- vést/vést/Vf--------A-I-- války/válka/NNFP4-----A---- ,/,/Z:------------- zabíjet/zabíjet/Vf--------A-I-- ,/,/Z:------------- znásilňovat/znásilňovat/Vf--------A-I-- ././Z:-------------"
"690";"Zažíváte/zažívat/VB-P---2P-AAI-- možná/možná/TT------------- ten/ten/PDIS4---------- stejný/stejný/AAIS4----1A----";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- když/když/J,------------- vidíte/vidět/VB-P---2P-AAI-- někoho/někdo/PZM-4---------- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"trapně/trapně/Dg-------1A---- ././Z:-------------"
"691";"Jaké/jaký/P4IP4----------";"pocity/pocit/NNIP4-----A---- bychom/být/Vc-P---1----I-- chovali/chovat/VpMP----R-AAI--";"vůči/vůči/RR--3---------- sousedce/sousedka/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- nám/my/PP-P3--1------- otrávila/otrávit/VpFS----R-AAP-- kočku/kočka/NNFS4-----A---- a/a/J^------------- za/za/RR--4---------- měsíc/měsíc/NNIS4-----A---- nato/nato/Db------------- si/se/P7--3---------- zlomila/zlomit/VpFS----R-AAP-- nohu/noha/NNFS4-----A---- ?/?/Z:-------------"
"692";"Jasně/jasně/Dg-------1A---- ,/,/Z:------------- mám/mít/VB-S---1P-AAI-- ji/on/PPFS4--3------- zažitou/zažitý/AAFS4----1A---- z/z/RR--2---------- filmů/film/NNIP2-----A---- s/s/RR--7---------- Oldřichem/Oldřich/NNMS7-----A---- Novým/Nový/NNMS7-----A---- a/a/J^------------- to/ten/PDNS1---------- ,/,/Z:------------- co/co/PQ--1---------- se/se/P7--4---------- odehrávalo/odehrávat/VpNS----R-AAI-- v/v/RR--6---------- Jedové/jedový/AAFS6----1A---- chýši/chýše/NNFS6-----A---- ,/,/Z:------------- asi/asi/TT------------- taky/také/Db------------- nebyla/být/VpFS----R-NAI-- vždycky/vždy/Db------------- idylka/idylka/NNFS1-----A---- ,/,/Z:------------- ale/ale/J^------------- mám/mít/VB-S---1P-AAI--";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- k/k/RR--3---------- sobě/se/P6--3---------- lidi/člověk/NNMP1-----A---1 chovali/chovat/VpMP----R-AAI--";"jinak/jinak/Db------------- ././Z:-------------"
"693";"KRAVAŘE/Kravaře/NNIP4-----A---- Možná/možná/TT------------- jen/jen/Db------------- moc/moc/Db------------- štěkal/štěkat/VpMS----R-AAI-- ,/,/Z:------------- nebo/nebo/J^------------- měl/mít/VpMS----R-AAI-- někdo/někdo/PZM-1----------";"pocit/pocit/NNIS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chová/chovat/VB-S---3P-AAI--";"jinak/jinak/Db------------- nepřístojně/přístojně/Dg-------1N---- ././Z:-------------"
