id;left;kwic;right
"397";"Promiňte/prominout/Vi-P---2--A-P-- mi/já/PH-S3--1------- ,/,/Z:------------- ale/ale/J^------------- z/z/RR--2---------- toho/ten/PDNS2---------- ,/,/Z:------------- jak/jak/Db------------- jste/být/VB-P---2P-AAI-- se/se/P7--4---------- tady/tady/Db-------------";"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- jsem/být/VB-S---1P-AAI-- měl/mít/VpMS----R-AAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- si/se/P7--3---------- to/ten/PDNS4---------- i/i/J^------------- užíváte/užívat/VB-P---2P-AAI-- soudce/soudce/NNMS4-----A---- k/k/RR--3---------- odsouzenému/odsouzený/NNMS3-----A----"
"398";"Myslím/myslet/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- festival/festival/NNIS1-----A---- má/mít/VB-S---3P-AAI-- štěstí/štěstí/NNNS4-----A---- na/na/RR--4---------- hosty/host/NNMP4-----A---- ,/,/Z:------------- protože/protože/J,------------- všichni/všechen/PLMP1---------- vystupovali/vystupovat/VpMP----R-AAI-- velmi/velmi/Db------------- přirozeně/přirozeně/Dg-------1A---- ,/,/Z:------------- byli/být/VpMP----R-AAI-- ochotní/ochotný/AAMP1----1A---- se/se/P7--4---------- s/s/RR--7---------- lidmi/člověk/NNMP7-----A---- podělit/podělit/Vf--------A-P-- o/o/RR--4---------- své/svůj/P8IP4---------1 zážitky/zážitek/NNIP4-----A---- a/a/J^------------- zkušenosti/zkušenost/NNFP4-----A---- a/a/J^------------- přitom/přitom/Db------------- se/se/P7--4----------";"chovali/chovat/VpMP----R-AAI-- jako/jako/J,------------- obyčejní/obyčejný/AAMP1----1A---- lidé/člověk/NNMP1-----A---- a/a/J^------------- ne/ne/TT------------- nějaké/nějaký/PZFP1---------- hvězdy/hvězda/NNFP1-----A---- ,/,/Z:------------- ""/""/Z:------------- dělí/dělit/VB-P---3P-AAI-- se/se/P7--4---------- o/o/RR--4---------- své/svůj/P8IP4---------1 pocity/pocit/NNIP4-----A----";"Džupin/Džupin/NNMS1-----A---- ././Z:-------------"
"399";"""/""/Z:------------- Je/být/VB-S---3P-AAI-- pro/pro/RR--4---------- mě/já/PH-S4--1------- důležité/důležitý/AANS1----1A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- Kajínek/Kajínek/NNMS1-----A---- dívá/dívat/VB-S---3P-AAI-- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- jaký/jaký/P4IS4---------- pocit/pocit/NNIS4-----A----";"vzbuzuje/vzbuzovat/VB-S---3P-AAI-- ,/,/Z:------------- ""/""/Z:------------- řekl/říci/VpMS----R-AAP-- Lavroněnko/Lavroněnko/NNMS1-----A---- ././Z:-------------"
"400";"„/""/Z:------------- Rozdíly/rozdíl/NNIP4-----A---- ale/ale/J^------------- nedělá/dělat/VB-S---3P-NAI-- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- k/k/RR--3---------- němu/on/P5MS3--3------- jako/jako/J,------------- k/k/RR--3---------- vlastnímu/vlastní/AANS3----1A---- a/a/J^------------- nemám/mít/VB-S---1P-NAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- by/být/Vc----------I-- Jakub/Jakub/NNMS1-----A---- nějak/nějak/Db------------- trpěl/trpět/VpMS----R-AAI-- ././Z:-------------"
"401";"";"Choval/chovat/VpMS----R-AAI-- vůči/vůči/RR--3---------- ní/on/P5FS3--3------- smíšené/smíšený/AAIP4----1A---- pocity/pocit/NNIP4-----A----";",/,/Z:------------- jednu/jeden/ClFS4---------- chvíli/chvíle/NNFS4-----A---- ho/on/PHMS4--3------- přitahovala/přitahovat/VpFS----R-AAI-- její/její/PSFS1FS3------- krása/krása/NNFS1-----A---- i/i/J^------------- zápal/zápal/NNIS1-----A---- ,/,/Z:------------- vzápětí/vzápětí/Db------------- v/v/RR--6---------- něm/on/P5IS6--3------- vzbudila/vzbudit/VpFS----R-AAP-- podezíravost/podezíravost/NNFS4-----A---- a/a/J^------------- potom/potom/Db------------- ho/on/PHMS4--3------- zase/zase/Db------------- něčím/něco/PZ--7---------- rozčílila/rozčílit/VpFS----R-AAP-- ././Z:-------------"
"402";"";"Chovají/chovat/VB-P---3P-AAI-- se/se/P7--4---------- tu/tu/Db------------- jako/jako/J,------------- doma/doma/Db------------- ,/,/Z:------------- mají/mít/VB-P---3P-AAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- mohou/moci/VB-P---3P-AAI-1 řvát/řvát/Vf--------A-I-- ,/,/Z:------------- chovat/chovat/Vf--------A-I-- se/se/P7--4---------- vulgárně/vulgárně/Dg-------1A---- …/.../Z:------------- “/""/Z:------------- Zajíždíme/zajíždět/VB-P---1P-AAI-- do/do/RR--2---------- Pštrossovy/Pštrossův/AUFS2M--------- ulice/ulice/NNFS2-----A---- ././Z:-------------"
"403";"Ve/v/RV--6---------- svých/svůj/P8IP6---------- citech/cit/NNIP6-----A---- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- poněkud/poněkud/Db------------- zdrženlivě/zdrženlivě/Dg-------1A---- ,/,/Z:------------- nerad/rád/ACMS------N---- dává/dávat/VB-S---3P-AAI-- najevo/najevo/Db------------- své/svůj/P8IP4---------1 niterné/niterný/AAIP4----1A---- pocity/pocit/NNIP4-----A----";"././Z:-------------"
"404";"";"Chováte/chovat/VB-P---2P-AAI-- přirozeně/přirozeně/Dg-------1A---- ,/,/Z:------------- výrazně/výrazně/Dg-------1A---- projevujete/projevovat/VB-P---2P-AAI-- své/svůj/P8IP4---------1 pocity/pocit/NNIP4-----A----";"a/a/J^------------- svému/svůj/P8NS3---------- okolí/okolí/NNNS3-----A---- působíte/působit/VB-P---2P-AAI-- nemálo/málo/Dg-------1N---- potíží/potíž/NNFP2-----A---- ././Z:-------------"
"405";"Z/z/RR--2---------- toho/ten/PDMS2---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- se/se/P7--4---------- na/na/RR--6---------- začátku/začátek/NNIS6-----A----";"chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- idiot/idiot/NNMS1-----A---- ,/,/Z:------------- se/se/P7--4---------- později/pozdě/Dg-------2A---- vyklube/vyklubat/VB-S---3P-AAP-1 rozumný/rozumný/AAMS1----1A---- člověk/člověk/NNMS1-----A---- ;/;/Z:------------- postava/postava/NNFS1-----A---- ,/,/Z:------------- o/o/RR--6---------- níž/jenž/P9FS6---------- jeden/jeden/ClMS1---------- nemá/mít/VB-S---3P-NAI-- žádné/žádný/PWFP4---------- iluze/iluze/NNFP4-----A---- ,/,/Z:------------- pocit/pocit/NNIS4-----A----";"překvapivě/překvapivě/Dg-------1A---- nepotvrdí/potvrdit/VB-S---3P-NAP-- .../.../Z:-------------"
"406";"K/k/RR--3---------- zemi/země/NNFS3-----A---- narození/narození/NNNS2-----A----";"chová/chovat/VB-S---3P-AAI-- smíšené/smíšený/AAIP4----1A---- pocity/pocit/NNIP4-----A----";"././Z:-------------"
"407";"Z/z/RR--2---------- vlastní/vlastní/AAFS2----1A---- zkušenosti/zkušenost/NNFS2-----A---- musím/muset/VB-S---1P-AAI-- říct/říci/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- když/když/J,------------- loď/loď/NNFS4-----A---- půjčujeme/půjčovat/VB-P---1P-AAI-- absolutně/absolutně/Dg-------1A---- nezkušené/zkušený/AAFS3----1N---- posádce/posádka/NNFS3-----A---- ,/,/Z:-------------";"chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- mnohem/mnohem/Db------------- lépe/dobře/Dg-------2A---- než/než/J,------------- ti/ten/PDMP1---------- ostřílení/ostřílený/AAMP1----1A---- námořníci/námořník/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- mají/mít/VB-P---3P-AAI-- pocit/pocit/NNIS4-----A----";",/,/Z:------------- že/že/J,------------- znají/znát/VB-P---3P-AAI-- všechno/všechen/PLNS4---------- ././Z:-------------"
