id;left;kwic;right
"11";"Nedělat/dělat/Vf--------N-I-- si/se/P7--3----------";"iluze/iluze/NNFP4-----A---- a/a/J^------------- chovat/chovat/Vf--------A-I--";"se/se/P7--4---------- tak/tak/Db------------- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- si/se/P7--3---------- ochránili/ochránit/VpMP----R-AAP-- vlastní/vlastní/AAIP4----1A---- zájmy/zájem/NNIP4-----A---- -/-/Z:------------- zájmy/zájem/NNIP4-----A---- státu/stát/NNIS2-----A---- (/(/Z:------------- Evropy/Evropa/NNFS2-----A---- )/)/Z:------------- ,/,/Z:------------- demokracie/demokracie/NNFS2-----A---- ,/,/Z:------------- individuální/individuální/AAFS2----1A---- svobody/svoboda/NNFS2-----A---- a/a/J^------------- relativní/relativní/AAFS2----1A---- spravedlnosti/spravedlnost/NNFS2-----A---- ,/,/Z:------------- těžce/těžce/Dg-------1A---- a/a/J^------------- krvavě/krvavě/Dg-------1A---- dobyté/dobytý/AAFS2----1A---- staletími/století/NNNP7-----A---1 konfliktů/konflikt/NNIP2-----A---- ././Z:-------------"
"12";"Nedělám/dělat/VB-S---1P-NAI-- si/se/P7--3----------";"iluze/iluze/NNFP4-----A---- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- majitelé/majitel/NNMP1-----A---- i/i/J^------------- kritizovaní/kritizovaný/AAMP1----1A---- funkcionáři/funkcionář/NNMP1-----A---- se/se/P7--4---------- už/už/Db------------- dlouho/dlouho/Dg-------1A---- nechovají/chovat/VB-P---3P-NAI--";"košer/košer/Db------------- a/a/J^------------- rozhodně/rozhodně/TT------------- sami/sám/PLMP1---------- sebe/se/P6--4---------- neožebračují/ožebračovat/VB-P---3P-NAI-- ././Z:-------------"
"13";"Tvrdí/tvrdit/VB-P---3P-AAI-- se/se/P7--4---------- ,/,/Z:------------- že/že/J,------------- agresivní/agresivní/AAMP1----1A---- jedinci/jedinec/NNMP1-----A---- konzumují/konzumovat/VB-P---3P-AAI-- násilné/násilný/AAIP4----1A---- programy/program/NNIP4-----A---- proto/proto/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mohli/moci/VpMP----R-AAI-- své/svůj/P8NS4---------1 vlastní/vlastní/AANS4----1A---- chování/chování/NNNS4-----A---- chápat/chápat/Vf--------A-I-- jako/jako/J,------------- normální/normální/AANS4----1A---- (/(/Z:------------- srov/srov/Bi------------- ././Z0------------- Kaplan/Kaplan/NNMS1-----A---- a/a/J^------------- Singer/Singer/NNMS1-----A---- 1976/1976/C=------------- )/)/Z:------------- ,/,/Z:------------- a/a/J^------------- nebo/nebo/J^------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- si/se/P7--3---------- mohli/moci/VpMP----R-AAI-- vytvořit/vytvořit/Vf--------A-P--";"iluzi/iluze/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- chovají/chovat/VB-P---3P-AAI--";"jako/jako/J,------------- populární/populární/AAMS1----1A---- televizní/televizní/AAMS1----1A---- hrdina/hrdina/NNMS1-----A---- ././Z:-------------"
"14";"""/""/Z:------------- Nemáme/mít/VB-P---1P-NAI-- žádné/žádný/PWFP4----------";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- ale/ale/J^------------- chováme/chovat/VB-P---1P-AAI--";"velkou/velký/AAFS4----1A---- naději/naděje/NNFS4-----A---- ,/,/Z:------------- ""/""/Z:------------- řekla/říci/VpFS----R-AAP-- Pelosiová/Pelosiová/NNFS1-----A---- ,/,/Z:------------- která/který/P4FS1---------- je/být/VB-S---3P-AAI-- po/po/RR--6---------- svém/svůj/P8NS6---------- zvolení/zvolení/NNNS6-----A---- do/do/RR--2---------- funkce/funkce/NNFS2-----A---- třetím/třetí/CrMS7---------- nejvyšším/vysoký/AAMS7----3A---- americkým/americký/AAMS7----1A---- státním/státní/AAMS7----1A---- činitelem/činitel/NNMS7-----A---- ././Z:-------------"
"15";"O/o/RR--4---------- to/ten/PDNS4---------- větší/velký/AAFS1----2A---- je/být/VB-S---3P-AAI-- škoda/škoda/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- Spielberg/Spielberg/NNMS1-----A---- tuto/tento/PDFS4---------- šanci/šance/NNFS4-----A---- nevyužil/využít/VpMS----R-NAP-- a/a/J^------------- nevytvořil/vytvořit/VpMS----R-NAP-- skutečnou/skutečný/AAFS4----1A---- realitu/realita/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- ne/ne/TT------------- pouhou/pouhý/AAFS4----1A----";"iluzi/iluze/NNFS4-----A---- ,/,/Z:------------- v/v/RR--6---------- níž/jenž/P9FS6---------- se/se/P7--4---------- počítačoví/počítačový/AAMP1----1A---- dinosauři/dinosaurus/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--";"daleko/daleko/Dg-------1A---- skutečněji/skutečně/Dg-------2A---- a/a/J^------------- přirozeněji/přirozeně/Dg-------2A---- než/než/J,------------- lidé/člověk/NNMP1-----A---- ././Z:-------------"
"16";"Jistě/jistě/Dg-------1A---- si/se/P7--3---------- byl/být/VpMS----R-AAI-- vědom/vědomý/ACMS------A---- ,/,/Z:------------- kolik/kolik/Ca--1---------- rodičů/rodič/NNMP2-----A---- odsoudí/odsoudit/VB-S---3P-AAP-- jeho/jeho/PSIS1-S3------- odpor/odpor/NNIS1-----A---- k/k/RR--3---------- dětem/dítě/NNFP3-----A---- včetně/včetně/RR--2---------- těch/ten/PDMP2---------- vlastních/vlastní/AAMP2----1A---- ,/,/Z:------------- jiným/jiný/AAMP3----1A---- čtenářům/čtenář/NNMP3-----A---- může/moci/VB-S---3P-AAI-- vzít/vzít/Vf--------A-P--";"iluze/iluze/NNFP4-----A---- jeho/jeho/PSNS4-S3------- proklamativně/proklamativně/Dg-------1A---- záporné/záporný/AANS4----1A---- stanovisko/stanovisko/NNNS4-----A---- k/k/RR--3---------- vyzdvihování/vyzdvihování/NNNS3-----A---- židovského/židovský/AAIS2----1A---- národa/národ/NNIS2-----A---- ,/,/Z:------------- když/když/J,------------- tvrdí/tvrdit/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- Židé/Žid/NNMP1-----A---- se/se/P7--4---------- v/v/RR--6---------- historii/historie/NNFS6-----A---- nechovali/chovat/VpMP----R-NAI--";"násilnicky/násilnicky/Dg-------1A---- zejména/zejména/TT------------- proto/proto/Db------------- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- tomu/ten/PDNS3---------- neměli/mít/VpMP----R-NAI-- příležitost/příležitost/NNFS4-----A---- ././Z:-------------"
"17";"Tenhle/tenhle/PDMS1---------- tu/ten/PDFS4----------";"iluzi/iluze/NNFS4-----A---- choval/chovat/VpMS----R-AAI--";"také/také/Db------------- ././Z:-------------"
"18";"Tuto/tento/PDFS4----------";"iluzi/iluze/NNFS4-----A---- přitom/přitom/Db------------- vytvářejí/vytvářet/VB-P---3P-AAI-- jednotlivci/jednotlivec/NNMP1-----A---- :/:/Z:------------- chováme/chovat/VB-P---1P-AAI--";"se/se/P7--4---------- jinak/jinak/Db------------- v/v/RR--6---------- situacích/situace/NNFP6-----A---- ,/,/Z:------------- kdy/kdy/Db------------- si/se/P7--3---------- myslíme/myslet/VB-P---1P-AAI-- ,/,/Z:------------- že/že/J,------------- jsme/být/VB-P---1P-AAI-- sledováni/sledovat/VsMP------API-- ././Z:-------------"
"19";"Kromě/kromě/RR--2---------- jiného/jiný/AANS2----1A---- řekl/říci/VpMS----R-AAP-- :/:/Z:------------- ""/""/Z:------------- Není/být/VB-S---3P-NAI-- potřeba/potřeba/Db------------- dělat/dělat/Vf--------A-I-- si/se/P7--3----------";"iluze/iluze/NNFP4-----A---- ,/,/Z:------------- že/že/J,------------- tak/tak/Db------------- malá/malý/AAFS1----1A---- země/země/NNFS1-----A---- ,/,/Z:------------- jako/jako/J,------------- je/být/VB-S---3P-AAI-- Slovensko/Slovensko/NNNS1-----A---- ,/,/Z:------------- se/se/P7--4---------- bude/být/VB-S---3F-AAI-- chovat/chovat/Vf--------A-I--";"vzdorovitě/vzdorovitě/Dg-------1A---- a/a/J^------------- bude/být/VB-S---3F-AAI-- trucovat/trucovat/Vf--------A-I-- ././Z:-------------"
"20";"Pacient/pacient/NNMS1-----A---- v/v/RR--6---------- hypnóze/hypnóza/NNFS6-----A---- nerozezná/rozeznat/VB-S---3P-NAP--";"iluzi/iluze/NNFS4-----A---- od/od/RR--2---------- reality/realita/NNFS2-----A---- a/a/J^------------- jeho/jeho/PSNS1-S3------- tělo/tělo/NNNS1-----A---- se/se/P7--4---------- začne/začít/VB-S---3P-AAP-- chovat/chovat/Vf--------A-I--";",/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- mu/on/PHMS3--3------- byl/být/VpIS----R-AAI-- objem/objem/NNIS1-----A---- žaludku/žaludek/NNIS2-----A---- skutečně/skutečně/TT------------- zmenšen/zmenšit/VsIS------APP-- ././Z:-------------"
