id;left;kwic;right
"11";"Vůči/vůči/RR--3---------- svým/svůj/P8MP3---------- trýznitelům/trýznitel/NNMP3-----A----";"nechovají/chovat/VB-P---3P-NAI-- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- ta/ten/PDFS1---------- zmizela/zmizet/VpFS----R-AAP-- ././Z:-------------"
"12";"Vidíte/vidět/VB-P---2P-AAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- na/na/RR--6---------- ledě/led/NNIS6-----A---- –/-/Z:------------- je/být/VB-S---3P-AAI-- hodně/hodně/Dg-------1A---- nad/nad/RR--7---------- věcí/věc/NNFS7-----A---- ,/,/Z:------------- nemá/mít/VB-S---3P-NAI-- v/v/RR--6---------- sobě/se/P6--6---------- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- nežene/hnát/VB-S---3P-NAI-- ho/on/PHMS4--3------- touha/touha/NNFS1-----A---- oplácet/oplácet/Vf--------A-I-- ,/,/Z:------------- není/být/VB-S---3P-NAI-- motivován/motivovat/VsIS------APB-- křivdou/křivda/NNFS7-----A---- či/či/J^------------- nenávistí/nenávist/NNFS7-----A---- ././Z:-------------"
"13";"Irové/Ir/NNMP1-----A---1";"chovali/chovat/VpMP----R-AAI-- ke/k/RV--3---------- Cleggovu/Cleggův/AUIS3M--------- praporu/prapor/NNIS3-----A---- naprostou/naprostý/AAFS4----1A---- nenávist/nenávist/NNFS4-----A----";"././Z:-------------"
"14";"Proto/proto/Db------------- k/k/RR--3---------- němu/on/P5MS3--3------- nemusí/muset/VB-S---3P-NAI--";"chovat/chovat/Vf--------A-I-- nenávist/nenávist/NNFS4-----A----";"././Z:-------------"
"15";"Verlaine/Verlaine/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- takovou/takový/PDFS4---------- tu/ten/PDFS4---------- primitivní/primitivní/AAFS4----1A---- nenávist/nenávist/NNFS4-----A----";"k/k/RR--3---------- ženám/žena/NNFP3-----A---- ././Z:-------------"
"16";"„/""/Z:------------- Žraloci/žralok/NNMP1-----A---- nemají/mít/VB-P---3P-NAI-- za/za/RR--4---------- cíl/cíl/NNIS4-----A---- lidské/lidský/AAFP4----1A---- bytosti/bytost/NNFP4-----A---- a/a/J^------------- určitě/určitě/TT-------------";"nechovají/chovat/VB-P---3P-NAI-- žádnou/žádný/PWFS4---------- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- “/""/Z:------------- dodal/dodat/VpMS----R-AAP-- ././Z:-------------"
"17";"A/a/J^------------- přesto/přesto/J^-------------";"nechovám/chovat/VB-S---1P-NAI-- nenávisti/nenávist/NNFP4-----A----";"k/k/RR--3---------- Egypťanům/Egypťan/NNMP3-----A---- ,/,/Z:------------- neboť/neboť/J^------------- jak/jak/Db------------- rostl/růst/VpIS----R-AAI-- můj/můj/PSIS1-S1------- rozum/rozum/NNIS1-----A---- a/a/J^------------- mé/můj/PSNS1-S1------1 chápání/chápání/NNNS1-----A---- ,/,/Z:------------- tak/tak/J^------------- jsem/být/VB-S---1P-AAI-- se/se/P7--4---------- naučil/naučit/VpMS----R-AAP-- v/v/RR--6---------- Egyptě/Egypt/NNIS6-----A---- mnohé/mnohý/AAFS2----1A---- moudrosti/moudrost/NNFS2-----A---- ,/,/Z:------------- již/jenž/PJFS4---------- mohu/moci/VB-S---1P-AAI-1 použít/použít/Vf--------A-P-- časem/čas/NNIS7-----A---- proti/proti/RR--3---------- němu/on/P5IS3--3------- ././Z:-------------"
"18";"Proč/proč/Db------------- by/být/Vc----------I--";"choval/chovat/VpMS----R-AAI-- nenávist/nenávist/NNFS4-----A----";"k/k/RR--3---------- třetí/třetí/CrFS3---------- oběti/oběť/NNFS3-----A---- ?/?/Z:-------------"
"19";"Jedinou/jediný/AAFS7----1A---- bytostí/bytost/NNFS7-----A---- ,/,/Z:------------- vůči/vůči/RR--3---------- níž/jenž/P9FS3----------";"chovám/chovat/VB-S---1P-AAI-- zášť/zášť/NNFS4-----A---- ,/,/Z:------------- možná/možná/TT------------- jistou/jistý/AAFS4----1A---- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- je/být/VB-S---3P-AAI-- Anděl/anděl/NNMS1-----A---- ././Z:-------------"
"20";"Blahoslavení/blahoslavený/AAMP1----1A---- mučedníci/mučedník/NNMP1-----A----";"nechovali/chovat/VpMP----R-NAI-- nenávist/nenávist/NNFS4-----A----";",/,/Z:------------- ale/ale/J^------------- modlili/modlit/VpMP----R-AAI-- se/se/P7--4---------- ,/,/Z:------------- pracovali/pracovat/VpMP----R-AAI-- a/a/J^------------- konali/konat/VpMP----R-AAI-- dobro/dobro/NNNS4-----A---- ,/,/Z:------------- “/""/Z:------------- pronesl/pronést/VpMS----R-AAP-- v/v/RR--6---------- chrámu/chrám/NNIS6-----A---- Amato/Amato/NNMS1-----A---- ././Z:-------------"
