id;left;kwic;right
"133";"Ještě/ještě/Db------------- chci/chtít/VB-S---1P-AAI-- dodat/dodat/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- je/být/VB-S---3P-AAI-- mi/já/PH-S3--1------- třiadvacet/třiadvacet/Cn-S1---------- let/rok/NNNP2-----A---- a/a/J^------------- s/s/RR--7---------- názorem/názor/NNIS7-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- církev/církev/NNFS1-----A----";"chovala/chovat/VpFS----R-AAI-- ve/v/RV--6---------- středověku/středověk/NNIS6-----A---- nepřístojně/přístojně/Dg-------1N---- ,/,/Z:------------- když/když/J,------------- vnucovala/vnucovat/VpFS----R-AAI-- všem/všechen/PLMP3---------- uniformní/uniformní/AAIS4----1A---- postoj/postoj/NNIS4-----A----";",/,/Z:------------- souhlasím/souhlasit/VB-S---1P-AAI-- ././Z:-------------"
"134";"Nejvíc/hodně/Dg-------3A---- mě/já/PH-S4--1------- vytočí/vytočit/VB-S---3P-AAP-- ,/,/Z:------------- když/když/J,------------- vidím/vidět/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- u/u/RR--2---------- mě/já/PH-S2--1------- klient/klient/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- u/u/RR--2---------- lékaře/lékař/NNMS2-----A---- západní/západní/AAFS2----1A---- medicíny/medicína/NNFS2-----A---- a/a/J^------------- zaujme/zaujmout/VB-S---3P-AAP-- postoj/postoj/NNIS4-----A----";":/:/Z:------------- „/""/Z:------------- Paní/paní/NNFS5-----A---- doktorko/doktorka/NNFS5-----A---- ,/,/Z:------------- vylečte/vyléčit/Vi-P---2--A-P-1 mě/já/PH-S4--1------- ,/,/Z:------------- já/já/PP-S1--1------- pro/pro/RR--4---------- to/ten/PDNS4---------- nechci/chtít/VB-S---1P-NAI-- nic/nic/PW--4---------- dělat/dělat/Vf--------A-I-- ././Z:------------- “/""/Z:-------------"
"135";"SZ/SZ/BN------------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- odpovědná/odpovědný/AAFS1----1A---- vládní/vládní/AAFS1----1A---- strana/strana/NNFS1-----A---- ,/,/Z:------------- pokud/pokud/J,------------- dojde/dojít/VB-S---3P-AAP-- ke/k/RV--3---------- skutečné/skutečný/AAFS3----1A---- multilateralizaci/multilateralizace/NNFS3-----A---- protiraketové/protiraketový/AAFS2----1A---- obrany/obrana/NNFS2-----A---- ,/,/Z:------------- jsme/být/VB-P---1P-AAI-- ochotni/ochotný/ACMP------A---- svůj/svůj/P8IS4---------- postoj/postoj/NNIS4-----A----";"opět/opět/Db------------- diskutovat/diskutovat/Vf--------A-I-- ././Z:-------------"
"136";"Jestliže/jestliže/J,------------- se/se/P7--4---------- všichni/všechen/PLMP1---------- budeme/být/VB-P---1F-AAI--";"chovat/chovat/Vf--------A-I-- normálně/normálně/Dg-------1A---- a/a/J^------------- nenaučíme/naučit/VB-P---1P-NAP-- se/se/P7--4---------- vyjadřovat/vyjadřovat/Vf--------A-I-- vlastní/vlastní/AAIP4----1A---- názory/názor/NNIP4-----A---- ,/,/Z:------------- ztratíme/ztratit/VB-P---1P-AAP-- svůj/svůj/P8IS4---------- občanský/občanský/AAIS4----1A---- postoj/postoj/NNIS4-----A----";"a/a/J^------------- ocitneme/ocitnout/VB-P---1P-AAP-- se/se/P7--4---------- zanedlouho/zanedlouho/Db------------- v/v/RR--6---------- normalizované/normalizovaný/AAFS6----1A---- společnosti/společnost/NNFS6-----A---- ././Z:-------------"
"137";"Podobně/podobně/Dg-------1A---- se/se/P7--4---------- ale/ale/J^-------------";"chová/chovat/VB-S---3P-AAI-- řada/řada/NNFS1-----A---- značek/značka/NNFP2-----A---- a/a/J^------------- jejich/jejich/PSMP2-P3------- manažerů/manažer/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- pevně/pevně/Dg-------1A---- věří/věřit/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- jsou/být/VB-P---3P-AAI-- schopni/schopný/ACMP------A---- spotřebitelům/spotřebitel/NNMP3-----A---- indoktrinovat/indoktrinovat/Vf--------A-B-- jejich/jejich/PSFP4-P3------- potřeby/potřeba/NNFP4-----A---- a/a/J^------------- postoje/postoj/NNIP4-----A----";"././Z:-------------"
"138";"Lhostejnost/lhostejnost/NNFS1-----A---- k/k/RR--3---------- této/tento/PDFS3---------- postavě/postava/NNFS3-----A----";"chová/chovat/VB-S---3P-AAI-- 22/22/C=------------- procent/procento/NNNP2-----A---- dotázaných/dotázaný/AAMP2----1A---- ,/,/Z:------------- 21/21/C=------------- procent/procento/NNNP2-----A---- má/mít/VB-S---3P-AAI-- negativní/negativní/AAIS4----1A---- postoj/postoj/NNIS4-----A----";",/,/Z:------------- spojený/spojený/AAIS4----1A---- se/se/P7--4---------- „/""/Z:------------- strachem/strach/NNIS7-----A---- “/""/Z:------------- ,/,/Z:------------- „/""/Z:------------- odporem/odpor/NNIS7-----A---- “/""/Z:------------- či/či/J^------------- „/""/Z:------------- nenávistí/nenávist/NNFS7-----A---- “/""/Z:------------- ././Z:-------------"
"139";"Donald/Donald/NNMS1-----A---- Trump/Trump/NNMS1-----A---- se/se/P7--4---------- v/v/RR--6---------- tomto/tento/PDIS6---------- směru/směr/NNIS6-----A----";"chová/chovat/VB-S---3P-AAI-- jako/jako/J,------------- správný/správný/AAMS1----1A---- populista/populista/NNMS1-----A---- –/-/Z:------------- z/z/RR--2---------- minulosti/minulost/NNFS2-----A---- je/být/VB-S---3P-AAI-- k/k/RR--3---------- dispozici/dispozice/NNFS3-----A---- řada/řada/NNFS1-----A---- záznamů/záznam/NNIP2-----A---- ,/,/Z:------------- na/na/RR--6---------- nichž/jenž/P9IP6---------- zastává/zastávat/VB-S---3P-AAI-- k/k/RR--3---------- těmto/tento/PDFP3---------- ožehavým/ožehavý/AAFP3----1A---- otázkám/otázka/NNFP3-----A---- spíše/spíš/TT------------- demokratické/demokratický/AAIP4----1A---- postoje/postoj/NNIP4-----A----";",/,/Z:------------- ale/ale/J^------------- během/během/RR--2---------- kampaně/kampaň/NNFS2-----A---- postupně/postupně/Dg-------1A---- zcela/zcela/Db------------- otočil/otočit/VpMS----R-AAP-- ././Z:-------------"
"140";"""/""/Z:------------- Na/na/RR--6---------- ulici/ulice/NNFS6-----A---- se/se/P7--4---------- ke/k/RV--3---------- známým/známý/NNMP3-----A----";"chová/chovat/VB-S---3P-AAI-- až/až/TT------------- okázale/okázale/Dg-------1A---- hlučně/hlučně/Dg-------1A---- ,/,/Z:------------- snad/snad/TT------------- aby/aby|být/J,-------------|Vc----------I-- dal/dát/VpMS----R-AAP-- najevo/najevo/Db------------- svůj/svůj/P8IS4---------- nesmlouvavý/nesmlouvavý/AAIS4----1A---- postoj/postoj/NNIS4-----A----";"k/k/RR--3---------- 21/21/C=------------- ././Z0------------- srpnu/srpen/NNIS3-----A---- 1968/1968/C=------------- ././Z:-------------"
"141";"Já/já/PP-S1--1------- sám/sám/PLMS1---------- jsem/být/VB-S---1P-AAI-- v/v/RR--6---------- referendu/referendum/NNNS6-----A---- hlasoval/hlasovat/VpMS----R-AAI-- proti/proti/RR--3---------- vstupu/vstup/NNIS3-----A---- České/český/AAFS2----1A---- republiky/republika/NNFS2-----A---- do/do/RR--2---------- EU/EU/BN------------- ,/,/Z:------------- ale/ale/J^------------- když/když/J,------------- už/už/Db------------- jsme/být/VB-P---1P-AAI-- tam/tam/Db------------- vstoupili/vstoupit/VpMP----R-AAP-- ,/,/Z:------------- tak/tak/J^------------- bychom/být/Vc-P---1----I-- se/se/P7--4---------- měli/mít/VpMP----R-AAI--";"chovat/chovat/Vf--------A-I-- konsensuálně/konsenzuálně/Dg-------1A---- a/a/J^------------- uvědomit/uvědomit/Vf--------A-P-- si/se/P7--3---------- ,/,/Z:------------- jestli/jestli/J,------------- opravdu/opravdu/TT------------- chceme/chtít/VB-P---1P-AAI-- stát/stát/Vf--------A-I-- úplně/úplně/Dg-------1A---- mimo/mimo/Db------------- v/v/RR--6---------- izolaci/izolace/NNFS6-----A---- ,/,/Z:------------- nebo/nebo/J^------------- ne/ne/TT------------- ,/,/Z:------------- ""/""/Z:------------- vystihuje/vystihovat/VB-S---3P-AAI-- postoj/postoj/NNIS4-----A----";"většiny/většina/NNFS2-----A---- ODS/ODS/BN------------- první/první/CrMS1---------- místopředseda/místopředseda/NNMS1-----A---- strany/strana/NNFS2-----A---- David/David/NNMS1-----A---- Vodrážka/Vodrážka/NNMS1-----A---- ././Z:-------------"
"142";"Pokud/pokud/J,------------- svou/svůj/P8FS7---------1 otázkou/otázka/NNFS7-----A---- narážíte/narážet/VB-P---2P-AAI-- na/na/RR--4---------- tvrzení/tvrzení/NNNS4-----A---- ,/,/Z:------------- že/že/J,------------- sociální/sociální/AAFS1----1A---- demokracie/demokracie/NNFS1-----A---- se/se/P7--4----------";"nechová/chovat/VB-S---3P-NAI-- jako/jako/J,------------- zcela/zcela/Db------------- svébytný/svébytný/AAIS1----1A---- subjekt/subjekt/NNIS1-----A---- ,/,/Z:------------- musím/muset/VB-S---1P-AAI-- to/ten/PDNS4---------- odmítnout/odmítnout/Vf--------A-P-- ;/;/Z:------------- připouštím/připouštět/VB-S---1P-AAI-- ale/ale/J^------------- ,/,/Z:------------- že/že/J,------------- k/k/RR--3---------- tomuto/tento/PDIS3---------- dojmu/dojem/NNIS3-----A---- někdy/někdy/Db------------- přispíváme/přispívat/VB-P---1P-AAI-- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- své/svůj/P8IP4---------1 postoje/postoj/NNIP4-----A----";"nevyjadřujeme/vyjadřovat/VB-P---1P-NAI-- dostatečně/dostatečně/Dg-------1A---- jasně/jasně/Dg-------1A---- ././Z:-------------"
