id;lemma;Freq;MI;T-score;logDice;POS;VNP?
1;slušně;11 499;10,801;107,173;9,524;D;
2;agresivně;5 116;11,454;71,501;8,55;D;
3;zodpovědně;3 837;10,209;61,891;8,073;D;
4;jinak;11 411;6,853;105,898;7,699;D;
5;zvíře;7 132;7,086;83,83;7,661;N;
6;zoo;4 107;7,699;63,777;7,592;N;
7;přátelsky;2 333;10,492;48,268;7,427;D;
8;ohleduplně;2 224;12,374;47,15;7,413;D;
9;normálně;2 824;8,31;52,974;7,405;D;
10;jako;67 431;6,116;255,931;7,303;J;
11;arogantně;1 985;12,252;44,544;7,25;D;
12;hezky;2 395;8,426;48,796;7,241;D;
13;vůči;3 905;6,82;61,937;7,145;R;
14;jak;42 012;5,956;201,666;7,124;D;
15;ovce;2 094;8,543;45,638;7,1;N;
16;korektně;1 804;11,131;42,455;7,093;D;
17;úcta;2 124;8,285;45,939;7,073;N;VALLEX
18;odpovědně;1 663;10,938;40,759;6,974;D;
19;prase;2 006;7,964;44,609;6,944;N;
20;podobně;4 197;6,3;63,962;6,883;D;
21;kráva;1 908;7,922;43,501;6,878;N;
22;takhle;3 032;6,643;54,513;6,877;D;
23;divně;1 556;10,295;39,415;6,86;D;
24;takto;2 924;6,53;53,489;6,794;D;
25;vstřícně;1 460;11,025;38,192;6,793;D;
26;vhodně;1 564;8,852;39,462;6,772;D;
27;přirozeně;1 715;7,842;41,232;6,739;D;
28;ekologicky;1 479;9,269;38,395;6,734;D;
29;správně;2 251;6,802;47,02;6,713;D;
30;slepice;1 493;8,768;38,551;6,703;N;
31;stejně;8 092;5,72;88,249;6,692;D;
32;k;70 455;5,483;259,497;6,686;R;
33;racionálně;1 371;10,317;36,998;6,685;D;
34;rozumně;1 336;9,54;36,502;6,615;D;
35;macešsky;1 248;12,835;35,322;6,591;D;
36;pes;3 625;5,929;59,22;6,568;N;
37;skot;1 322;8,465;36,256;6,514;N;
38;podivně;1 228;9,76;35,002;6,51;D;
39;kůň;2 672;6,112;50,944;6,509;N;
40;umět;3 847;5,781;60,897;6,494;V;
41;tržně;1 169;11,858;34,181;6,49;D;
42;dobytek;1 256;8,671;35,353;6,468;N;
43;profesionálně;1 223;8,935;34,9;6,456;D;
44;hrubě;1 178;9,021;34,256;6,412;D;
45;šetrně;1 108;10,05;33,255;6,379;D;
46;koza;1 203;8,122;34,56;6,354;N;
47;králík;1 199;8,118;34,502;6,349;N;
48;vzorně;1 065;9,853;32,599;6,317;D;
49;plemeno;1 194;7,899;34,409;6,315;N;
50;respekt;1 415;6,917;37,305;6,308;N;VALLEX
51;naprosto;2 079;5,926;44,846;6,243;D;
52;se;286 384;5,013;518,579;6,239;P;
53;farma;1 282;6,711;35,463;6,148;N;
54;špatně;2 334;5,573;47,297;6,111;D;
55;hospodář;977;8,283;31,157;6,104;N;
56;včela;1 027;7,592;31,881;6,084;N;
57;začít;10 501;4,94;99,137;6,049;V;
58;klidně;1 415;6,147;37,086;6,049;D;
59;mile;943;8,085;30,595;6,038;D;
60;ukázněně;823;11,642;28,679;5,987;D;
61;příroda;2 172;5,381;45,486;5,952;N;
62;ekonomicky;916;7,223;30,063;5,887;D;
63;bezpečně;998;6,64;31,274;5,864;D;
64;velmi;6 480;4,798;77,605;5,853;D;
65;drůbež;820;7,84;28,511;5,832;N;
66;úplně;2 785;5,027;51,154;5,821;D;
67;zdvořile;745;9,883;27,266;5,818;D;
68;doma;3 317;4,927;55,7;5,805;D;
69;standardně;783;8,119;27,881;5,798;D;
70;kočka;1 016;6,299;31,47;5,79;N;
71;zoologický;882;6,932;29,455;5,789;A;
72;zahrada;2 024;5,135;43,709;5,758;N;
73;tak;23 945;4,562;148,191;5,751;D;
74;velice;1 822;5,117;41,455;5,692;D;
75;obezřetně;665;9,871;25,76;5,658;D;
76;podezřele;669;9,469;25,829;5,656;D;
77;způsob;2 928;4,781;52,143;5,652;N;
78;vždy;4 037;4,665;61,032;5,645;D;
79;uctivě;650;10,578;25,478;5,638;D;
80;ryba;1 159;5,553;33,319;5,631;N;
81;tiše;735;7,186;26,925;5,613;D;
82;druh;1 891;4,945;42,074;5,598;N;
83;bezohledně;610;10,218;24,677;5,542;D;
84;dojnice;626;8,804;24,964;5,539;N;
85;člověk;15 745;4,362;119,375;5,537;N;
86;zdrženlivě;602;10,407;24,518;5,527;D;
87;někdy;2 031;4,716;43,352;5,471;D;
88;holub;636;7,439;25,074;5,462;N;
89;řádný;700;6,575;26,18;5,451;A;
90;pěstovat;729;6,348;26,669;5,45;V;
91;hlučně;569;10,541;23,838;5,448;D;
92;přestat;1 157;5,175;33,073;5,447;V;
93;kdyby|být;2 806;4,537;50,691;5,446;J;
94;férově;568;10,168;23,812;5,44;D;
95;stádo;628;7,248;24,895;5,424;N;
96;dobře;5 111;4,357;68,002;5,423;D;
97;sympatie;612;7,514;24,603;5,42;N;VALLEX
98;kus;1 246;4,966;34,17;5,383;N;
99;povýšeně;539;11,813;23,21;5,381;D;
100;opatrně;674;6,41;25,656;5,375;D;
101;občas;1 292;4,905;34,745;5,37;D;
102;hospodárně;533;10,708;23,073;5,357;D;
103;náručí;565;8,025;23,678;5,356;N;
104;pěkně;751;5,788;26,908;5,331;D;
105;snažit;2 965;4,377;51,83;5,331;V;
106;ostatní;2 287;4,459;45,648;5,322;A;
107;cit;653;6,314;25,233;5,318;N;VALLEX
108;politik;1 465;4,706;36,809;5,315;N;
109;podle;11 395;4,117;100,597;5,283;R;
110;nápadně;569;6,993;23,666;5,267;D;
111;profesionál;642;6,154;24,982;5,264;N;
112;zvláštně;502;9,15;22,366;5,244;D;
113;blázen;554;6,822;23,329;5,211;N;
114;důstojně;506;8,013;22,407;5,206;D;
115;zajetí;510;7,542;22,462;5,183;N;
116;eticky;469;10,628;21,643;5,173;D;
117;neurvale;466;11,842;21,581;5,172;D;
118;často;2 850;4,185;50,45;5,161;D;
119;hrozně;669;5,594;25,33;5,155;D;
120;vlídně;466;9,669;21,561;5,151;D;
121;odlišně;471;8,969;21,659;5,149;D;
122;aby|být;9 624;3,975;91,863;5,136;J;
123;chovat;893;4,886;28,872;5,117;V;
124;slon;498;6,926;22,132;5,091;N;
125;skvěle;691;5,277;25,609;5,078;D;
126;předvídatelně;436;11,46;20,873;5,075;D;
127;lidsky;455;8,161;21,256;5,07;D;
128;prý;1 895;4,204;41,17;5,063;T;
129;vulgárně;439;9,17;20,916;5,056;D;
130;silnice;1 915;4,172;41,333;5,042;N;
131;zvěř;552;5,896;23,1;5,037;N;
132;naučit;890;4,733;28,711;5,036;V;
133;situace;2 956;4,016;51,009;5,026;N;
134;zcela;1 635;4,187;38,216;5;D;
135;navzájem;528;5,949;22,606;4,999;D;
136;ke;514;6,033;22,325;4,986;R;
137;neutrálně;409;10,535;20,21;4,977;D;
138;čestně;412;9,609;20,272;4,976;D;
139;trochu;1 728;4,128;39,193;4,975;D;
140;normální;729;4,903;26,098;4,971;A;
141;soulad;559;5,586;23,151;4,971;N;
142;oni;13 594;3,779;108,099;4,967;P;
143;opačně;429;7,733;20,615;4,966;D;
144;prostě;1 254;4,288;33,6;4,963;T;
145;laskavě;411;8,844;20,229;4,955;D;
146;had;463;6,578;21,292;4,954;N;
147;hloupě;398;8,97;19,91;4,913;D;
148;skromně;412;7,585;20,192;4,902;D;
149;přesně;1 204;4,215;32,83;4,894;D;
150;statečně;403;7,668;19,976;4,877;D;
151;dospělý;923;4,402;28,944;4,874;N;
152;řidič;1 859;3,963;40,351;4,868;N;
153;zmateně;385;8,914;19,581;4,865;D;
154;zrovna;819;4,491;27,345;4,85;D;
155;fér;401;7,322;19,9;4,847;A;
156;nějak;756;4,585;26,35;4,846;D;
157;proč;1 887;3,928;40,585;4,844;D;
158;zákazník;1 052;4,232;30,709;4,841;N;
159;personál;505;5,441;21,955;4,825;N;
160;zemědělec;575;5,021;23,241;4,816;N;
161;chlap;528;5,252;22,375;4,814;N;
162;než;6 246;3,657;72,768;4,803;J;
163;někdo;1 896;3,875;40,575;4,803;P;
164;obdobně;406;6,687;19,954;4,803;D;
165;lidé;671;4,677;24,891;4,802;N;
166;smět;953;4,25;29,248;4,8;V;
167;přiměřeně;382;7,533;19,439;4,796;D;
168;krizový;467;5,642;21,177;4,792;A;
169;příjemně;464;5,667;21,117;4,791;D;
170;obvykle;719;4,544;25,665;4,789;D;
171;pták;532;5,143;22,412;4,786;N;
172;dítě;5 546;3,647;68,528;4,783;N;
173;pravidlo;898;4,27;28,413;4,779;N;
174;muset;7 911;3,6;81,611;4,766;V;
175;se|být;414;6,19;20,068;4,759;P;
176;mazlíček;376;7,029;19,242;4,737;N;
177;přezíravě;344;11,606;18,541;4,735;D;
178;gentleman;359;7,885;18,867;4,731;N;
179;mravně;344;10,145;18,531;4,726;D;
180;pragmaticky;346;9,244;18,57;4,722;D;
181;násilně;356;7,812;18,784;4,716;D;
182;sobecky;341;10,409;18,453;4,716;D;
183;poněkud;560;4,802;22,816;4,708;D;
184;silniční;538;4,854;22,393;4,693;A;
185;žena;2 864;3,632;49,198;4,685;N;
186;pořád;1 035;4,01;30,175;4,685;D;
187;hulvát;333;10,009;18,231;4,678;N;
188;spíš;1 546;3,765;36,427;4,656;T;
189;mnohdy;505;4,907;21,723;4,655;D;
190;nevyzpytatelně;325;12,249;18,024;4,655;D;
191;já;9 486;3,471;88,616;4,652;P;
192;pokud;3 369;3,567;53,146;4,652;J;
193;matka;919;4,033;28,463;4,643;N;
194;dost;1 240;3,844;32,761;4,642;D;
195;opravdu;1 347;3,803;34,072;4,641;T;
196;skutečně;971;3,986;29,195;4,639;T;
197;sebevědomě;336;7,815;18,249;4,637;D;
198;určitý;967;3,984;29,132;4,636;A;
199;partner;840;4,092;27,283;4,633;N;
200;vy;3 524;3,527;54,213;4,622;P;
201;šelma;354;6,581;18,618;4,615;N;
202;při;6 105;3,46;71,035;4,615;R;
203;některý;2 988;3,531;49,935;4,603;P;
204;papoušek;331;7,391;18,085;4,594;N;
205;citlivě;335;7,115;18,171;4,591;D;
206;přívětivě;312;10,026;17,647;4,585;D;
207;maso;648;4,279;24,144;4,58;N;
208;seriózně;316;8,578;17,73;4,579;D;
209;my;7 177;3,41;76,747;4,578;P;
210;řádně;389;5,559;19,305;4,569;D;
211;kapr;380;5,676;19,112;4,566;N;
212;ty;946;3,89;28,683;4,562;P;
213;muž;2 938;3,487;49,368;4,56;N;
214;mnohem;891;3,923;27,882;4,555;D;
215;vzácný;467;4,806;20,837;4,546;A;
216;nikdy;1 332;3,678;33,646;4,542;D;
217;husa;337;6,436;18,146;4,536;N;
218;medvěd;396;5,315;19,4;4,533;N;
219;Čech;935;3,855;28,465;4,533;N;
220;většinou;937;3,853;28,492;4,532;D;
221;dospěle;297;11,143;17,226;4,522;D;
222;tu;1 751;3,555;38,284;4,519;D;
223;zkrátka;488;4,608;21,185;4,512;T;
224;chladně;299;8,75;17,251;4,505;D;
225;okolí;1 002;3,759;29,316;4,496;N;
226;volant;426;4,916;19,956;4,496;N;
227;zbavený;301;8,072;17,285;4,495;A;
228;iracionálně;291;11,571;17,053;4,494;D;
229;když;7 010;3,32;75,344;4,491;J;
230;obdiv;328;6,34;17,887;4,49;N;VALLEX
231;kdo;2 262;3,453;43,217;4,487;P;
232;tygr;361;5,564;18,598;4,485;N;
233;občan;1 067;3,707;30,164;4,484;N;
234;otec;855;3,834;27,189;4,476;N;
235;on;17 705;3,265;119,215;4,472;P;
236;nadále;639;4,093;23,798;4,471;D;
237;naděje;652;4,06;24,004;4,465;N;VALLEX
238;morálně;295;8,009;17,109;4,465;D;
239;farmář;337;5,906;18,051;4,464;N;
240;rodič;1 186;3,614;31,626;4,453;N;
241;navenek;302;6,915;17,234;4,438;D;
242;příliš;1 190;3,591;31,633;4,437;D;
243;idiot;293;7,436;17,018;4,43;N;
244;manžel;726;3,893;25,131;4,43;N;
245;utržený;290;7,643;16,944;4,426;A;
246;jaký;2 000;3,408;40,509;4,425;P;
247;kultivovaně;278;10,192;16,659;4,422;D;
248;sám;2 311;3,373;43,433;4,421;P;
249;statek;365;5,217;18,591;4,42;N;
250;exotický;338;5,587;18,002;4,413;A;
251;?;9 253;3,223;85,89;4,411;Z;
252;dáma;409;4,775;19,485;4,41;N;
253;suverénně;315;6,108;17,491;4,41;D;
254;pacient;884;3,699;27,443;4,4;N;
255;příkladně;277;8,722;16,604;4,397;D;
256;oblékat;321;5,836;17,603;4,394;V;
257;masný;294;6,773;16,99;4,391;A;
258;zde;1 438;3,45;34,45;4,383;D;
259;logicky;323;5,571;17,594;4,357;D;
260;rozhodně;791;3,703;25,966;4,352;T;
261;zášť;270;8,309;16,38;4,351;N;VALLEX
262;včelstvo;277;7,29;16,537;4,346;N;
263;disciplinovaně;266;9,016;16,278;4,345;D;
264;pštros;266;8,585;16,267;4,337;N;
265;nadřazeně;260;12,508;16,122;4,334;D;
266;protože;2 661;3,239;46,122;4,323;J;
267;lev;363;4,866;18,399;4,32;N;
268;rozpor;350;4,983;18,117;4,315;N;
269;vůbec;1 495;3,353;34,882;4,314;T;
270;úředník;520;4,06;21,436;4,314;N;
271;akvárium;271;7,171;16,348;4,309;N;
272;cizí;504;4,081;21,124;4,302;A;
273;hospodářský;551;3,961;21,966;4,301;A;
274;li;803;3,608;26,013;4,294;J;
275;klec;300;5,693;16,986;4,29;N;
276;samec;285;6,134;16,642;4,287;N;
277;odtažitě;252;11,241;15,868;4,286;D;
278;majitel;1 054;3,434;29,46;4,275;N;
279;holštýnský;252;9,54;15,853;4,275;A;
280;přístojně;249;12,871;15,778;4,272;D;
281;většina;1 314;3,342;32,674;4,27;N;
282;adekvátně;256;8,086;15,941;4,27;D;
283;stále;1 753;3,258;37,492;4,269;D;
284;značně;359;4,703;18,22;4,259;D;
285;společensky;262;7,09;16,068;4,258;D;
286;tam;2 713;3,163;46,272;4,257;D;
287;dcera;639;3,722;23,363;4,254;N;
288;běžný;692;3,655;24,217;4,254;A;
289;pán;1 145;3,37;30,565;4,253;N;
290;les;727;3,613;24,759;4,251;N;
291;a;74 442;3,015;239,081;4,241;J;
292;uvolněně;251;7,922;15,778;4,237;D;
293;úsporně;246;9,151;15,657;4,236;D;
294;správný;637;3,691;23,285;4,233;A;
295;najednou;495;3,961;20,82;4,228;D;
296;slušný;404;4,297;19,077;4,223;A;
297;svobodně;258;6,824;15,921;4,22;D;
298;přece;758;3,536;25,159;4,219;T;
299;různě;284;5,608;16,507;4,209;D;
300;vlastník;449;4,067;19,925;4,209;N;
301;kde;3 422;3,081;51,583;4,208;D;
302;krutě;247;7,652;15,638;4,205;D;
303;jedinec;324;4,874;17,386;4,204;N;
304;jestli;956;3,385;27,959;4,204;J;
305;vláda;1 479;3,219;34,328;4,199;N;
306;svůj;10 112;3;87,987;4,197;P;
307;chovatel;321;4,879;17,308;4,196;N;
308;zaměstnanec;876;3,417;26,826;4,195;N;
309;mít;20 283;2,979;124,356;4,193;V;
310;obora;254;6,564;15,769;4,18;N;
311;želva;251;6,639;15,684;4,17;N;
312;zatáčka;306;4,962;16,931;4,165;N;
313;cizinec;408;4,135;19,049;4,164;N;
314;zvířátko;260;6,021;15,876;4,157;N;
315;brutálně;243;7,032;15,469;4,153;D;
316;demokraticky;235;8,14;15,275;4,151;D;
317;začínat;1 045;3,272;28,98;4,148;V;
318;malý;2 348;3,06;42,648;4,144;A;
319;chodec;349;4,435;17,818;4,144;N;
320;hektar;331;4,59;17,438;4,144;N;
321;skutečný;507;3,762;20,857;4,138;A;
322;dokázat;1 464;3,146;33,94;4,135;V;
323;kluk;685;3,474;23,816;4,129;N;
324;dál;739;3,416;24,638;4,125;D;
325;přitom;1 143;3,206;30,144;4,122;D;
326;každý;2 798;3,011;46,336;4,122;P;
327;soused;390;4,122;18,615;4,121;N;
328;jelen;246;6,343;15,491;4,119;N;
329;patřičně;241;6,667;15,371;4,118;D;
330;prostředí;919;3,287;27,209;4,116;N;
331;opilý;317;4,642;17,091;4,116;A;
332;zpočátku;312;4,672;16,971;4,109;D;
333;pokorně;227;8,366;15,021;4,108;D;
334;tělo;717;3,41;24,257;4,107;N;
335;tady;1 166;3,178;30,373;4,105;D;
336;hluboký;374;4,133;18,237;4,091;A;
337;krokodýl;232;6,95;15,108;4,085;N;
338;proto;2 195;2,995;40,974;4,076;J;
339;ohled;454;3,776;19,751;4,072;N;KV
340;spořádaně;218;9,362;14,742;4,066;D;
341;ať;674;3,391;23,487;4,066;J;
342;půda;521;3,602;20,946;4,064;N;
343;celkem;806;3,282;25,47;4,064;D;
344;rizikově;216;11,061;14,69;4,064;D;
345;nutit;341;4,265;17,506;4,061;V;
346;láska;520;3,582;20,899;4,051;N;Radimský
347;tendence;267;5,131;15,874;4,05;N;
348;všechen;5 855;2,872;66,068;4,05;P;
349;velkoryse;220;7,725;14,762;4,047;D;
350;nijak;428;3,806;19,209;4,046;D;
351;pozorně;239;5,973;15,214;4,044;D;
352;transparentně;215;8,927;14,633;4,041;D;
353;totiž;2 077;2,965;39,736;4,04;T;
354;poctivě;245;5,671;15,345;4,038;D;
355;opravdový;289;4,702;16,347;4,037;A;
356;zásada;325;4,306;17,117;4,032;N;
357;nenuceně;212;9,727;14,543;4,03;D;
358;samice;238;5,891;15,167;4,029;N;
359;daněk;215;8,222;14,614;4,028;N;
360;klient;608;3,408;22,334;4,028;N;
361;doba;2 941;2,903;46,98;4,027;N;
362;opozice;339;4,184;17,399;4,026;N;
363;spravedlivě;222;6,941;14,778;4,025;D;
364;pejsek;247;5,48;15,364;4,02;N;
365;rodina;1 138;3,078;29,738;4,017;N;
366;,;168 887;2,786;351,376;4,015;Z;
367;vlastně;733;3,265;24,258;4,015;T;
368;docela;443;3,693;19,42;4,012;D;
369;nenávist;241;5,602;15,205;4,008;N;VALLEX
370;moc;1 319;3,017;31,832;4,003;N;
371;žirafa;216;7,184;14,596;4;N;
372;kachna;227;6,191;14,86;3,999;N;
373;dodržovat;294;4,504;16,391;3,999;V;
374;dosud;693;3,272;23,6;3,996;D;
375;otevřeně;243;5,433;15,228;3,993;D;
376;galantně;205;10,838;14,31;3,988;D;
377;podřízený;233;5,774;14,985;3,988;A;
378;kuře;237;5,6;15,077;3,986;N;
379;klín;226;6,103;14,815;3,985;N;
380;býk;228;5,969;14,859;3,983;N;
381;také;5 210;2,805;61,851;3,979;D;
382;vztah;751;3,199;24,421;3,977;N;KV
383;zoopark;212;7,134;14,457;3,972;;
384;současnost;430;3,647;19,081;3,967;N;
385;šílenec;211;7,163;14,425;3,967;N;
386;Němec;454;3,567;19,51;3,959;N;
387;ostravský;401;3,719;18,504;3,956;A;
388;veřejnost;659;3,236;22,947;3,949;N;
389;běžně;288;4,408;16,171;3,949;D;
390;drze;202;8,566;14,175;3,947;D;
391;zda;917;3,064;26,662;3,944;J;
392;byt;924;3,057;26,745;3,941;N;
393;smysl;498;3,431;20,247;3,936;N;
394;hvězda;575;3,31;21,561;3,936;N;
395;že;18 418;2,719;115,101;3,934;J;
396;diktátor;216;6,188;14,495;3,934;N;
397;mnohý;551;3,324;21,129;3,924;A;
398;minulost;549;3,326;21,094;3,923;N;
399;hnusně;196;10,402;13,99;3,922;D;
400;ale;11 984;2,711;92,752;3,918;J;
401;efektivně;222;5,694;14,612;3,917;D;
402;odměřeně;195;10,818;13,957;3,916;D;
403;loajálně;194;11,087;13,922;3,91;D;
404;syn;593;3,248;21,788;3,909;N;
405;mluvit;771;3,084;24,493;3,901;V;
406;váš;937;3;26,784;3,9;P;
407;fanoušek;620;3,202;22,193;3,898;N;
408;mládě;252;4,732;15,277;3,898;N;
409;který;18 828;2,68;115,8;3,896;P;
410;puberťák;196;8,081;13,948;3,895;N;
411;policista;1 052;2,951;28,241;3,893;N;
412;životní;685;3,129;23,18;3,889;A;
413;Rom;282;4,279;15,928;3,887;N;
414;nervózně;199;7,175;14,009;3,886;D;
415;můj;1 458;2,856;32,912;3,886;P;
416;...;1 744;2,818;35,841;3,883;Z;
417;jestliže;310;3,991;16,499;3,872;J;
418;zodpovědný;250;4,639;15,177;3,866;A;
419;i;14 923;2,65;102,697;3,863;J;
420;navíc;1 360;2,843;31,737;3,86;D;
421;násilnicky;187;12,651;13,673;3,86;D;
422;takový;1 897;2,778;37,203;3,859;P;
423;asi;1 713;2,794;35,42;3,858;T;
424;náš;2 812;2,726;45,014;3,858;P;
425;dle;330;3,827;16,886;3,857;R;
426;sportovně;209;5,816;14,2;3,854;D;
427;hřiště;757;3,03;24,146;3,854;N;
428;kdysi;354;3,698;17,365;3,854;D;
429;stabilně;195;7,022;13,857;3,851;D;
430;prasnice;190;8,06;13,732;3,85;N;
431;strašně;305;3,948;16,332;3,84;D;
432;holka;301;3,976;16,247;3,84;N;
433;možně;186;8,833;13,608;3,834;D;
434;provoz;744;3,005;23,878;3,829;N;
435;daný;394;3,494;18,088;3,827;A;
436;maximálně;307;3,894;16,343;3,825;D;
437;podnik;713;3,011;23,39;3,818;N;
438;sprostě;187;7,682;13,608;3,818;D;
439;venku;317;3,812;16,536;3,817;D;
440;hystericky;183;9,026;13,502;3,813;D;
441;nedůvěra;206;5,608;14,058;3,812;N;VALLEX
442;primadona;182;9,717;13,475;3,812;N;
443;prezident;864;2,918;25,504;3,81;N;
444;závisle;195;6,329;13,791;3,81;D;
445;nyní;1 393;2,778;31,88;3,809;D;
446;moci;7 871;2,607;74,161;3,805;V;
447;hovězí;216;5,124;14,275;3,8;A;
448;dotyčný;226;4,834;14,506;3,798;A;
449;vlk;219;5,021;14,343;3,798;N;
450;lhostejně;180;9,214;13,394;3,791;D;
451;poměrně;422;3,351;18,53;3,791;D;
452;pohovor;197;5,932;13,806;3,79;N;
453;nebo;4 132;2,619;53,816;3,786;J;
454;divoký;284;3,971;15,777;3,786;A;
455;naopak;813;2,908;24,715;3,784;T;
456;nevybíravě;179;9,129;13,355;3,783;D;
457;voják;416;3,35;18,396;3,781;N;
458;manželka;417;3,338;18,401;3,776;N;
459;mléko;306;3,777;16,217;3,773;N;
460;tvrdě;235;4,536;14,669;3,773;D;
461;třeba;1 711;2,699;34,994;3,773;T;
462;učit;396;3,386;17,996;3,771;V;
463;komunista;311;3,737;16,313;3,77;N;
464;dnes;2 038;2,668;38,039;3,769;D;
465;teď;1 347;2,737;31,197;3,767;D;
466;nějaký;1 252;2,753;30,135;3,767;P;
467;pasivně;180;7,711;13,352;3,765;D;
468;nikdo;948;2,829;26,455;3,765;P;
469;ošklivě;179;7,963;13,325;3,764;D;
470;brzy;1 203;2,758;29,559;3,763;D;
471;rybník;315;3,699;16,382;3,763;N;
472;kamarádsky;175;10,719;13,221;3,76;D;
473;daleko;610;3,013;21,638;3,759;D;
474;organismus;244;4,329;14,843;3,757;N;
475;jiný;2 268;2,641;39,991;3,757;A;
476;případ;1 800;2,671;35,767;3,756;N;
477;chtít;3 772;2,593;51,236;3,756;V;
478;tento;5 908;2,564;63,864;3,752;P;
479;učitel;402;3,333;18,061;3,751;N;
480;uvěřitelně;201;5,37;13,835;3,75;D;
481;tedy;1 544;2,69;33,206;3,75;T;
482;nezvykle;188;6,17;13,521;3,749;D;
483;podmínka;777;2,879;24,085;3,747;N;
484;vlastní;1 091;2,764;28,169;3,747;A;
485;společnost;1 709;2,665;34,823;3,743;N;
486;nosnice;174;8,933;13,164;3,74;N;
487;náklonnost;179;7,153;13,285;3,739;N;VALLEX
488;důvěra;285;3,836;15,699;3,737;N;VALLEX - working
489;respektovat;253;4,14;15,004;3,736;V;
490;živý;339;3,517;16,803;3,733;A;
491;podnikatel;434;3,205;18,574;3,721;N;
492;morče;174;7,824;13,133;3,721;N;
493;firma;1 791;2,632;35,493;3,719;N;
494;kolega;483;3,106;19,424;3,715;N;
495;vyzývavě;170;9,633;13,022;3,713;D;
496;subjekt;252;4,079;14,935;3,713;N;
497;jakoby;203;5,045;13,816;3,712;D;
498;táta;264;3,95;15,197;3,712;N;
499;politický;651;2,911;22,122;3,71;A;
500;různý;959;2,756;26,384;3,709;A;
501;máma;239;4,219;14,629;3,704;N;
502;údajně;343;3,435;16,808;3,701;D;
503;spontánně;177;6,605;13,167;3,697;D;
504;sestra;346;3,411;16,853;3,695;N;
505;auto;1 073;2,706;27,738;3,694;N;
506;režim;367;3,33;17,252;3,691;N;
507;sebejistě;168;8,846;12,933;3,689;D;
508;vepř;170;7,813;12,98;3,688;N;
509;žádný;1 312;2,651;30,455;3,687;P;
510;dostatečně;261;3,906;15,078;3,685;D;
511;maminka;378;3,285;17,448;3,685;N;
512;novinář;352;3,369;16,946;3,684;N;
513;.;135 855;2,45;301,137;3,679;Z;
514;vypočitatelně;165;12,196;12,842;3,679;D;
515;obchodník;265;3,85;15,15;3,678;N;
516;konstruktivně;166;9,184;12,862;3,676;D;
517;vypadat;668;2,852;22,265;3,675;V;
518;příšerně;168;7,855;12,906;3,672;D;
519;okolnost;287;3,658;15,599;3,669;N;
520;pastvina;176;6,271;13,095;3,669;N;
521;civilizovaně;164;11,108;12,8;3,668;D;
522;živočišný;188;5,354;13,376;3,664;A;
523;!;1 828;2,567;35,539;3,663;Z;
524;rybička;173;6,481;13,006;3,659;N;
525;však;2 721;2,517;43,05;3,659;J;
526;turista;388;3,21;17,569;3,658;N;
527;nosorožec;170;6,847;12,925;3,655;N;
528;konzervativně;164;8,809;12,778;3,654;D;
529;rezervovaně;163;9,591;12,751;3,653;D;
530;během;988;2,679;26,525;3,652;R;
531;obyčejný;266;3,762;15,108;3,648;A;
532;opice;178;5,822;13,106;3,647;N;
533;zvířectvo;165;7,751;12,786;3,644;N;
534;trošku;233;4,094;14,37;3,64;D;
535;dívka;420;3,101;18,105;3,638;N;
536;způsobně;161;10,101;12,677;3,638;D;
537;vřelý;169;6,57;12,863;3,632;A;
538;pouze;1 155;2,615;28,436;3,631;D;
539;"""";32 069;2,39;144,925;3,614;Z;
540;perfektně;186;5,085;13,236;3,613;D;
541;jejich;2 102;2,489;37,682;3,608;P;
542;tolerantně;157;11,198;12,525;3,605;D;
543;Česko;669;2,759;22,044;3,605;N;
544;lama;161;7,53;12,62;3,604;N;
545;banka;612;2,797;21,18;3,603;N;
546;vzorný;165;6,583;12,711;3,6;A;
547;v;52 045;2,372;184,071;3,599;R;
548;nemocný;318;3,335;16,065;3,596;A;
549;soukromý;401;3,065;17,632;3,59;A;
550;miminko;213;4,233;13,819;3,589;N;
551;skoro;397;3,072;17,555;3,589;D;
552;stáj;213;4,202;13,801;3,581;N;
553;takže;980;2,596;26,126;3,58;J;
554;zemědělský;307;3,34;15,791;3,573;A;
555;národ;273;3,525;15,087;3,571;N;
556;úžasně;161;6,604;12,558;3,568;D;
557;živočich;187;4,764;13,172;3,565;N;
558;Zeman;325;3,237;16,116;3,56;N;
559;přítomnost;238;3,794;14,315;3,56;N;
560;Evropa;724;2,668;22,673;3,559;N;
561;pár;709;2,673;22,451;3,557;D;
562;pak;2 507;2,411;40,658;3,553;D;
563;konečně;373;3,065;17,006;3,549;D;
564;něžně;155;7,465;12,379;3,549;D;
565;doposud;218;4,01;13,848;3,548;D;
566;současný;865;2,593;24,536;3,548;A;
567;nejen;913;2,575;25,144;3,546;D;
568;domácnost;287;3,382;15,316;3,544;N;
569;ne;1 120;2,514;27,607;3,538;T;
570;dravec;165;5,708;12,6;3,537;N;
571;trh;796;2,605;23,576;3,536;N;
572;podstata;324;3,196;16,036;3,536;N;
573;jen;3 786;2,362;49,566;3,535;T;
574;vězeň;210;4,074;13,631;3,53;N;
575;soukromí;185;4,619;13,048;3,524;N;
576;hodně;3 392;2,356;46,861;3,522;D;
577;virus;198;4,266;13,34;3,52;N;
578;podobný;672;2,645;21,78;3,519;A;
579;hovado;149;8,769;12,179;3,517;N;
580;typický;249;3,577;14,457;3,516;A;
581;plaz;154;6,774;12,296;3,515;N;
