id;lemma;Freq;MI;T-score;logDice;POS;VNP?
3260;vznešeně;29;6,884;5,34;1,16;D;
3261;divit;44;1,456;4,215;1,159;V;
3262;odpůrce;38;1,963;4,583;1,159;N;
3263;veterinář;33;2,874;4,961;1,158;N;
3264;kámen;55;0,992;3,687;1,158;N;
3265;Hodonín;42;1,587;4,324;1,158;N;
3266;jelení;30;4,452;5,227;1,157;A;
3267;balon;40;1,747;4,441;1,156;N;
3268;rotvajler;29;6,378;5,32;1,155;N;
3269;porušit;37;2,075;4,639;1,155;V;
3270;málokterý;31;3,653;5,125;1,155;P;
3271;atd;41;1,656;4,372;1,155;B;
3272;atmosféra;67;0,729;3,248;1,155;N;
3273;ženský;48;1,233;3,982;1,154;A;
3274;Kateřina;55;0,984;3,668;1,154;N;
3275;letos;213;0,13;1,262;1,153;D;
3276;stresový;30;4,366;5,212;1,153;A;
3277;bojácně;29;6,173;5,311;1,153;D;
3278;komfortně;29;6,172;5,31;1,153;;
3279;kontrolor;31;3,623;5,116;1,153;;
3280;expozice;67;0,726;3,235;1,153;N;
3281;odpadek;32;3,161;5,024;1,153;N;
3282;významný;91;0,466;2,634;1,153;A;
3283;informace;158;0,208;1,69;1,151;N;
3284;ozbrojený;36;2,192;4,686;1,15;A;
3285;220;33;2,807;4,923;1,149;C;
3286;moderně;30;4,276;5,194;1,149;D;
3287;asfalt;32;3,12;5,006;1,148;N;
3288;sedět;70;0,669;3,104;1,146;V;
3289;přísloví;30;4,208;5,181;1,145;N;
3290;pronajímatel;30;4,198;5,179;1,145;N;
3291;zisk;76;0,591;2,929;1,145;N;
3292;připouštět;39;1,791;4,441;1,142;V;
3293;dvakrát;78;0,564;2,857;1,142;C;
3294;svědomitě;29;5,484;5,265;1,141;D;
3295;prodej;96;0,416;2,453;1,141;N;
3296;stavební;88;0,471;2,614;1,141;A;
3297;pandemie;33;2,742;4,886;1,14;N;
3298;připadat;55;0,955;3,589;1,14;V;
3299;dveře;85;0,494;2,673;1,139;N;
3300;ordinace;37;2;4,562;1,138;N;
3301;1990;41;1,599;4,289;1,137;C;
3302;ještěrka;29;5,295;5,248;1,137;N;
3303;stavět;68;0,682;3,106;1,137;V;
3304;kavárna;43;1,452;4,16;1,136;N;
3305;umění;78;0,554;2,818;1,136;N;
3306;vyučování;32;3,006;4,953;1,135;N;
3307;sladkovodní;29;5,218;5,24;1,135;A;
3308;hrozný;37;1,986;4,547;1,135;A;
3309;dostih;34;2,468;4,777;1,134;N;
3310;Irák;41;1,588;4,273;1,134;N;
3311;bankovní;44;1,381;4,086;1,133;A;
3312;černoch;30;3,967;5,127;1,132;N;
3313;soudit;45;1,322;4,025;1,132;V;
3314;mírný;44;1,377;4,079;1,131;A;
3315;realitní;35;2,259;4,68;1,131;A;
3316;provozovat;47;1,218;3,908;1,13;V;
3317;živit;38;1,847;4,451;1,129;V;
3318;dohoda;71;0,627;2,97;1,129;N;
3319;Merkelová;32;2,95;4,925;1,129;N;
3320;skromný;34;2,432;4,751;1,128;A;
3321;pohyb;64;0,732;3,183;1,128;N;
