id;left;kwic;right;VNP?;doc.txtype_group
11;Jde/jít/VB-S---3P-AAI-- spíš/spíš/TT------------- o/o/RR--4---------- dědictví/dědictví/NNNS4-----A---- po/po/RR--6---------- předchozím/předchozí/AAMS6----1A---- majiteli/majitel/NNMS6-----A---- ,/,/Z:------------- který/který/P4MP4---------6 krokodýly/krokodýl/NNMP4-----A----;"choval/chovat/VpMS----R-AAI-- ,/,/Z:------------- “/""/Z:------------- naznačil/naznačit/VpMS----R-AAP-- plány/plán/NNIP4-----A----";nového/nový/AAMS2----1A---- majitele/majitel/NNMS2-----A---- Hanzelka/Hanzelka/NNMS1-----A---- ././Z:-------------;0;NMG: publicistika
12;Kdyby/kdyby|být/J,-------------|Vc----------I-- se/se/P7--4---------- město/město/NNNS1-----A----;chovalo/chovat/VpNS----R-AAI-- jako/jako/J,------------- podnikatel/podnikatel/NNMS1-----A---- ,/,/Z:------------- tak/tak/J^------------- tam/tam/Db------------- změní/změnit/VB-S---3P-AAP-- územní/územní/AAIS4----1A---- plán/plán/NNIS4-----A----;",/,/Z:------------- obratem/obratem/Db------------- pozemek/pozemek/NNIS4-----A---- prodá/prodat/VB-S---3P-AAP-- za/za/RR--4---------- 2800/2800/C=------------- korun/koruna/NNFP2-----A---- za/za/RR--4---------- metr/metr/NNIS4-----A---- a/a/J^------------- vydělá/vydělat/VB-S---3P-AAP-- na/na/RR--6---------- tom/ten/PDNS6---------- dalších/další/AAIP2----1A---- 7/7/C=------------- milionů/milion/CzIP2---------- ././Z:------------- ""/""/Z:-------------";0;NMG: publicistika
13;Cyklisté/cyklista/NNMP1-----A---- se/se/P7--4---------- neumí/umět/VB-P---3P-NAI-1;chovat/chovat/Vf--------A-I-- ,/,/Z:------------- nedovoluje/dovolovat/VB-S---3P-NAI-- to/ten/PDNS1---------- regulační/regulační/AAIS4----1A---- plán/plán/NNIS4-----A----;"a/a/J^------------- nepovolí/povolit/VB-P---3P-NAP-- to/ten/PDNS4---------- ani/ani/J^------------- policisté/policista/NNMP1-----A---- ,/,/Z:------------- ""/""/Z:------------- uvedl/uvést/VpMS----R-AAP-- Bielko/Bielko/NNMS1-----A---- ././Z:-------------";0;NMG: publicistika
14;Slůňata/slůně/NNNP1-----A---- ,/,/Z:------------- jejichž/jejichž/P1FP1-P3------- matky/matka/NNFP1-----A---- byly/být/VpFP----R-AAI-- zavražděny/zavraždit/VsFP------APP-- ,/,/Z:------------- se/se/P7--4---------- ke/k/RV--3---------- svým/svůj/P8MP3---------- ošetřovatelům/ošetřovatel/NNMP3-----A----;"chovají/chovat/VB-P---3P-AAI-- jako/jako/J,------------- ke/k/RV--3---------- skutečným/skutečný/AAFP3----1A---- matkám/matka/NNFP3-----A---- ,/,/Z:------------- což/co/PE--1---------- je/být/VB-S---3P-AAI-- prý/prý/TT------------- fascinující/fascinující/AGNS1-----A---- ,/,/Z:------------- ""/""/Z:------------- popisuje/popisovat/VB-S---3P-AAI-- své/svůj/P8IP4---------1 plány/plán/NNIP4-----A----";na/na/RR--4---------- letošní/letošní/AANS4----1A---- léto/léto/NNNS4-----A---- ././Z:-------------;0;NMG: publicistika
15;,/,/Z:------------- tanci/tanec/NNIS6-----A---- ,/,/Z:------------- skocích/skok/NNIP6-----A---- na/na/RR--4---------- koně/kůň/NNMS4-----A---- ,/,/Z:------------- zvedání/zvedání/NNNS4-----A---- dlouhého/dlouhý/AANS2----1A---- kopí/kopí/NNNS2-----A---- ,/,/Z:------------- běhání/běhání/NNNS4-----A---- kroužku/kroužek/NNIS2-----A---- ,/,/Z:------------- pěších/pěší/AAIP6----1A---- a/a/J^------------- jezdeckých/jezdecký/AAIP6----1A---- turnajích/turnaj/NNIP6-----A---- ,/,/Z:------------- a/a/J^------------- taky/také/Db------------- k/k/RR--3---------- tomu/ten/PDNS3---------- nás/my/PP-P4--1------- měli/mít/VpMP----R-AAI-- ,/,/Z:------------- abychom/aby|být/J,-------------|Vc-P---1----I-- se/se/P7--4---------- cizím/cizí/AAFP3----1A---- řečem/řeč/NNFP3-----A---- učili/učit/VpMP----R-AAI-- ,/,/Z:------------- jako/jako/J,------------- latinsky/latinsky/Dg-------1A---- ,/,/Z:------------- vlašsky/vlašsky/Dg-------1A---- ,/,/Z:------------- španělsky/španělsky/Dg-------1A---- a/a/J^------------- francouzsky/francouzsky/Dg-------1A---- ,/,/Z:------------- tedy/tedy/TT------------- všemu/všechen/PLNS3---------- ,/,/Z:------------- k/k/RR--3---------- čemu/co/PQ--3---------- kdo/kdo/PKM-1---------- chuť/chuť/NNFS4-----A---- a/a/J^------------- náklonnost/náklonnost/NNFS4-----A----;"choval/chovat/VpMS----R-AAI-- ././Z:------------- ""/""/Z:------------- 28/28/C=------------- Tak/tak/Db------------- popsal/popsat/VpMS----R-AAP-- Hýzrle/Hýzrle/NNMS1-----A---- hlavní/hlavní/AAFS4----1A---- náplň/náplň/NNFS4-----A---- tohoto/tento/PDNS2---------- období/období/NNNS2-----A---- svého/svůj/P8IS2---------- života/život/NNIS2-----A---- ,/,/Z:------------- které/který/P4NS1---------- beze/bez/RV--2---------- sporu/spor/NNIS2-----A---- významně/významně/Dg-------1A---- ovlivnilo/ovlivnit/VpNS----R-AAP-- jeho/jeho/PSIP4-S3------- další/další/AAIP4----1A---- plány/plán/NNIP4-----A----";a/a/J^------------- cíle/cíl/NNIP4-----A---- ././Z:-------------;0;NFC: oborová literatura
16;Člověk/člověk/NNMS1-----A---- je/být/VB-S---3P-AAI-- schopen/schopný/ACMS------A----;chovat/chovat/Vf--------A-I-- jisté/jistý/AAIP4----1A---- úmysly/úmysl/NNIP4-----A---- ,/,/Z:------------- spřádá/spřádat/VB-S---3P-AAI-- plány/plán/NNIP4-----A----;a/a/J^------------- přijímá/přijímat/VB-S---3P-AAI-- rozhodnutí/rozhodnutí/NNNS4-----A---- ve/v/RV--6---------- složitých/složitý/AAFP6----1A---- situacích/situace/NNFP6-----A---- ././Z:-------------;0;NFC: oborová literatura
17;;Chová/chovat/VB-S---3P-AAI-- -/-/Z0------------- li/li/J,------------- se/se/P7--4---------- takto/takto/Db------------- ,/,/Z:------------- jistě/jistě/Dg-------1A---- má/mít/VB-S---3P-AAI-- nějaký/nějaký/PZIS4---------- plán/plán/NNIS4-----A----;!/!/Z:-------------;0;FIC: beletrie
18;;Choval/chovat/VpMS----R-AAI-- se/se/P7--4---------- jako/jako/J,------------- idiot/idiot/NNMS1-----A---- ,/,/Z:------------- uvěřil/uvěřit/VpMS----R-AAP-- ,/,/Z:------------- že/že/J,------------- Němci/Němec/NNMP1-----A---- mohou/moci/VB-P---3P-AAI-1 přistoupit/přistoupit/Vf--------A-P-- na/na/RR--4---------- Constantinův/Constantinův/AUIS4M--------- fantastický/fantastický/AAIS4----1A---- plán/plán/NNIS4-----A----;././Z:-------------;0;FIC: beletrie
19;Najednou/najednou/Db------------- byla/být/VpFS----R-AAI-- někým/někdo/PZM-7---------- jiným/jiný/AAMS7----1A---- ,/,/Z:-------------;chovala/chovat/VpFS----R-AAI-- se/se/P7--4---------- jinak/jinak/Db------------- než/než/J,------------- dříve/dříve/Dg-------2A---- ,/,/Z:------------- měla/mít/VpFS----R-AAI-- jiné/jiný/AAIP4----1A---- životní/životní/AAIP4----1A---- plány/plán/NNIP4-----A----;,/,/Z:------------- jiné/jiný/AANS4----1A---- oblečení/oblečení/NNNS4-----A---- …/.../Z:-------------;0;NFC: oborová literatura
20;;Chováte/chovat/VB-P---2P-AAI-- se/se/P7--4---------- až/až/TT------------- příliš/příliš/Db------------- prudce/prudce/Dg-------1A---- a/a/J^------------- pokazíte/pokazit/VB-P---2P-AAP-- si/se/P7--3---------- tak/tak/Db------------- nejeden/nejeden/ClIS4---------- dobrý/dobrý/AAIS4----1A---- plán/plán/NNIS4-----A----;././Z:-------------;0;NMG: publicistika
21;Typ/typ/NNIS1-----A---- sňatkového/sňatkový/AAMS2----1A---- podvodníka/podvodník/NNMS2-----A---- ././Z0------------- •/•/Z:------------- Kompenzační/kompenzační/AAMS1----1A---- narcis/narcis/NNMS1-----A---- :/:/Z:-------------;chová/chovat/VB-S---3P-AAI-- se/se/P7--4---------- nadřazeně/nadřazeně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- trpí/trpět/VB-S---3P-AAI-- pocitem/pocit/NNIS7-----A---- méněcennosti/méněcennost/NNFS2-----A---- ,/,/Z:------------- potřebuje/potřebovat/VB-S---3P-AAI-- obdiv/obdiv/NNIS4-----A---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- se/se/P7--4---------- mohl/moci/VpMS----R-AAI-- cítit/cítit/Vf--------A-I-- normálně/normálně/Dg-------1A---- ././Z0------------- •/•/Z:------------- Narcis/narcis/NNMS1-----A---- fanatik/fanatik/NNMS1-----A---- :/:/Z:------------- má/mít/VB-S---3P-AAI-- megalomanské/megalomanský/AAIP4----1A---- plány/plán/NNIP4-----A----;,/,/Z:------------- často/často/Dg-------1A---- trpí/trpět/VB-S---3P-AAI-- paranoidními/paranoidní/AAFP7----1A---- představami/představa/NNFP7-----A---- ././Z:-------------;0;NFC: oborová literatura
22;Město/město/NNNS1-----A---- se/se/P7--4----------;chová/chovat/VB-S---3P-AAI-- ekologicky/ekologicky/Dg-------1A---- ,/,/Z:------------- třídíme/třídit/VB-P---1P-AAI-- komunální/komunální/AAIS4----1A---- odpad/odpad/NNIS4-----A---- ,/,/Z:------------- máme/mít/VB-P---1P-AAI-- zpracován/zpracovat/VsIS------APP-- plán/plán/NNIS4-----A----;odpadového/odpadový/AANS2----1A---- hospodářství/hospodářství/NNNS2-----A---- a/a/J^------------- v/v/RR--6---------- současné/současný/AAFS6----1A---- době/doba/NNFS6-----A---- budujeme/budovat/VB-P---1P-AAI-- kompostárnu/kompostárna/NNFS4-----A---- za/za/RR--4---------- 12/12/C=------------- milionů/milion/CzIP2---------- korun/koruna/NNFP2-----A---- ././Z:-------------;0;NMG: publicistika
23;Města/město/NNNP1-----A---- by/být/Vc----------I-- se/se/P7--4---------- v/v/RR--6---------- době/doba/NNFS6-----A---- krize/krize/NNFS2-----A---- měla/mít/VpNP----R-AAI--;chovat/chovat/Vf--------A-I-- podobně/podobně/Dg-------1A---- jako/jako/J,------------- komerční/komerční/AAFS1----1A---- firma/firma/NNFS1-----A---- ,/,/Z:------------- tj/tj/B^------------- ././Z0------------- soustředit/soustředit/Vf--------A-B-- se/se/P7--4---------- na/na/RR--4---------- úspory/úspora/NNFP4-----A---- v/v/RR--6---------- nákladech/náklad/NNIP6-----A---- ,/,/Z:------------- přehodnotit/přehodnotit/Vf--------A-P-- plány/plán/NNIP4-----A----;investic/investice/NNFP2-----A---1 na/na/RR--4---------- ty/ten/PDIP4---------- nejnutnější/nutný/AAIP4----3A---- ,/,/Z:------------- snažit/snažit/Vf--------A-I-- se/se/P7--4---------- o/o/RR--4---------- zefektivnění/zefektivnění/NNNS4-----A---- svého/svůj/P8IS2---------- provozu/provoz/NNIS2-----A---- a/a/J^------------- nevyhýbat/vyhýbat/Vf--------N-I-- se/se/P7--4---------- ani/ani/J^------------- propouštění/propouštění/NNNS3-----A---- ././Z:-------------;0;NMG: publicistika
24;Bez/bez/RR--2---------- větších/velký/AAFP2----2A---- komplikací/komplikace/NNFP2-----A---- se/se/P7--4---------- tu/tu/Db------------- domluvíte/domluvit/VB-P---2P-AAP-- česky/česky/Dg-------1A---- ,/,/Z:------------- a/a/J^------------- navíc/navíc/Db------------- se/se/P7--4---------- k/k/RR--3---------- vám/vy/PP-P3--2------- budou/být/VB-P---3F-AAI-- místní/místní/AAFP1----1A----;chovat/chovat/Vf--------A-I-- velmi/velmi/Db------------- přátelsky/přátelsky/Dg-------1A---- ,/,/Z:------------- což/co/PE--1---------- je/být/VB-S---3P-AAI-- další/další/AAIS1----1A---- dobrý/dobrý/AAIS1----1A---- důvod/důvod/NNIS1-----A---- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- změnit/změnit/Vf--------A-P-- letošní/letošní/AAIP4----1A---- plány/plán/NNIP4-----A----;././Z:-------------;0;NMG: publicistika
25;Dnes/dnes/Db------------- podle/podle/RR--2---------- veterinárního/veterinární/AAIS2----1A---- zákona/zákon/NNIS2-----A---- musí/muset/VB-P---3P-AAI-1 mít/mít/Vf--------A-I-- všichni/všechen/PLMP1---------- chovatelé/chovatel/NNMP1-----A---- hospodářských/hospodářský/AANP2----1A---- zvířat/zvíře/NNNP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- je/oni/PPFP4--3-------;chovají/chovat/VB-P---3P-AAI-- podnikatelským/podnikatelský/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- ,/,/Z:------------- zpracovaný/zpracovaný/AAIS4----1A---- pohotovostní/pohotovostní/AAIS4----1A---- plán/plán/NNIS4-----A----;,/,/Z:------------- kde/kde/Db------------- jsou/být/VB-P---3P-AAI-- popsány/popsat/VsFP------APP-- veškeré/veškerý/PLFP1---------- činnosti/činnost/NNFP1-----A---- ././Z:-------------;0;NFC: oborová literatura
26;Mají/mít/VB-P---3P-AAI-- psa/pes/NNMS4-----A---- ,/,/Z:-------------;"chovají/chovat/VB-P---3P-AAI-- slepice/slepice/NNFP4-----A---- a/a/J^------------- z/z/RR--2---------- úlů/úl/NNIP2-----A---- stáčejí/stáčet/VB-P---3P-AAI-- hustý/hustý/AAIS4----1A---- tmavý/tmavý/AAIS4----1A---- med/med/NNIS4-----A---- ././Z:------------- ""/""/Z:------------- Mám/mít/VB-S---1P-AAI-- svůj/svůj/P8IS4---------- plán/plán/NNIS4-----A----";",/,/Z:------------- ""/""/Z:------------- říká/říkat/VB-S---3P-AAI-- lišácky/lišácky/Dg-------1A---- pan/pán/NNMS1-----A---- Příplata/Příplata/NNMS1-----A---- ././Z:-------------";0;NMG: publicistika
27;Jenomže/jenže/J^------------- šprti/šprt/NNMP1-----A---1 se/se/P7--4---------- tak/tak/Db-------------;nechovali/chovat/VpMP----R-NAI-- ,/,/Z:------------- vždycky/vždy/Db------------- měli/mít/VpMP----R-AAI-- připravený/připravený/AAIS4----1A---- nějaký/nějaký/PZIS4---------- plán/plán/NNIS4-----A----;././Z:-------------;0;FIC: beletrie
