id;left;kwic;right
"12";"Je/být/VB-S---3P-AAI-- tak/tak/Db------------- dobře/dobře/Dg-------1A---- možné/možný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- vedle/vedle/RR--2---------- lásky/láska/NNFS2-----A---- ke/k/RV--3---------- zbraním/zbraň/NNFP3-----A----";"chová/chovat/VB-S---3P-AAI-- první/první/CrFS1---------- dáma/dáma/NNFS1-----A---- velkou/velký/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"i/i/J^------------- ke/k/RV--3---------- květinám/květina/NNFP3-----A---- ././Z:-------------"
"13";"K/k/RR--3---------- planetě/planeta/NNFS3-----A---- bychom/být/Vc-P---1----I-- se/se/P7--4---------- měli/mít/VpMP----R-AAI-- podle/podle/RR--2---------- autorky/autorka/NNFS2-----A----";"chovat/chovat/Vf--------A-I-- s/s/RR--7---------- úctou/úcta/NNFS7-----A---- a/a/J^------------- kultivovat/kultivovat/Vf--------A-I-- své/svůj/P8FP4---------1 vášně/vášeň/NNFP4-----A----";"v/v/RR--6---------- souladu/soulad/NNIS6-----A---- s/s/RR--7---------- veškerenstvem/veškerenstvo/NNNS7-----A---- ././Z:-------------"
"14";"Oba/oba/ClMP1---------- se/se/P7--4---------- snaží/snažit/VB-P---3P-AAI--";"chovat/chovat/Vf--------A-I-- ve/v/RV--6---------- společnosti/společnost/NNFS6-----A---- diskrétně/diskrétně/Dg-------1A---- ,/,/Z:------------- ale/ale/J^------------- když/když/J,------------- jsou/být/VB-P---3P-AAI-- jen/jen/Db------------- se/s/RV--7---------- svými/svůj/P8MP7---------- přáteli/přítel/NNMP7-----A---- ,/,/Z:------------- jen/jen/Db------------- těžko/těžko/Dg-------1A---- ovládají/ovládat/VB-P---3P-AAI-- svoje/svůj/P8FP4---------- vášně/vášeň/NNFP4-----A----";",/,/Z:------------- ""/""/Z:------------- řekl/říci/VpIS----R-AAP-- zdroj/zdroj/NNIS1-----A---- z/z/RR--2---------- okolí/okolí/NNNS2-----A---- páru/pár/NNIS2-----A---- listu/list/NNIS2-----A---- Daily/Daily/F%------------- Mirror/Mirror/NNIS1-----A---- ././Z:-------------"
"15";"Eduard/Eduard/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- pro/pro/RR--4---------- psychologii/psychologie/NNFS4-----A---- stejnou/stejný/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";",/,/Z:------------- jakou/jaký/P4FS4---------- projevovala/projevovat/VpFS----R-AAI-- v/v/RR--6---------- jeho/jeho/PSIS6-S3------- věku/věk/NNIS6-----A---- i/i/J^------------- jeho/jeho/PSFS1-S3------- matka/matka/NNFS1-----A---- ,/,/Z:------------- a/a/J^------------- již/již/Db------------- v/v/RR--6---------- patnácti/patnáct/Cn-P6---------- letech/rok/NNNP6-----A---- objasňoval/objasňovat/VpMS----R-AAI-- svým/svůj/P8MP3---------- přátelům/přítel/NNMP3-----A---- Freudovu/Freudův/AUFS4M--------- teorii/teorie/NNFS4-----A---- ././Z:-------------"
"16";"Britská/britský/AAFS1----1A---- autorka/autorka/NNFS1-----A----";"chovala/chovat/VpFS----R-AAI-- pro/pro/RR--4---------- jedy/jed/NNIP4-----A---- velkou/velký/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"././Z:-------------"
"17";"věděli/vědět/VpMP----R-AAI-- o/o/RR--6---------- brýlích/brýle/NNFP6-----A---- ,/,/Z:------------- které/který/P4FP4---------- jí/on/PPFS3--3------- paní/paní/NNFS1-----A---- Goethová/Goethová/X@------------- shodila/shodit/VpFS----R-AAP-- na/na/RR--4---------- zem/země/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- o/o/RR--6---------- tom/ten/PDNS6---------- ,/,/Z:------------- že/že/J,------------- tehdy/tehdy/Db------------- Goethe/Goethe/NNMS1-----A---- hanebně/hanebně/Dg-------1A---- zradil/zradit/VpMS----R-AAP-- milující/milující/AGNS4-----A---- dítě/dítě/NNNS4-----A---- ve/v/RV--4---------- prospěch/prospěch/NNIS4-----A---- vzteklého/vzteklý/AANS2----1A---- jelita/jelito/NNNS2-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- ta/ten/PDFS1---------- kniha/kniha/NNFS1-----A---- zároveň/zároveň/Db------------- (/(/Z:------------- a/a/J^------------- mnohem/mnohem/Db------------- víc/hodně/Dg-------2A---- )/)/Z:------------- lekcí/lekce/NNFP2-----A---- lásky/láska/NNFS2-----A---- udělenou/udělený/AAFS7----1A---- mrtvému/mrtvý/AAMS3----1A---- básníkovi/básník/NNMS3-----A---- ,/,/Z:------------- který/který/P4MS1---------- se/se/P7--4---------- tváří/tvář/NNFS7-----A---- v/v/RR--4---------- tvář/tvář/NNFS4-----A---- velikému/veliký/AAIS3----1A---- citu/cit/NNIS3-----A----";"choval/chovat/VpMS----R-AAI-- jako/jako/J,------------- zbabělý/zbabělý/AAMS1----1A---- šosák/šosák/NNMS1-----A---- a/a/J^------------- obětoval/obětovat/VpMS----R-AAB-- vášeň/vášeň/NNFS4-----A----";"mizernému/mizerný/AAIS3----1A---- klidu/klid/NNIS3-----A---- manželství/manželství/NNNS2-----A---- ././Z:-------------"
"18";"Estét/estét/NNMS1-----A---- se/se/P7--4---------- vyhýbá/vyhýbat/VB-S---3P-AAI-- opravdové/opravdový/AAFS3----1A---- vášni/vášeň/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- dokáže/dokázat/VB-S---3P-AAP-- jedince/jedinec/NNMS4-----A---- zotročit/zotročit/Vf--------A-P-- ;/;/Z:------------- místo/místo/RR--2---------- toho/ten/PDNS2---------- se/se/P7--4----------";"chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- jako/jako/J,------------- by/být/Vc----------I-- vášnivý/vášnivý/AAMS1----1A---- byl/být/VpMS----R-AAI-- ,/,/Z:------------- hraje/hrát/VB-S---3P-AAI-- si/se/P7--3---------- na/na/RR--4---------- vášeň/vášeň/NNFS4-----A----";"././Z:-------------"
"19";"Ani/ani/J^------------- letopisy/letopis/NNIP1-----A---- obce/obec/NNFS2-----A---- srovnané/srovnaný/AAIP1----1A---- se/s/RV--7---------- zemí/země/NNFS7-----A---- nacisty/nacista/NNMP7-----A---- se/se/P7--4----------";"nechovají/chovat/VB-P---3P-NAI-- ""/""/Z:------------- jaksepatří/jaksepatří/Db------------- ""/""/Z:------------- ,/,/Z:------------- neboť/neboť/J^------------- mají/mít/VB-P---3P-AAI-- štěstí/štěstí/NNNS4-----A---- na/na/RR--4---------- silné/silný/AAFP4----1A---- osobnosti/osobnost/NNFP4-----A---- i/i/J^------------- mocné/mocný/AAFP4----1A---- vášně/vášeň/NNFP4-----A----";"././Z:-------------"
"20";"";"Chovali/chovat/VpMP----R-AAI-- společnou/společný/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"pro/pro/RR--4---------- býčí/býčí/AAIP4----1A---- zápasy/zápas/NNIP4-----A---- ././Z:-------------"
"21";"Koller/Koller/NNMS1-----A---- však/však/J^------------- není/být/VB-S---3P-NAI-- pouze/pouze/Db------------- střelec/střelec/NNMS1-----A---- ,/,/Z:-------------";"nechová/chovat/VB-S---3P-NAI-- se/se/P7--4---------- jako/jako/J,------------- sobec/sobec/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- by/být/Vc----------I-- měl/mít/VpMS----R-AAI-- střílení/střílení/NNNS4-----A---- gólů/gól/NNIP2-----A---- za/za/RR--4---------- životní/životní/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"././Z:-------------"
"22";"";"Chováte/chovat/VB-P---2P-AAI-- pro/pro/RR--4---------- něco/něco/PZ--4---------- vášeň/vášeň/NNFS4-----A----";"?/?/Z:-------------"
"23";"Středoškolačka/středoškolačka/NNFS1-----A---- Tracey/Tracey/NNMS1-----A---- sice/sice/J^------------- narostla/narůst/VpFS----R-AAP-- do/do/RR--2---------- nebývalých/nebývalý/AAIP2----1A---- rozměrů/rozměr/NNIP2-----A---- ,/,/Z:------------- ale/ale/J^------------- i/i/J^------------- tak/tak/Db------------- ve/v/RV--6---------- svém/svůj/P8NS6---------- velkém/velký/AANS6----1A---- srdci/srdce/NNNS6-----A----";"chová/chovat/VB-S---3P-AAI-- pouze/pouze/Db------------- jednu/jeden/ClFS4---------- jedinou/jediný/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"-/-/Z:------------- tanec/tanec/NNIS4-----A---- ././Z:-------------"
"24";"";"Chovat/chovat/Vf--------A-I-- v/v/RR--6---------- jezírku/jezírko/NNNS6-----A---- vlastní/vlastní/AAFP4----1A---- rybky/rybka/NNFS2-----A---- ,/,/Z:------------- mnohem/mnohem/Db------------- větší/velký/AAFP4----2A---- ,/,/Z:------------- než/než/J,------------- jsou/být/VB-P---3P-AAI-- v/v/RR--6---------- akváriu/akvárium/NNNS6-----A---- ,/,/Z:------------- je/být/VB-S---3P-AAI-- jednak/jednak/J^------------- v/v/RR--6---------- módě/móda/NNFS6-----A---- a/a/J^------------- jednak/jednak/J^------------- se/se/P7--4---------- tato/tento/PDFS1---------- záliba/záliba/NNFS1-----A---- snadno/snadno/Dg-------1A---- změní/změnit/VB-S---3P-AAP-- v/v/RR--4---------- chovatelskou/chovatelský/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"././Z:-------------"
"25";"Tomáš/Tomáš/NNMS1-----A---- Tyc/Tyc/NNMS1-----A---- Mladý/mladý/AAMS1----1A---- profesor/profesor/NNMS1-----A----";"chová/chovat/VB-S---3P-AAI-- k/k/RR--3---------- vědě/věda/NNFS3-----A---- vášeň/vášeň/NNFS4-----A----";"././Z:-------------"
"26";"Obě/oba/ClFP1---------- ženy/žena/NNFP1-----A---- se/se/P7--4----------";"chovají/chovat/VB-P---3P-AAI-- zdrženlivě/zdrženlivě/Dg-------1A---- ,/,/Z:------------- jediná/jediný/AAFS1----1A---- vášnivější/vášnivý/AAFS1----2A---- scéna/scéna/NNFS1-----A---- nestačí/stačit/VB-S---3P-NAI-- k/k/RR--3---------- tomu/ten/PDNS3---------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- s/s/RR--7---------- nimi/oni/P5FP7--3------- diváci/divák/NNMP1-----A---- jejich/jejich/PSFS4-P3------- vzájemnou/vzájemný/AAFS4----1A---- vášeň/vášeň/NNFS4-----A----";"procítili/procítit/VpMP----R-AAP-- ././Z:-------------"
