id;left;kwic;right
"11";"Aby/aby|být/J,-------------|Vc----------I-- pan/pán/NNMS1-----A---- Okamura/Okamura/NNMS1-----A---- předešel/předejít/VpMS----R-AAP-- podezření/podezření/NNNS3-----A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- snaží/snažit/VB-S---3P-AAI-- rozeštvat/rozeštvat/Vf--------A-P-- lidi/člověk/NNMP4-----A---- a/a/J^------------- tím/ten/PDNS7---------- na/na/RR--4---------- sebe/se/P6--4---------- upozornit/upozornit/Vf--------A-P-- ,/,/Z:------------- měl/mít/VpMS----R-AAI-- by/být/Vc----------I-- asi/asi/TT------------- návod/návod/NNIS4-----A---- na/na/RR--4---------- bojkot/bojkot/NNIS4-----A---- a/a/J^------------- šikanování/šikanování/NNNS4-----A---- muslimů/muslim/NNMP2-----A---- doplnit/doplnit/Vf--------A-P-- komentářem/komentář/NNIS7-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- lidé/člověk/NNMP1-----A---- mají/mít/VB-P---3P-AAI--";"chovat/chovat/Vf--------A-I-- k/k/RR--3---------- těm/ten/PDMP3---------- muslimům/muslim/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- náš/náš/PSIS4-P1------- způsob/způsob/NNIS4-----A---- života/život/NNIS2-----A---- respektují/respektovat/VB-P---3P-AAI-- ,/,/Z:------------- dodržují/dodržovat/VB-P---3P-AAI-- zdejší/zdejší/AAIP4----1A---- zákony/zákon/NNIP4-----A---- ,/,/Z:------------- nevnucují/vnucovat/VB-P---3P-NAI-- nám/my/PP-P3--1------- svou/svůj/P8FS4---------1 víru/víra/NNFS4-----A----";",/,/Z:------------- nebrání/bránit/VB-P---3P-NAI-- nám/my/PP-P3--1------- jíst/jíst/Vf--------A-I-- to/ten/PDNS4---------- ,/,/Z:------------- co/co/PQ--4---------- oni/oni/PPMP1--3------- nejedí/jíst/VB-P---3P-NAI-1 ,/,/Z:------------- neradí/radit/VB-P---3P-NAI-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- máme/mít/VB-P---1P-AAI-- oblékat/oblékat/Vf--------A-I-- ,/,/Z:------------- a/a/J^------------- především/především/TT------------- nás/my/PP-P4--1------- považují/považovat/VB-P---3P-AAI-- za/za/RR--4---------- prima/prima/AAMP4----1A---- lidi/člověk/NNMP4-----A---- ,/,/Z:------------- mezi/mezi/RR--7---------- kterými/který/P4MP7---------- se/se/P7--4---------- skvěle/skvěle/Dg-------1A---- cítí/cítit/VB-P---3P-AAI-- ,/,/Z:------------- a/a/J^------------- vůbec/vůbec/TT------------- nemají/mít/VB-P---3P-NAI-- zapotřebí/zapotřebí/Db------------- utvářet/utvářet/Vf--------A-I-- do/do/RR--2---------- sebe/se/P6--2---------- uzavřenou/uzavřený/AAFS4----1A---- nepřátelskou/přátelský/AAFS4----1N---- komunitu/komunita/NNFS4-----A---- ././Z:-------------"
"12";"Touto/tento/PDFS7---------- důležitou/důležitý/AAFS7----1A---- věcí/věc/NNFS7-----A---- je/být/VB-S---3P-AAI-- pochopit/pochopit/Vf--------A-P-- ,/,/Z:------------- že/že/J,------------- i/i/J^------------- jiná/jiný/AANP1----1A---- náboženství/náboženství/NNNP1-----A----";"chovají/chovat/VB-P---3P-AAI-- jako/jako/J,------------- společenství/společenství/NNNS1-----A---- pevnou/pevný/AAFS4----1A---- víru/víra/NNFS4-----A----";"././Z:-------------"
"13";"Král/král/NNMS1-----A---- se/se/P7--4---------- ke/k/RV--3---------- mně/já/PP-S3--1-------";"choval/chovat/VpMS----R-AAI-- velmi/velmi/Db------------- chladně/chladně/Dg-------1A---- a/a/J^------------- já/já/PP-S1--1------- se/se/P7--4---------- začala/začít/VpFS----R-AAP-- cítit/cítit/Vf--------A-I-- poněkud/poněkud/Db------------- nejistě/jistě/Dg-------1N---- ,/,/Z:------------- protože/protože/J,------------- i/i/J^------------- když/když/J,------------- jsem/být/VB-S---1P-AAI-- byla/být/VpFS----R-AAI-- královnou/královna/NNFS7-----A---- Anglie/Anglie/NNFS2-----A---- ,/,/Z:------------- nebyla/být/VpFS----R-NAI-- jsem/být/VB-S---1P-AAI-- korunována/korunovat/VsFS------APB-- a/a/J^------------- neviděla/vidět/VpFS----R-NAI-- jsem/být/VB-S---1P-AAI-- možnost/možnost/NNFS4-----A---- ,/,/Z:------------- jak/jak/Db------------- bych/být/Vc-S---1----I-- kdy/kdy/Db------------- mohla/moci/VpFS----R-AAI-- být/být/Vf--------A-I-- ,/,/Z:------------- pokud/pokud/J,------------- ovšem/ovšem/TT------------- neobrátím/obrátit/VB-S---1P-NAP-- celou/celý/AAFS4----1A---- zemi/země/NNFS4-----A---- na/na/RR--4---------- pravou/pravý/AAFS4----1A---- víru/víra/NNFS4-----A----";"././Z:-------------"
"14";"""/""/Z:------------- Violy/viola/NNFP1-----A---- noční/noční/AAFP1----1A---- bájily/bájit/VpFP----R-AAI-- tak/tak/Db------------- ze/z/RV--2---------- sna/sen/NNIS2-----A---1 hlásku/hláska/NNFS4-----A---- ,/,/Z:------------- že/že/J,------------- šťasten/šťastný/ACMS------A---- ,/,/Z:------------- kdo/kdo/PKM-1---------- v/v/RR--6---------- srdci/srdce/NNNS6-----A----";"chová/chovat/VB-S---3P-AAI-- víru/víra/NNFS4-----A----";",/,/Z:------------- naději/naděje/NNFS4-----A---- a/a/J^------------- lásku/láska/NNFS4-----A---- ././Z:------------- ""/""/Z:-------------"
"15";"";"Chováme/chovat/VB-P---1P-AAI-- neochvějnou/neochvějný/AAFS4----1A---- víru/víra/NNFS4-----A----";"v/v/RR--4---------- prosperitu/prosperita/NNFS4-----A---- ././Z:-------------"
"16";"Heinrich/Heinrich/NNMS1-----A---- Schliemann/Schliemann/NNMS1-----A----";"choval/chovat/VpMS----R-AAI-- neotřesitelnou/neotřesitelný/AAFS4----1A---- víru/víra/NNFS4-----A----";"v/v/RR--4---------- pravdivost/pravdivost/NNFS4-----A---- Homérova/Homérův/AUIS2M--------- popisu/popis/NNIS2-----A---- trojské/trojský/AAFS2----1A---- války/válka/NNFS2-----A---- a/a/J^------------- snažil/snažit/VpMS----R-AAI-- se/se/P7--4---------- ji/on/PPFS4--3------- dokázat/dokázat/Vf--------A-P-- prostřednictvím/prostřednictvím/RR--2---------- vykopávek/vykopávka/NNFP2-----A---- ././Z:-------------"
"17";"Převážná/převážný/AAFS1----1A---- část/část/NNFS1-----A---- jeho/jeho/PSIS2-S3------- mozku/mozek/NNIS2-----A---- sice/sice/J^-------------";"chovala/chovat/VpFS----R-AAI-- pevnou/pevný/AAFS4----1A---- a/a/J^------------- neotřesitelnou/neotřesitelný/AAFS4----1A---- Víru/víra/NNFS4-----A----";"v/v/RR--4---------- to/ten/PDNS4---------- ,/,/Z:------------- že/že/J,------------- za/za/RR--7---------- skálou/skála/NNFS7-----A---- budou/být/VB-P---3F-AAI-- Dveře/dveře/NNFP1-----A---- a/a/J^------------- že/že/J,------------- ty/ten/PDFP1---------- Dveře/dveře/NNFP1-----A---- budou/být/VB-P---3F-AAI-- znamenat/znamenat/Vf--------A-I-- Cestu/cesta/NNFS4-----A---- ,/,/Z:------------- jenže/jenže/J^------------- ten/ten/PDIS1---------- díleček/díleček/NNIS1-----A---- mozku/mozek/NNIS2-----A---- ,/,/Z:------------- který/který/P4IS1---------- chápal/chápat/VpIS----R-AAI-- okolnosti/okolnost/NNFP4-----A---- kolem/kolem/RR--2---------- láhve/láhev/NNFS2-----A---- s/s/RR--7---------- vodou/voda/NNFS7-----A---- ,/,/Z:------------- si/se/P7--3---------- začal/začít/VpIS----R-AAP-- bezděčně/bezděčně/Dg-------1A---- vybavovat/vybavovat/Vf--------A-I-- minulá/minulý/AANP4----1A---- zklamání/zklamání/NNNP4-----A---- a/a/J^------------- vyslal/vyslat/VpIS----R-AAP-- velice/velice/Db------------- slabý/slabý/AAIS4----1A---- ,/,/Z:------------- ale/ale/J^------------- ostrý/ostrý/AAIS4----1A---- výstražný/výstražný/AAIS4----1A---- signál/signál/NNIS4-----A---- ././Z:-------------"
"18";"V/v/RR--6---------- srdci/srdce/NNNS6-----A----";"choval/chovat/VpMS----R-AAI-- hlubokou/hluboký/AAFS4----1A---- víru/víra/NNFS4-----A----";"v/v/RR--4---------- Boha/bůh/NNMS4-----A---- a/a/J^------------- Ježíše/Ježíš/NNMS4-----A---- Krista/Kristus/NNMS4-----A---- ././Z:-------------"
"19";"Lidem/člověk/NNMP3-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- domnívali/domnívat/VpMP----R-AAI-- ,/,/Z:------------- že/že/J,------------- on/on/PPMS1--3------- sám/sám/PLMS1---------- v/v/RR--6---------- sobě/se/P6--6----------";"chová/chovat/VB-S---3P-AAI-- víru/víra/NNFS4-----A----";"ve/v/RV--4---------- své/svůj/P8IP4---------1 mýty/mýtus/NNIP4-----A---- ,/,/Z:------------- odpovídal/odpovídat/VpMS----R-AAI-- ,/,/Z:------------- že/že/J,------------- pro/pro/RR--4---------- efektivní/efektivní/AANS4----1A---- psaní/psaní/NNNS4-----A---- je/být/VB-S---3P-AAI-- třeba/třeba/Db------------- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- měl/mít/VpMS----R-AAI-- spisovatel/spisovatel/NNMS1-----A---- od/od/RR--2---------- svého/svůj/P8NS2---------- díla/dílo/NNNS2-----A---- objektivní/objektivní/AAIS4----1A---- odstup/odstup/NNIS4-----A---- ././Z:-------------"
"20";"Po/po/RR--6---------- výsledku/výsledek/NNIS6-----A---- v/v/RR--6---------- Curychu/Curych/NNIS6-----A---- naděje/naděje/NNFS1-----A---- jen/jen/Db------------- doutná/doutnat/VB-S---3P-AAI-- ,/,/Z:------------- žlutomodří/žlutomodrý/AAMP1----1A---- přesto/přesto/Db-------------";"chovají/chovat/VB-P---3P-AAI-- víru/víra/NNFS4-----A----";"v/v/RR--4---------- úspěch/úspěch/NNIS4-----A----"
