id;left;kwic;right
"1";"I/i/J^------------- to/ten/PDNS1---------- se/se/P7--4---------- zdá/zdát/VB-S---3P-AAI-- být/být/Vf--------A-I-- benevolentní/benevolentní/AAIS1----1A---- přístup/přístup/NNIS1-----A---- i/i/J^------------- s/s/RR--7---------- ohledem/ohled/NNIS7-----A---- na/na/RR--4---------- zcela/zcela/Db------------- nezakrývané/zakrývaný/AANS4----1N----";"opovržení/opovržení/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- vůdci/vůdce/NNMP1-----A---- domobrany/domobrana/NNFS2-----A---- chovají/chovat/VB-P---3P-AAI--";"ke/k/RV--3---------- státní/státní/AAFS3----1A---- moci/moc/NNFS3-----A---- ././Z:-------------"
"2";"Vztah/vztah/NNIS1-----A---- Rusů/Rus/NNMP2-----A---- k/k/RR--3---------- těm/ten/PDMP3---------- ,/,/Z:------------- kdo/kdo/PKM-1---------- zbohatli/zbohatnout/VpMP----R-AAP-1 v/v/RR--6---------- poslední/poslední/AAFS6----1A---- době/doba/NNFS6-----A---- (/(/Z:------------- v/v/RR--6---------- %/%/Z:------------- )/)/Z:------------- stejný/stejný/AAMS1----1A---- jako/jako/J,------------- k/k/RR--3---------- ostatním/ostatní/AAMP3----1A---- 36/36/C=------------- podezřívavý/podezřívavý/AAMS1----1A---- až/až/TT------------- nepřátelský/přátelský/AAIS4----1N---- 19/19/C=------------- projevují/projevovat/VB-P---3P-AAI-- o/o/RR--4---------- ně/oni/P5MP4--3------- zájem/zájem/NNIS4-----A---- 14/14/C=------------- projevují/projevovat/VB-P---3P-AAI--";"opovržení/opovržení/NNNS4-----A---- a/a/J^------------- odpor/odpor/NNIS4-----A---- 10/10/C=------------- chovají/chovat/VB-P---3P-AAI--";"je/oni/PPMP4--3------- v/v/RR--6---------- úctě/úcta/NNFS6-----A---- 6/6/C=------------- závidí/závidět/VB-P---3P-AAI-- jim/oni/PPMP3--3------- 3/3/C=------------- projevují/projevovat/VB-P---3P-AAI-- jim/oni/PPMP3--3------- sympatie/sympatie/NNFP1-----A---- 2/2/C=------------- nevědí/vědět/VB-P---3P-NAI-- 10/10/C=-------------"
"3";"Skoro/skoro/Db------------- se/se/P7--4---------- na/na/RR--4---------- to/ten/PDNS4---------- těšil/těšit/VpMS----R-AAI-- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- mohl/moci/VpMS----R-AAI-- demonstrovat/demonstrovat/Vf--------A-B-- své/svůj/P8NS4---------1";"opovržení/opovržení/NNNS4-----A---- nad/nad/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- jak/jak/Db------------- urážlivým/urážlivý/AAIS7----1A---- způsobem/způsob/NNIS7-----A---- se/se/P7--4---------- veřejnost/veřejnost/NNFS1-----A---- chová/chovat/VB-S---3P-AAI--";"k/k/RR--3---------- Yasmine/Yasmine/X@------------- ././Z:-------------"
"4";"Bariatři/Bariatři/X@------------- cítili/cítit/VpMP----R-AAI--";"opovržení/opovržení/NNNS4-----A---- ,/,/Z:------------- které/který/P4NS4---------- ostatní/ostatní/AAMP1----1A---- chirurgové/chirurg/NNMP1-----A---- chovali/chovat/VpMP----R-AAI--";"vůči/vůči/RR--3---------- jejich/jejich/PSMP3-P3------- pacientům/pacient/NNMP3-----A---- (/(/Z:------------- o/o/RR--6---------- nichž/jenž/P9NP6---------- panovalo/panovat/VpNS----R-AAI-- přesvědčení/přesvědčení/NNNS1-----A---- ,/,/Z:------------- že/že/J,------------- mají/mít/VB-P---3P-AAI-- emocionální/emocionální/AAIS4----1A---- ,/,/Z:------------- ba/ba/TT------------- i/i/J^------------- morální/morální/AAIS4----1A---- problém/problém/NNIS4-----A---- )/)/Z:------------- a/a/J^------------- často/často/Dg-------1A---- i/i/J^------------- vůči/vůči/RR--3---------- nim/oni/P5IP3--3------- ././Z:-------------"
"5";"Během/během/RR--2---------- procesu/proces/NNIS2-----A---- stejně/stejně/Dg-------1A---- nespravedlivého/spravedlivý/AANS2----1N---- jako/jako/J,------------- halasného/halasný/AAIS2----1A---- plival/plivat/VpMS----R-AAI-- předseda/předseda/NNMS1-----A---- soudu/soud/NNIS2-----A---- svoji/svůj/P8FS4---------- nenávist/nenávist/NNFS4-----A---- ,/,/Z:-------------";"opovržení/opovržení/NNNS4-----A---- a/a/J^------------- zlost/zlost/NNFS4-----A---- do/do/RR--2---------- tváří/tvář/NNFP2-----A---- obžalovaných/obžalovaný/NNMP2-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- se/se/P7--4---------- chovali/chovat/VpMP----R-AAI--";"s/s/RR--7---------- naprosto/naprosto/Db------------- příkladnou/příkladný/AAFS7----1A---- důstojností/důstojnost/NNFS7-----A---- ././Z:-------------"
"6";"Cítím/cítit/VB-S---1P-AAI-- ,/,/Z:------------- že/že/J,------------- si/se/P7--3---------- sama/sám/PLFS1---------- odporuji/odporovat/VB-S---1P-AAI-1 ,/,/Z:------------- neboť/neboť/J^------------- tě/ty/PH-S4--2------- miluji/milovat/VB-S---1P-AAI-1 ,/,/Z:------------- avšak/avšak/J^------------- zároveň/zároveň/Db------------- vnímám/vnímat/VB-S---1P-AAI--";"opovržení/opovržení/NNNS4-----A---- ,/,/Z:------------- v/v/RR--6---------- němž/jenž/P9NS6---------- Trójané/Trójan/NNMP1-----A---- chovají/chovat/VB-P---3P-AAI--";"naši/náš/PSFS4-P1------- lásku/láska/NNFS4-----A---- ,/,/Z:------------- a/a/J^------------- já/já/PP-S1--1------- -/-/Z:------------- což/co/PE--1---------- je/být/VB-S---3P-AAI-- ještě/ještě/Db------------- horší/špatný/AANS1----2A---- -/-/Z:------------- to/ten/PDNS4---------- opovržení/opovržení/NNNS4-----A---- sdílím/sdílet/VB-S---1P-AAI-- ././Z:------------- ""/""/Z:-------------"
"7";"Nedbala/dbát/VpFS----R-NAI-- jsem/být/VB-S---1P-AAI-- o/o/RR--4---------- sebe/se/P6--4---------- ,/,/Z:------------- byl/být/VpIS----R-AAI-- to/ten/PDNS1---------- pro/pro/RR--4---------- mě/já/PH-S4--1------- způsob/způsob/NNIS1-----A---- ,/,/Z:------------- jak/jak/Db------------- dát/dát/Vf--------A-P-- najevo/najevo/Db-------------";"opovržení/opovržení/NNNS4-----A---- ,/,/Z:------------- jaké/jaký/P4NS4---------- jsem/být/VB-S---1P-AAI-- k/k/RR--3---------- sobě/se/P6--3---------- chovala/chovat/VpFS----R-AAI--";"././Z:-------------"
