id;left;kwic;right;VNP?
"11";"A/a/J^------------- je/být/VB-S---3P-AAI-- otázka/otázka/NNFS1-----A---- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4---------- s/s/RR--7---------- ní/on/P5FS7--3------- budou/být/VB-P---3F-AAI-- v/v/RR--6---------- Německu/Německo/NNNS6-----A---- sžívat/sžívat/Vf--------A-I-- třeba/třeba/TT------------- syrští/syrský/AAMP1----1A---- a/a/J^------------- iráčtí/irácký/AAMP1----1A---- Kurdové/Kurd/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- dobře/dobře/Dg-------1A---- vědí/vědět/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- Turci/Turek/NNMP1-----A----";"chovají/chovat/VB-P---3P-AAI-- ke/k/RV--3---------- Kurdům/Kurd/NNMP3-----A---- mnohem/mnohem/Db------------- silnější/silný/AAFP4----2A---- antipatie/antipatie/NNFP4-----A----";"než/než/J,------------- třeba/třeba/TT------------- k/k/RR--3---------- Islámskému/islámský/AAIS3----1A---- státu/stát/NNIS3-----A---- .../.../Z:-------------"
"12";"Ale/ale/J^------------- to/ten/PDNS1---------- je/být/VB-S---3P-AAI-- můj/můj/PSIS1-S1------- osobní/osobní/AAIS1----1A---- názor/názor/NNIS1-----A---- ,/,/Z:------------- byl/být/VpMS----R-AAI-- bych/být/Vc-S---1----I-- nerad/rád/ACMS------N---- ,/,/Z:------------- aby/aby|být/J,-------------|Vc----------I-- to/ten/PDNS1---------- vyznělo/vyznít/VpNS----R-AAP-- jako/jako/J,------------- útok/útok/NNIS1-----A---- s/s/RR--7---------- tím/ten/PDNS7---------- ,/,/Z:------------- že/že/J,------------- proti/proti/RR--3---------- panu/pán/NNMS3-----A---1 Klánovi/Klán/NNMS3-----A----";"chovám/chovat/VB-S---1P-AAI-- nějaké/nějaký/PZFP4---------- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"13";"Abagnaleovy/Abagnalův/AUFP4M--------- potíže/potíž/NNFP4-----A---- po/po/RR--6---------- propuštění/propuštění/NNNS6-----A---- ještě/ještě/Db------------- ztěžovala/ztěžovat/VpFS----R-AAI-- skutečnost/skutečnost/NNFS1-----A---- ,/,/Z:------------- že/že/J,------------- úředník/úředník/NNMS1-----A---- ,/,/Z:------------- který/který/P4MS1---------- na/na/RR--4---------- něj/on/P5MS4--3------- měl/mít/VpMS----R-AAI-- dohlížet/dohlížet/Vf--------A-I-- ,/,/Z:------------- k/k/RR--3---------- němu/on/P5MS3--3-------";"choval/chovat/VpMS----R-AAI-- značné/značný/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";",/,/Z:------------- což/co/PE--4---------- také/také/Db------------- dával/dávat/VpMS----R-AAI-- otevřeně/otevřeně/Dg-------1A---- najevo/najevo/Db------------- ././Z:-------------"
"14";"Soudě/soudit/VeMS------A-I-- z/z/RR--2---------- jeho/jeho/PSIS2-S3------- výkřiku/výkřik/NNIS2-----A---- po/po/RR--6---------- zatčení/zatčení/NNNS6-----A---- ,/,/Z:-------------";"choval/chovat/VpMS----R-AAI-- vypjatou/vypjatý/AAFS4----1A---- antipatii/antipatie/NNFS4-----A----";"k/k/RR--3---------- vítězné/vítězný/AAFS3----1A---- Quebecké/quebecký/AAFS3----1A---- straně/strana/NNFS3-----A---- ,/,/Z:------------- která/který/P4FS1---------- v/v/RR--6---------- minulosti/minulost/NNFS6-----A---- ,/,/Z:------------- když/když/J,------------- byla/být/VpFS----R-AAI-- u/u/RR--2---------- vlády/vláda/NNFS2-----A---- ,/,/Z:------------- uspořádala/uspořádat/VpFS----R-AAP-- dvě/dva/ClNP4---------- referenda/referendum/NNNP4-----A---- o/o/RR--6---------- odtržení/odtržení/NNNS6-----A---- provincie/provincie/NNFS2-----A---- od/od/RR--2---------- Kanady/Kanada/NNFS2-----A---- ././Z:-------------"
"15";"Klaus/Klaus/NNMS1-----A---- a/a/J^------------- předseda/předseda/NNMS1-----A---- ČSSD/ČSSD/BN------------- Miloš/Miloš/NNMS1-----A---- Zeman/Zeman/NNMS1-----A---- sice/sice/J^-------------";"chovají/chovat/VB-P---3P-AAI-- vzájemné/vzájemný/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"a/a/J^------------- v/v/RR--6---------- zásadě/zásada/NNFS6-----A---- velkou/velký/AAFS4----1A---- koalici/koalice/NNFS4-----A---- vylučují/vylučovat/VB-P---3P-AAI-- ,/,/Z:------------- avšak/avšak/J^------------- podle/podle/RR--2---------- politických/politický/AAMP2----1A---- pozorovatelů/pozorovatel/NNMP2-----A---- by/být/Vc----------I-- v/v/RR--6---------- zájmu/zájem/NNIS6-----A---- získání/získání/NNNS2-----A---- moci/moc/NNFS2-----A---- dokázali/dokázat/VpMP----R-AAP-- překročit/překročit/Vf--------A-P-- svůj/svůj/P8IS4---------- stín/stín/NNIS4-----A---- ././Z:-------------"
"16";"Klaus/Klaus/NNMS1-----A---- a/a/J^------------- Zeman/Zeman/NNMS1-----A---- sice/sice/J^-------------";"chovají/chovat/VB-P---3P-AAI-- vzájemné/vzájemný/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"a/a/J^------------- v/v/RR--6---------- zásadě/zásada/NNFS6-----A---- velkou/velký/AAFS4----1A---- koalici/koalice/NNFS4-----A---- vylučují/vylučovat/VB-P---3P-AAI-- ,/,/Z:------------- avšak/avšak/J^------------- v/v/RR--6---------- zájmu/zájem/NNIS6-----A---- získání/získání/NNNS2-----A---- moci/moc/NNFS2-----A---- by/být/Vc----------I-- mohli/moci/VpMP----R-AAI-- překročit/překročit/Vf--------A-P-- svůj/svůj/P8IS4---------- stín/stín/NNIS4-----A---- ././Z:-------------"
"17";"Přestože/přestože/J,------------- Alena/Alena/NNFS1-----A---- k/k/RR--3---------- mužům/muž/NNMP3-----A----";"chovala/chovat/VpFS----R-AAI-- nyní/nyní/Db------------- určité/určitý/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";",/,/Z:------------- musela/muset/VpFS----R-AAI-- se/se/P7--4---------- pousmát/pousmát/Vf--------A-P-- ././Z:-------------"
"18";"Totéž/tentýž/PDNS4---------- prohlašuje/prohlašovat/VB-S---3P-AAI-- sám/sám/PLMS1---------- Clinton/Clinton/NNMS1-----A---- :/:/Z:------------- ""/""/Z:------------- Američané/Američan/NNMP1-----A---- vidí/vidět/VB-P---3P-AAI-- ,/,/Z:------------- že/že/J,------------- jsou/být/VB-P---3P-AAI-- tu/tu/Db------------- dva/dva/ClMP1---------- lidé/člověk/NNMP1-----A---- ,/,/Z:------------- kteří/který/P4MP1---------- k/k/RR--3---------- sobě/se/P6--3----------";"chovají/chovat/VB-P---3P-AAI-- intenzívní/intenzivní/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"././Z:-------------"
"19";"Jak/jak/Db------------- je/být/VB-S---3P-AAI-- možné/možný/AANS1----1A---- ,/,/Z:------------- že/že/J,------------- se/se/P7--4---------- ryze/ryze/Dg-------1A---- americkému/americký/AAIS3----1A---- produktu/produkt/NNIS3-----A---- ,/,/Z:------------- cartoons/cartoons/X@------------- a/a/J^------------- comics/comics/NNIS1-----A---- ,/,/Z:------------- daří/dařit/VB-S---3P-AAI-- v/v/RR--6---------- zemích/země/NNFP6-----A---- ,/,/Z:------------- které/který/P4FP1---------- k/k/RR--3---------- ""/""/Z:------------- hamburgerovému/hamburgerový/AAIS3----1A---- kontinentu/kontinent/NNIS3-----A---- ""/""/Z:-------------";"chovají/chovat/VB-P---3P-AAI-- značné/značný/AAFP4----1A---- antipatie/antipatie/NNFP4-----A----";"?/?/Z:-------------"
"20";"Oba/oba/ClMP1---------- k/k/RR--3---------- sobě/se/P6--3---------- zřejmě/zřejmě/TT-------------";"chovali/chovat/VpMP----R-AAI-- antipatie/antipatie/NNFP4-----A----";"a/a/J^------------- nemohli/moci/VpMP----R-NAI-- se/se/P7--4---------- ani/ani/TT------------- cítit/cítit/Vf--------A-I-- ,/,/Z:------------- i/i/J^------------- když/když/J,------------- Perchta/Perchta/NNFS1-----A---- alespoň/alespoň/Db------------- občas/občas/Db------------- ,/,/Z:------------- i/i/J^------------- z/z/RR--2---------- hmotných/hmotný/AAIP2----1A---- důvodů/důvod/NNIP2-----A---- ,/,/Z:------------- manžela/manžel/NNMS4-----A---- vyhledávala/vyhledávat/VpFS----R-AAI-- ././Z:-------------"
