id;left;kwic;right
"11";"Lew/Lev/NNMS1-----A---- dříve/brzy/Dg-------2A---- sloužil/sloužit/VpMS----R-AAI-- jako/jako/J,------------- šéf/šéf/NNMS1-----A---- Obamova/Obamův/AUIS2M--------- týmu/tým/NNIS2-----A---- a/a/J^------------- prezident/prezident/NNMS1-----A---- k/k/RR--3---------- němu/on/P5MS3--3-------";"chová/chovat/VB-S---3P-AAI-- bezmeznou/bezmezný/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"12";"U/u/RR--2---------- textaře/textař/NNMS2-----A---- Tomáše/Tomáš/NNMS2-----A---- Belka/Belko/NNMS2-----A---- mě/já/PH-S4--1------- těší/těšit/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- ke/k/RV--3---------- mně/já/PP-S3--1-------";"chová/chovat/VB-S---3P-AAI-- důvěru/důvěra/NNFS4-----A----";"a/a/J^------------- zřejmě/zřejmě/TT------------- mi/já/PH-S3--1------- i/i/J^------------- trochu/trochu/Db------------- fandí/fandit/VB-S---3P-AAI-- ,/,/Z:------------- protože/protože/J,------------- to/ten/PDNS1---------- není/být/VB-S---3P-NAI-- naše/náš/PSFS1-P1------- první/první/CrFS1---------- spolupráce/spolupráce/NNFS1-----A---- ././Z:-------------"
"13";"Zenzi/Zenzi/X@------------- dědovi/děda/NNMS3-----A---- :/:/Z:------------- „/""/Z:------------- Stydím/stydět/VB-S---1P-AAI-- se/se/P7--4---------- za/za/RR--4---------- Tvoje/tvůj/PSNS4-S2------- nedůstojné/důstojný/AANS4----1N---- chování/chování/NNNS4-----A---- ,/,/Z:------------- neb/neb/J^------------- tak/tak/Db------------- se/se/P7--4----------";"nechová/chovat/VB-S---3P-NAI-- muž/muž/NNMS1-----A---- ,/,/Z:------------- jemuž/jenž/PJMS3---------- mám/mít/VB-S---1P-AAI-- prokazovat/prokazovat/Vf--------A-I-- úctu/úcta/NNFS4-----A---- a/a/J^------------- důvěru/důvěra/NNFS4-----A----";".../.../Z:-------------"
"14";"A/a/J^------------- že/že/J,------------- v/v/RR--4---------- ně/oni/P5MP4--3-------";"nechová/chovat/VB-S---3P-NAI-- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"15";"Ačkoliv/ačkoli/J,------------- jsi/být/VB-S---2P-AAI-- k/k/RR--3---------- němu/on/P5MS3--3-------";"chovala/chovat/VpFS----R-AAI-- naprostou/naprostý/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- ztrácíš/ztrácet/VB-S---2P-AAI-- po/po/RR--6---------- několika/několik/Ca--6---------- minutách/minuta/NNFP6-----A---- veškerou/veškerý/PLFS4---------- naději/naděje/NNFS4-----A---- ,/,/Z:------------- zvlášť/zvlášť/TT------------- když/když/J,------------- si/se/P7--3---------- po/po/RR--6---------- marném/marný/AANS6----1A---- tahání/tahání/NNNS6-----A---- a/a/J^------------- tlačení/tlačení/NNNS6-----A---- lehne/lehnout/VB-S---3P-AAP-- na/na/RR--4---------- parapet/parapet/NNIS4-----A---- a/a/J^------------- začne/začít/VB-S---3P-AAP-- žalostně/žalostně/Dg-------1A---- kňučet/kňučet/Vf--------A-I-- ././Z:-------------"
"16";"Co/co/PQ--4---------- on/on/PPMS1--3------- tedy/tedy/TT------------- udělal/udělat/VpMS----R-AAP-- ,/,/Z:------------- jak/jak/Db------------- se/se/P7--4----------";"choval/chovat/VpMS----R-AAI-- a/a/J^------------- chová/chovat/VB-S---3P-AAI-- ,/,/Z:------------- že/že/J,------------- tu/ten/PDFS4---------- moji/můj/PSFS4-S1------- důvěru/důvěra/NNFS4-----A----";"ztratil/ztratit/VpMS----R-AAP-- ?/?/Z:-------------"
"17";"Velice/velice/Db------------- si/se/P7--3---------- cením/cenit/VB-S---1P-AAI-- vašeho/váš/PSIS2-P2------- úsudku/úsudek/NNIS2-----A---- a/a/J^-------------";"chovám/chovat/VB-S---1P-AAI-- k/k/RR--3---------- vám/vy/PP-P3--2------- naprostou/naprostý/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";",/,/Z:------------- ""/""/Z:------------- dodala/dodat/VpFS----R-AAP-- jsem/být/VB-S---1P-AAI-- ././Z:-------------"
"18";"Vzhledem/vzhledem/RF------------- k/k/RR--3---------- postavení/postavení/NNNS3-----A---- ,/,/Z:------------- které/který/P4NS4---------- v/v/RR--6---------- tomhle/tenhle/PDIS6---------- světě/svět/NNIS6-----A---- má/mít/VB-S---3P-AAI-- ,/,/Z:------------- k/k/RR--3---------- němu/on/P5IS3--3------- nemohu/moci/VB-S---1P-NAI-1";"chovat/chovat/Vf--------A-I-- opravdovou/opravdový/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"19";"Chlapec/chlapec/NNMS1-----A---- měl/mít/VpMS----R-AAI-- radost/radost/NNFS4-----A---- ,/,/Z:------------- nebylo/být/VpNS----R-NAI-- pochyb/pochyba/NNFP2-----A---- ,/,/Z:------------- že/že/J,------------- ke/k/RV--3---------- Kláře/Klára/NNFS3-----A----";"choval/chovat/VpMS----R-AAI-- důvěru/důvěra/NNFS4-----A----";"././Z:-------------"
"20";"Pozoruhodné/pozoruhodný/AANS1----1A---- je/být/VB-S---3P-AAI-- rovněž/rovněž/Db------------- Trumpovo/Trumpův/AUNS1M--------- prohlášení/prohlášení/NNNS1-----A---- ,/,/Z:------------- že/že/J,-------------";"chová/chovat/VB-S---3P-AAI-- stejnou/stejný/AAFS4----1A---- důvěru/důvěra/NNFS4-----A----";"k/k/RR--3---------- Angele/Angela/NNFS3-----A---- Merkelové/Merkelová/NNFS3-----A---- ,/,/Z:------------- demokraticky/demokraticky/Dg-------1A---- zvolené/zvolený/AAFS3----1A---- kancléřce/kancléřka/NNFS3-----A---- největší/velký/AAFS2----3A---- evropské/evropský/AAFS2----1A---- ekonomiky/ekonomika/NNFS2-----A---- ,/,/Z:------------- a/a/J^------------- Vladimíru/Vladimír/NNMS3-----A---1 Putinovi/Putin/NNMS3-----A---- ,/,/Z:------------- autoritářskému/autoritářský/AAMS3----1A---- ruskému/ruský/AAMS3----1A---- demagogovi/demagog/NNMS3-----A---- ,/,/Z:------------- kterého/který/P4MS4---------- Mattis/Mattis/NNMS1-----A---- označil/označit/VpMS----R-AAP-- za/za/RR--4---------- hrozbu/hrozba/NNFS4-----A---- pro/pro/RR--4---------- západní/západní/AAFP4----1A---- demokracie/demokracie/NNFP4-----A---- ././Z:-------------"
"21";"Zřejmě/zřejmě/TT------------- nezvládá/zvládat/VB-S---3P-NAI-- dokonce/dokonce/TT------------- ani/ani/J^------------- pomyšlení/pomyšlení/NNNS4-----A---- na/na/RR--4---------- úkol/úkol/NNIS4-----A---- ,/,/Z:------------- který/který/P4IS4---------- má/mít/VB-S---3P-AAI-- před/před/RR--7---------- sebou/se/P6--7---------- ,/,/Z:------------- a/a/J^------------- já/já/PP-S1--1------- už/už/Db-------------";"nechovám/chovat/VB-S---1P-NAI-- důvěru/důvěra/NNFS4-----A----";"v/v/RR--4---------- urychlený/urychlený/AAIS4----1A---- konec/konec/NNIS4-----A---- tažení/tažení/NNNS2-----A---- ././Z:-------------"
